gene	mean_log2ND	std_log2ND	median_log2ND	R-181110-535748-BLD-521005_BC_E18111112-3-DNA_F1811112948-16_L181111-00002-A5_20181113-C12_panel12_P181114419-3_sample20181114-A3-A00168-log2_ND	R-RZ	R-CopyRatio
MTOR	-0.24055344	0.074341196	-0.24430867	-0.68124463	-5.927954	-0.51339368
MTOR	0.28487282	0.044996969	0.28239524	0.74017841	10.118584	0.38132545
MTOR	-0.72426753	0.13913489	-0.69425669	0.50287311	8.8197909	1.1206721
MTOR	-0.28545159	0.083017408	-0.28126743	-0.11942307	1.9999241	0.085386635
MTOR	-0.68965544	0.060524241	-0.6846469	-0.6577326	0.52743889	-0.049543422
MTOR	-0.84349185	0.075372856	-0.85379443	-0.57790185	3.5236824	0.19943486
MTOR	-0.46706108	0.11893812	-0.46498708	0.34749529	6.8485728	0.73602465
MTOR	-0.22141962	0.16914438	-0.24972561	-0.16889789	0.31051416	0.0043699949
MTOR	-0.03112332	0.05946751	-0.011536803	0.20986021	4.0523562	0.14493929
MTOR	-0.32393181	0.062296531	-0.31683983	-0.072413574	4.0374357	0.16796854
MTOR	-0.73503076	0.14458189	-0.73077676	0.49103236	8.4800601	1.1453514
MTOR	0.16611513	0.10398146	0.17324071	-0.51856139	-6.5846019	-0.76825982
MTOR	-0.35219358	0.043672927	-0.34675298	-0.74818138	-9.067123	-0.47788612
MTOR	-0.32159628	0.088110778	-0.33292299	-0.20210854	1.356108	0.054356725
MTOR	-0.26718571	0.1188442	-0.29146553	-0.21101748	0.47262068	0.0039903266
MTOR	-0.21149855	0.12769638	-0.23827643	-0.24202727	-0.23907268	-0.080208556
MTOR	-0.83805066	0.035804409	-0.84501097	-0.76018061	2.1748732	0.0083726391
MTOR	-0.067703006	0.080420172	-0.080629034	-0.12658591	-0.73219067	-0.12241459
MTOR	0.17065992	0.055212439	0.17807827	0.28912511	2.1456249	0.034589116
MTOR	0.032213846	0.17471547	0.0051913202	-0.047021979	-0.4535135	-0.12867102
MTOR	0.3853104	0.052606593	0.38207216	0.64725709	4.979351	0.18872721
MTOR	-0.647403	0.23166775	-0.68576909	-0.97539631	-1.4157919	-0.36608495
MTOR	-0.18204203	0.10571391	-0.19243001	-0.11634036	0.62150446	-0.00036807392
MTOR	-0.36706061	0.10621375	-0.35791838	1.0273206	13.128066	1.3087812
MTOR	0.38793816	0.055025281	0.37990027	0.48934723	1.8429541	0.032989236
rs1801131	0.10042616	0.10725051	0.099125457	0.34346226	2.2660601	0.16787908
rs1801133	-0.39467341	0.10263854	-0.38166679	-0.10009017	2.8701035	0.2051189
PDPN	-1.4698245	0.24274602	-1.4313053	-2.0992602	-2.5929807	-0.74441266
SPEN	-0.5537045	0.12030489	-0.53463757	-0.33503538	1.8176245	0.12314447
SPEN	0.21173945	0.60972932	0.087812736	0.50552042	0.48182195	0.34124996
SPEN	-0.56829039	0.32271982	-0.63656269	-0.86808988	-0.92897763	-0.30798491
SPEN	0.075945816	0.048535077	0.077180431	-0.067333334	-2.9520742	-0.22097149
SPEN	-0.55684713	0.10149132	-0.55890555	-0.12946671	4.2110047	0.35298112
SPEN	0.12360478	0.06290616	0.10812288	-0.62403072	-11.884933	-0.80861132
SPEN	0.069496729	0.062148555	0.08034535	-1.0581041	-18.143636	-1.2149071
SPEN	0.43589079	0.047579747	0.43627647	-0.4091523	-17.760563	-0.92188649
SPEN	0.040083307	0.12092375	0.029594555	0.75171582	5.884969	0.64566355
SPEN	-0.32171165	0.1084162	-0.28314197	-1.0455699	-6.6766612	-0.83888564
SPEN	0.49037404	0.61268168	0.3833944	0.52179036	0.051276735	0.061938236
SPEN	1.5363899	0.61075701	1.4235275	1.1712483	-0.59785083	-0.32873691
SPEN	0.011087644	0.17062246	-0.015644403	0.019330688	0.0483116	-0.041482629
SPEN	0.35612419	0.33087742	0.29899117	0.15923408	-0.59505453	-0.21621481
SPEN	-0.36978227	0.06977536	-0.37988403	-0.20249321	2.3975377	0.1009331
SPEN	-0.32192209	0.048517883	-0.33352652	-0.11280599	4.3100829	0.14426281
SPEN	0.36513263	0.051266136	0.35910865	0.39593468	0.60082642	-0.039631691
SDHB	-0.19759707	0.19034068	-0.14851056	-1.2975309	-5.7787638	-1.2254781
SDHB	-0.38329149	0.034575843	-0.38407504	-0.056803025	9.4426755	0.25081429
SDHB	-0.86756556	0.10205248	-0.85405508	-0.76113223	1.0429274	0.016465126
SDHB	-0.388287	0.13304263	-0.3570831	0.73823224	8.4673554	1.0188576
SDHB	-0.24326185	0.06980193	-0.24652246	0.45307745	9.9759319	0.62314219
SDHB	-0.22518779	0.10091809	-0.21377317	1.0001566	12.14197	1.1374721
SDHB	-0.25557826	0.07369291	-0.24718178	-0.29174375	-0.49075937	-0.12101969
SDHB	-1.2112512	0.11595016	-1.1933244	-0.61738398	5.1217456	0.4994827
rs2072671	-0.20171114	0.099322325	-0.20222695	-0.012575251	1.9042636	0.11319398
rs60369023	-0.5300361	0.081365615	-0.53170695	-0.23576994	3.6165911	0.21947929
EIF4G3	-0.56189184	0.30191285	-0.46362369	-2.224058	-5.50545	-1.836892
EIF4G3	0.48002	0.32023453	0.50572411	1.0377304	1.7415686	0.45554856
ID3	0.23229094	0.12865097	0.25001911	0.3599126	0.99199918	0.033435767
ID3	-0.060846749	0.20554973	-0.10472796	-0.052542395	0.040400704	-0.024272156
STMN1	0.31971242	0.3041241	0.37012755	0.18009343	-0.45908558	-0.26649184
STMN1	0.34564481	0.34332796	0.44597844	-0.69577032	-3.0332954	-1.2182065
ARID1A	-1.3962652	0.29990594	-1.3865368	-1.2272349	0.563611	0.082844167
ARID1A	-0.90980978	0.51528941	-1.0125923	-1.4239022	-0.99767709	-0.48776764
ARID1A	-0.36196917	0.14103824	-0.36727828	-0.30066442	0.43466759	-0.0098438586
ARID1A	0.2542594	0.31245927	0.20207072	0.12135658	-0.42534446	-0.15717186
ARID1A	-0.39023176	0.095109203	-0.3717488	-0.13847913	2.646985	0.15681195
ARID1A	0.15230307	0.10677109	0.13664926	-0.14273411	-2.7632684	-0.35584109
ARID1A	-0.86395705	0.087967139	-0.85154611	-0.67047896	2.199436	0.10460943
ARID1A	0.04057965	0.057853238	0.037046315	-0.20236562	-4.1993375	-0.31586966
ARID1A	-0.50762447	0.19001255	-0.53243376	-0.4484306	0.3115261	0.0075454389
ARID1A	0.0051485754	0.07668324	0.0031909501	0.20650917	2.6258748	0.1268605
ARID1A	0.32332931	0.079027347	0.31430074	1.2762853	12.05856	0.88552687
ARID1A	-0.11436939	0.071898315	-0.12063822	0.32219814	6.0720133	0.36637864
ARID1A	-0.44714202	0.074336993	-0.4687047	-0.28140974	2.2294725	0.11083724
ARID1A	0.48729299	0.045730663	0.49229191	0.64960826	3.549375	0.08085863
ARID1A	-0.35579191	0.081502173	-0.37817594	0.36182247	8.8048496	0.66354069
ARID1A	0.24894271	0.055280815	0.23966083	0.40691536	2.8576396	0.090796807
ARID1A	0.67587022	0.065394829	0.69953814	0.91515719	3.6591116	0.13916133
ARID1A	0.23745056	0.067617774	0.25092732	0.25177129	0.21178948	-0.075613748
ARID1A	-0.50510998	0.48167162	-0.59787109	-1.0008411	-1.0291891	-0.47942778
ARID1A	-0.42691041	0.061364016	-0.41859049	-0.053640665	6.0828767	0.2884921
ARID1A	0.22329224	0.058033246	0.23278917	0.31461134	1.5735652	0.0053644479
ARID1A	-0.031706731	0.59278903	-0.12506241	-0.36132727	-0.55605033	-0.31272258
GMEB1	-0.58906001	0.29408071	-0.52287568	-0.71797586	-0.43836893	-0.2715579
GMEB1	0.41096263	0.33701619	0.44412604	2.826624	7.1677902	2.3060402
CSF3R	0.10244854	0.45352714	0.02656315	-0.50195469	-1.3326727	-0.60497556
CSF3R	-0.66506002	0.11677972	-0.64635782	-0.8115303	-1.2542442	-0.2416302
CSF3R	-0.6973585	0.11674892	-0.67692257	-0.46331979	2.0046327	0.13714506
CSF3R	0.30872658	0.042886321	0.31182124	0.022013542	-6.6854193	-0.36626542
CSF3R	0.21489482	0.041909223	0.20729181	-0.40805039	-14.864156	-0.69179992
CSF3R	-0.5471401	0.097432071	-0.52136251	-0.45267651	0.9695328	-0.0077717223
CSF3R	-0.028076526	0.072440776	-0.038386846	-0.32035993	-4.0347912	-0.35843081
CSF3R	-0.044006399	0.086460946	-0.046982034	-0.24282984	-2.2995751	-0.27230553
CSF3R	0.28643364	0.086122198	0.29066924	0.20790001	-0.91188598	-0.15922695
CSF3R	-0.082272238	0.053156938	-0.097161122	-0.33919303	-4.8332504	-0.31848963
CSF3R	-0.33043079	0.038596017	-0.33663248	-1.1655565	-21.637613	-0.90538172
CSF3R	-0.13830742	0.075016348	-0.15166034	-0.070681336	0.90148462	0.0045212838
CSF3R	0.68489783	0.046960169	0.69304973	-0.053261258	-15.718834	-0.82276871
CSF3R	-0.13483811	0.19895341	-0.16607926	-0.23538737	-0.505391	-0.14576583
CSF3R	-0.075132279	0.12913574	-0.073922477	0.5191119	4.6017019	0.51657665
CSF3R	-0.35424372	0.065312604	-0.33499882	-0.18447377	2.5993444	0.074067332
MTF1	-0.70025244	0.35015645	-0.64170804	0.56451598	3.6120095	1.1297663
MYCL	-0.067066281	0.42225416	-0.13623475	-0.26606703	-0.47128192	-0.20629
MYCL	-0.35889063	0.31818422	-0.42507614	-0.23534397	0.38828658	0.11327445
MYCL	0.49354447	0.60422713	0.39070094	-0.087725921	-0.96200644	-0.55488458
MPL	-0.12765893	0.079237544	-0.10527593	-0.0030653295	1.5724061	0.02575288
MPL	-0.28846093	0.04643714	-0.29304199	0	6.2118582	0.21658427
MPL	0.19383741	0.080821542	0.18032849	0.33524185	1.7495885	0.078455638
MPL	-0.47181084	0.20173983	-0.50675082	-0.5911462	-0.59153098	-0.1608531
MPL	-0.044610841	0.21869242	0	0.037895138	0.37726949	-0.038562583
MPL	-0.038262823	0.10220576	-0.029112802	0.093581686	1.289991	0.046236767
MPL	-0.17570055	0.039456496	-0.17207223	0.11848429	7.4559293	0.2140988
MPL	-0.067834232	0.095186833	-0.084381518	0.10195314	1.7837276	0.10987694
MPL	-0.28051464	0.047559775	-0.28392825	-0.25540395	0.52798168	-0.047933421
MPL	-0.26934777	0.045913886	-0.27613262	0.050109585	6.9577503	0.24978448
MPL	0.011109429	0.072574038	0.012758101	0.31763236	4.2235893	0.22841654
MPL	-0.00037046356	0.20140125	0.022116172	0.16379699	0.81512628	0.065223095
MPL	0.0051329104	0.1660077	-0.024757499	0.024086679	0.11417403	-0.027613542
MUTYH	0.20023317	0.069976698	0.21245365	0.46508287	3.7848271	0.1761715
MUTYH	-0.57769103	0.086837468	-0.57033179	-0.38807299	2.1835971	0.10580108
MUTYH	-0.031759584	0.057128094	-0.030848649	0.14246337	3.0496896	0.096854299
MUTYH	0.016048704	0.065097731	0.028962569	0.18656968	2.6194612	0.081149393
MUTYH	0.18044786	0.062427323	0.17759808	-0.11530962	-4.7376288	-0.36936542
MUTYH	-0.16117712	0.19694326	-0.19467321	-0.15535614	0.029556646	-0.037140648
MUTYH	0.1747743	0.078747938	0.1829117	0.43577214	3.314345	0.17640272
MUTYH	-0.19943814	0.26816562	-0.25213531	-0.31406865	-0.42746163	-0.13839106
MUTYH	0.16396571	0.11331582	0.1831233	0.31535454	1.3359903	0.055773521
MUTYH	0.76255311	0.10701047	0.78358169	1.005201	2.2675157	0.14516162
MUTYH	0.15272996	0.11551966	0.14054373	0.32667695	1.5057782	0.10967549
MUTYH	-0.022854853	0.04340019	-0.016454871	0.24700541	6.2179511	0.18700256
MUTYH	-0.13794771	0.10557476	-0.16661039	-0.12848949	0.08958787	-0.038336823
MUTYH	0.13250196	0.10884014	0.14649704	0.44782435	2.8971149	0.22486959
RAD54L	0.16233184	0.082469171	0.18131026	0.4660428	3.6827211	0.20827482
RAD54L	-0.044531065	0.10461665	-0.013346032	0.11365197	1.5120255	0.050540285
RAD54L	-0.85865396	0.07584364	-0.85378416	-0.6784806	2.3755895	0.098845835
RAD54L	0.43066646	0.10594586	0.44860207	1.2019412	7.2798954	0.67688145
RAD54L	-0.15768733	0.037058943	-0.14722018	-0.23492972	-2.0843117	-0.16416726
RAD54L	0.41345288	0.13886608	0.4011826	0.72927352	2.2742821	0.2516332
RAD54L	-0.17266218	0.18755629	-0.20685201	-0.053991302	0.6327214	0.076402988
RAD54L	0.11041062	0.075672504	0.13478189	0.20732995	1.2807734	-0.0039096566
RAD54L	-0.23237611	0.053421526	-0.23097263	0.030782498	4.9260781	0.18529741
RAD54L	-0.47038344	0.091071933	-0.47581802	-0.42219782	0.52909405	-0.022837522
RAD54L	0.37907576	0.10967009	0.39171392	1.3878944	9.1986669	0.91972275
RAD54L	0.81284213	0.30114501	0.85701565	1.3329833	1.7272116	0.39950991
RAD54L	0.36181819	0.25558436	0.39571652	1.0911547	2.8536038	0.61898046
RAD54L	0.54844287	0.08729744	0.5720604	0.74901431	2.2975638	0.10049619
RAD54L	0.16828756	0.050788071	0.16640232	0.49968958	6.5251941	0.25682954
RAD54L	0.061087739	0.11144481	0.089412197	0.24943321	1.6900336	0.083563294
RAD54L	-0.14749899	0.07102564	-0.14322663	-0.065228367	1.1583229	0.0015405422
RAD54L	0.14401157	0.064928227	0.13736286	0.44116892	4.5767051	0.22734834
RAD54L	0.091004661	0.091810227	0.070584091	0.33105634	2.6146508	0.18401453
CDKN2C	-0.038830996	0.064619135	-0.030434303	-0.48907273	-6.9676224	-0.53509614
CDKN2C	-0.09762416	0.24250738	-0.14425292	-0.71813136	-2.5587147	-0.65033616
JUN	0.35662689	0.22091728	0.31500128	0.33263672	-0.10859347	-0.058822284
JUN	0.2240048	0.072206807	0.22333119	0.40691442	2.5331354	0.10712551
JUN	0.15114382	0.26925879	0.085098836	-0.016592374	-0.62295531	-0.17814893
JAK1	0.29370108	0.098038916	0.30836707	0.25832932	-0.36079303	-0.12649547
JAK1	0.25561998	0.058389446	0.24894595	1.2366954	16.802273	0.91129175
JAK1	-0.85287829	0.056528555	-0.85373366	0.079988133	16.50257	0.85726407
JAK1	0.25313226	0.069328138	0.26515129	-0.0063072051	-3.7421958	-0.34791622
JAK1	0.77522639	0.076683451	0.76857911	2.2625104	19.39511	1.4174735
JAK1	0.24041742	0.080412605	0.22723646	0.26508933	0.30681639	-0.038604855
JAK1	0.81749588	0.15539032	0.80786334	1.4461323	4.0455314	0.56181124
JAK1	0.2134122	0.051740349	0.20974771	0.44444727	4.4652785	0.15824184
JAK1	0.20692306	0.055494574	0.19317383	0.40033887	3.4853103	0.13070732
JAK1	0.2036544	0.064397161	0.20633312	-0.037961292	-3.7519619	-0.32075213
JAK1	-0.20302158	0.085955502	-0.19511802	0.10279568	3.5578555	0.22145598
JAK1	0.6226634	0.10501498	0.63432926	0.87460497	2.3991013	0.16381799
JAK1	0.43014255	0.044605976	0.4325787	0.30501233	-2.8052344	-0.20402409
JAK1	-0.011017955	0.06061823	-0.018105102	-0.0046570584	0.10493372	-0.063009677
JAK1	0.26241919	0.066317225	0.24636876	0.15983066	-1.5469364	-0.16299582
JAK1	0.043779526	0.067757577	0.045357123	0.15984791	1.7129949	0.038033067
JAK1	-0.058827	0.042681363	-0.066534685	-0.13405244	-1.7624893	-0.14397548
JAK1	0.92126467	0.05430107	0.91708783	2.0716423	21.185174	1.0780967
JAK1	0.075706612	0.23311912	0.038341673	1.1389933	4.5611304	1.0241939
JAK1	-0.33212804	0.061385164	-0.32434201	-0.1768809	2.5290661	0.071003389
JAK1	0.297728	0.079763455	0.28859383	0.66046555	4.547666	0.295414
JAK1	0.11497099	0.069172313	0.11266237	-0.17486574	-4.1900685	-0.36398583
JAK1	-0.32233729	0.092376944	-0.336277	-0.63166881	-3.3485792	-0.37184953
JAK1	-0.29802952	0.12902927	-0.28466802	0.67653464	7.5530472	0.88474494
LEPR	-0.48625337	0.27600171	-0.46111998	0.71752937	4.3615047	1.1021916
ZZZ3	-0.25332509	0.29322383	-0.20665653	-1.5951152	-4.5759928	-1.4649164
ZZZ3	-0.15639042	0.2901674	-0.082120758	-1.37177	-4.1885464	-1.366107
FUBP1	-0.53241163	0.10653261	-0.51824791	-2.3783029	-17.327007	-1.9365127
FUBP1	0.22753993	0.43551417	0.15686847	-0.54048121	-1.7634814	-0.77380741
FUBP1	0.89835385	0.066695473	0.9151633	0.59703845	-4.5177789	-0.39458257
FUBP1	-0.17480378	0.056223548	-0.17571662	-0.79531942	-11.036579	-0.69606052
FUBP1	-0.1938951	0.18791972	-0.17059971	-0.066713194	0.67678851	0.027428796
FUBP1	0.095080702	0.082239811	0.07799162	0.31566409	2.6821971	0.16121475
FUBP1	0.15964792	0.12396059	0.17562516	0.24967241	0.72623475	-0.0024104722
FUBP1	0.36914062	0.083681518	0.35789996	-0.18969085	-6.6780752	-0.62404853
FUBP1	0.60771341	0.044047308	0.60817132	-0.22727587	-18.956647	-0.91190491
FUBP1	0.210277	0.058040326	0.20574914	-0.058233086	-4.6262677	-0.34043995
FUBP1	0.58484281	0.10066253	0.59445529	0.0029699196	-5.7804318	-0.66794309
FUBP1	0.35815392	0.093415895	0.36513459	0.76145865	4.3173031	0.31986634
FUBP1	0.50641468	0.11590389	0.51624466	-0.63786796	-9.8726854	-1.2305703
FUBP1	0.71404186	0.10198016	0.72452279	1.2812738	5.5621798	0.48029334
FUBP1	0.59075473	0.027323675	0.59013618	0.47487155	-4.241127	-0.19172235
FUBP1	0.29240776	0.10550016	0.30530697	0.90619762	5.8179045	0.52443293
FUBP1	-0.10468049	0.20030924	-0.05644971	-2.0098032	-9.5109077	-2.0298112
FUBP1	0.41956796	0.12341211	0.44563445	-0.79706571	-9.8583006	-1.3191579
FUBP1	-0.15119035	0.22664399	-0.084372287	-1.4934646	-5.9223907	-1.48555
FUBP1	0.77438016	0.12266112	0.80304521	0.10669459	-5.443335	-0.77280834
FUBP1	-0.43696476	0.11531844	-0.42471365	-0.92675102	-4.2472501	-0.57849509
FUBP1	0.04394147	0.13313229	0.064087943	-0.96131024	-7.5507731	-1.1018559
FUBP1	0.6084905	0.10796227	0.58169378	0.64142971	0.30509928	-0.01672179
rs67376798	-0.034410188	0.088263638	-0.024460992	-0.61095212	-6.5320437	-0.66294885
rs3918290	0.52308865	0.10541917	0.52671115	0.74743751	2.12816	0.14426864
rs55886062	-0.35519353	0.096963891	-0.33405661	-0.52861818	-1.7885488	-0.27101929
rs2297595	0.34402198	0.043536639	0.33495803	-0.59997172	-21.682742	-1.0113875
rs1801265	0.36117171	0.11497975	0.38705572	-0.26520853	-5.4477439	-0.72872197
DBT	-1.7696095	0.24600402	-1.7011841	-2.4226417	-2.654559	-0.7979153
COSM5045664	-12.161083	9.8311516	-20.489652	-1.4681938	1.0876538	18.945
COSM5045664	-11.242267	9.706221	-19.883141	-1.1941732	1.035222	18.61251
GSTM1	-3.6293214	2.5591364	-5.4311063	-1.623931	0.78361998	3.7307176
COSM3676668	-4.4890233	3.5859764	-6.9171585	-0.10392997	1.222845	6.7367708
NRAS	0.5221308	0.044212595	0.51964787	0.77055491	5.6188539	0.17444932
NRAS	0.55122069	0.044001725	0.55134759	1.0865716	12.166589	0.45876628
NRAS	-0.11754838	0.089854649	-0.11876862	-1.1418367	-11.399391	-1.0995258
NRAS	0.42300156	0.096940531	0.44292898	0.36118788	-0.63764539	-0.15819882
FAM46C	-0.093152448	0.56761234	-0.1998172	-0.407801	-0.55433705	-0.28444152
NOTCH2	0.1904515	0.58196319	0.073277799	-0.57553426	-1.31621	-0.72526978
NOTCH2	0.35783339	0.099621392	0.37659135	0.36384246	0.060319038	-0.089206614
NOTCH2	-0.13642672	0.072195794	-0.14797286	-0.24691904	-1.5304537	-0.1754039
NOTCH2	-0.6710623	0.19947451	-0.69048071	-0.94229726	-1.3597475	-0.32827427
NOTCH2	-0.086253578	0.079643593	-0.093759799	-0.12734733	-0.51597059	-0.11004525
NOTCH2	0.53997506	0.10953107	0.55520432	0.7248798	1.6881487	0.093217755
NOTCH2	-0.27339947	0.073572633	-0.28403827	-0.18115844	1.253741	0.026422106
NOTCH2	0.32532274	0.057253666	0.33040908	0.4010082	1.3219321	-0.0058586019
NOTCH2	0.045744528	0.2332733	-0.0018491679	-0.0062863258	-0.22304676	-0.080894878
NOTCH2	-0.063128745	0.34839787	-0.13591611	-0.68416026	-1.7825353	-0.62470187
NOTCH2	-0.67817777	0.10294914	-0.66759296	-0.71174511	-0.32605747	-0.12060987
NOTCH2	0.00018585495	0.097648589	-0.032462178	0.085916571	0.87795141	0.041921029
NOTCH2	1.2356786	0.29857371	1.297765	1.1157778	-0.40157865	-0.25844495
NOTCH2	-0.23470566	0.26507282	-0.28095343	0.26261116	1.8761517	0.46710687
NOTCH2	-0.48456648	0.089485798	-0.50074269	-0.45222524	0.36141202	-0.027940267
NOTCH2	-0.13462713	0.086933656	-0.13603644	-0.40042989	-3.0575358	-0.34085118
NOTCH2	-0.47331066	0.089935313	-0.47257582	-1.0428072	-6.3322909	-0.64668913
NOTCH2	-0.20306577	0.071809559	-0.1911752	-0.49859108	-4.1154036	-0.3838736
NOTCH2	0.033992835	0.24693475	0.065263866	-0.36657487	-1.6221601	-0.50829646
NOTCH2	-0.29046794	0.066490791	-0.29660316	-0.27202893	0.27731673	-0.051883491
NOTCH2	0.19751331	0.060025284	0.19410727	0.15964516	-0.63087001	-0.11091983
NOTCH2	-0.30995197	0.072985777	-0.31437819	-0.28802695	0.30040129	-0.050106479
NOTCH2	0.13891323	0.04944207	0.12642744	0.61362367	9.6013465	0.41073851
NOTCH2	0.0075633442	0.09091921	-0.0044548246	-0.46041207	-5.1471566	-0.53241496
NOTCH2	-0.26490101	0.052227402	-0.26635519	0.27530277	10.343302	0.46520023
NOTCH2	-0.36169821	0.1312359	-0.38493584	-0.45658379	-0.72301539	-0.14810567
NOTCH2	-0.67277518	0.052156691	-0.67960365	-0.21447893	8.7869118	0.388667
NOTCH2	0.14445944	0.051074181	0.14153378	0.55103959	7.9605809	0.33304809
NOTCH2	-0.38951018	0.10385793	-0.39131392	-0.35733862	0.30976512	-0.042482417
NOTCH2	-0.0059371079	0.063922905	0.0022047121	-0.2198383	-3.346237	-0.29850073
NOTCH2	0.014179229	0.13286831	-0.017272543	-0.16851882	-1.3750311	-0.227704
NOTCH2	-0.040180611	0.075203971	-0.025749857	-0.061176127	-0.27918095	-0.11188399
NOTCH2	-0.25109187	0.38374977	-0.44809896	-0.42206059	-0.44552137	-0.050419355
NOTCH2	0.61476296	0.22885439	0.56638314	0.26918222	-1.5100463	-0.37365864
NOTCH2	0.99862677	0.15553852	1.0261615	2.1786526	7.5867113	1.0760334
NOTCH2	1.2175916	0.44578455	1.1645872	1.4435475	0.5068725	0.20250261
NOTCH2	0.60844393	0.22554021	0.63945768	0.65710286	0.2157439	-0.058812545
NOTCH2	1.2423639	0.17385437	1.2170968	1.131355	-0.63851655	-0.16219951
MCL1	0.13648878	0.083670678	0.14224669	0.55424045	4.9928084	0.33553604
MCL1	0.22595777	0.14272491	0.20173479	0.79172715	3.9640549	0.51353464
MCL1	0.25024684	0.43693938	0.16569285	0.30595186	0.12748914	0.063801294
ASH1L	-2.9403242	0.37605435	-2.8966683	0.17042804	8.2720815	2.9906386
NTRK1	0.25959032	0.084530824	0.26937078	0.4586897	2.3553465	0.1128612
NTRK1	0.11142462	0.053066853	0.11844126	0.28313767	3.2357874	0.088238694
NTRK1	-0.84497434	0.19142102	-0.86904126	-1.1101658	-1.3853833	-0.31758228
NTRK1	0.059523354	0.091606644	0.074521028	-0.91420451	-10.629446	-1.0651833
NTRK1	0.2051431	0.048985876	0.21225734	0.32894562	2.5273106	0.040230562
NTRK1	0.14380416	0.10013723	0.15537683	0.053226912	-0.90453119	-0.17860764
