gene	mean_log2ND	std_log2ND	median_log2ND	sample20190415-I1-log2_ND	sample20190415-RZ	sample20190415-CopyRatio
MTOR	-0.03112332	0.05946751	-0.011536803	0.16065812	3.2249785	0.15648017
MTOR	-0.32393181	0.062296531	-0.31683983	-0.21838316	1.6942942	0.082741916
MTOR	-0.73503076	0.14458189	-0.73077676	-0.92999187	-1.3484477	-0.21492987
MTOR	0.16611513	0.10398146	0.17324071	0.092041837	-0.71237019	-0.096913629
MTOR	-0.35219358	0.043672927	-0.34675298	-0.26517474	1.9925121	0.06586348
MTOR	-0.32159628	0.088110778	-0.33292299	-0.14998625	1.9476622	0.16722199
MTOR	-0.26718571	0.1188442	-0.29146553	-0.26394024	0.027308572	0.011810529
MTOR	-0.21149855	0.12769638	-0.23827643	-0.14112736	0.55108207	0.08143431
MTOR	-0.83805066	0.035804409	-0.84501097	-0.92176877	-2.3382068	-0.092472559
MTOR	-0.067703006	0.080420172	-0.080629034	-0.09983329	-0.39953016	-0.034919012
MTOR	0.17065992	0.055212439	0.17807827	0.11636183	-0.98343947	-0.077431198
MTOR	0.032213846	0.17471547	0.0051913202	-0.011408737	-0.24967785	-0.032314813
MTOR	0.3853104	0.052606593	0.38207216	0.50909679	2.3530586	0.11130988
MTOR	-0.647403	0.23166775	-0.68576909	-0.57473985	0.31365243	0.095314486
MTOR	-0.18204203	0.10571391	-0.19243001	-0.26807173	-0.81379733	-0.091356474
MTOR	-0.36706061	0.10621375	-0.35791838	-0.68025373	-2.948706	-0.3380501
MTOR	0.38793816	0.055025281	0.37990027	0.76283334	6.8131442	0.36721831
rs1801131	0.10042616	0.10725051	0.099125457	-0.0402767	-1.3119085	-0.15511691
rs1801133	-0.39467341	0.10263854	-0.38166679	-0.36428178	0.2961035	0.0016702553
PDPN	-1.4698245	0.24274602	-1.4313053	-1.8952712	-1.7526414	-0.47968067
SPEN	-0.5537045	0.12030489	-0.53463757	-0.39937677	1.2828051	0.11954604
SPEN	0.21173945	0.60972932	0.087812736	0.11441293	-0.1596225	0.010885439
SPEN	-0.56829039	0.32271982	-0.63656269	-0.44197008	0.39142409	0.17887786
SPEN	0.075945816	0.048535077	0.077180431	0.24319747	3.4459954	0.15030228
SPEN	-0.55684713	0.10149132	-0.55890555	-0.76414236	-2.0424922	-0.22095156
SPEN	0.12360478	0.06290616	0.10812288	0.064313174	-0.94254054	-0.059524462
SPEN	0.069496729	0.062148555	0.08034535	-0.20791622	-4.4637072	-0.30397633
SPEN	0.43589079	0.047579747	0.43627647	0.64860098	4.4706036	0.19660975
SPEN	0.040083307	0.12092375	0.029594555	-0.3630062	-3.3334188	-0.40831551
SPEN	-0.32171165	0.1084162	-0.28314197	-0.51558775	-1.7882577	-0.24816054
SPEN	0.49037404	0.61268168	0.3833944	0.29776886	-0.31436419	-0.1013403
SPEN	1.5363899	0.61075701	1.4235275	1.4782763	-0.095150176	0.039034007
SPEN	0.011087644	0.17062246	-0.015644403	-0.0640891	-0.44060286	-0.064159453
SPEN	0.35612419	0.33087742	0.29899117	0.47956181	0.37306149	0.16485589
SPEN	-0.36978227	0.06977536	-0.37988403	-0.26095906	1.5596224	0.10321022
SPEN	-0.32192209	0.048517883	-0.33352652	-0.13729652	3.8053097	0.18051524
SPEN	0.36513263	0.051266136	0.35910865	0.31212881	-1.0338953	-0.062694593
SDHB	-0.19759707	0.19034068	-0.14851056	-0.041346989	0.82089694	0.091448815
SDHB	-0.38329149	0.034575843	-0.38407504	-0.31158115	2.0740012	0.056779135
SDHB	-0.86756556	0.10205248	-0.85405508	-0.89602984	-0.27891807	-0.057689516
SDHB	-0.388287	0.13304263	-0.3570831	-0.51915226	-0.98363404	-0.17778391
SDHB	-0.24326185	0.06980193	-0.24652246	-0.18531178	0.83020731	0.045495927
SDHB	-0.22518779	0.10091809	-0.21377317	-0.30690911	-0.80977869	-0.10885069
SDHB	-0.25557826	0.07369291	-0.24718178	-0.063783721	2.6026186	0.1676833
SDHB	-1.2112512	0.11595016	-1.1933244	-0.6325692	4.9907823	0.54504045
rs2072671	-0.20171114	0.099322325	-0.20222695	0.10646946	3.1028331	0.29298165
rs60369023	-0.5300361	0.081365615	-0.53170695	-0.36239701	2.0603186	0.15359518
EIF4G3	-0.56189184	0.30191285	-0.46362369	0.082669776	2.1349261	0.53057871
EIF4G3	0.48002	0.32023453	0.50572411	0.53039353	0.157302	0.0089546645
ID3	0.23229094	0.12865097	0.25001911	-0.10665246	-2.6345965	-0.37238632
ID3	-0.060846749	0.20554973	-0.10472796	-0.061165819	-0.0015522741	0.027847386
STMN1	0.31971242	0.3041241	0.37012755	0.22158687	-0.32264969	-0.16425543
STMN1	0.34564481	0.34332796	0.44597844	0.43662769	0.26500281	-0.025065511
ARID1A	-1.3962652	0.29990594	-1.3865368	-1.2800076	0.38764683	0.090814431
ARID1A	-0.90980978	0.51528941	-1.0125923	-0.98131723	-0.13877143	0.015560314
ARID1A	-0.36196917	0.14103824	-0.36727828	-0.11395417	1.7584947	0.23760935
ARID1A	0.2542594	0.31245927	0.20207072	0.51317484	0.82863741	0.29538936
ARID1A	-0.39023176	0.095109203	-0.3717488	-0.069656437	3.3706026	0.28637761
ARID1A	0.15230307	0.10677109	0.13664926	0.25485571	0.96049067	0.10249169
ARID1A	-0.86395705	0.087967139	-0.85154611	-0.81340778	0.57463814	0.022423577
ARID1A	0.04057965	0.057853238	0.037046315	-0.29768398	-5.8469266	-0.35044505
ARID1A	-0.50762447	0.19001255	-0.53243376	-0.34414797	0.8603458	0.17257103
ARID1A	0.0051485754	0.07668324	0.0031909501	0.16342716	2.0640571	0.14452145
ARID1A	0.32332931	0.079027347	0.31430074	0.37540225	0.65892307	0.045386756
ARID1A	-0.11436939	0.071898315	-0.12063822	0.034104456	2.0650532	0.13902792
ARID1A	-0.44714202	0.074336993	-0.4687047	-0.57787625	-1.7586698	-0.1248863
ARID1A	0.48729299	0.045730663	0.49229191	0.76500327	6.0727368	0.2569966
ARID1A	-0.35579191	0.081502173	-0.37817594	-0.54267067	-2.2929298	-0.18020948
ARID1A	0.24894271	0.055280815	0.23966083	0.44504859	3.5474492	0.18967301
ARID1A	0.67587022	0.065394829	0.69953814	0.82440041	2.2712834	0.10914751
ARID1A	0.23745056	0.067617774	0.25092732	0.080989963	-2.3138975	-0.18565211
ARID1A	-0.50510998	0.48167162	-0.59787109	-0.4647861	0.083716527	0.11737023
ARID1A	-0.42691041	0.061364016	-0.41859049	-0.20987242	3.5368936	0.19300332
ARID1A	0.22329224	0.058033246	0.23278917	0.11621747	-1.8450591	-0.13228645
ARID1A	-0.031706731	0.59278903	-0.12506241	-0.029645946	0.0034764221	0.079701708
GMEB1	-0.58906001	0.29408071	-0.52287568	-0.82952358	-0.81767883	-0.32236266
GMEB1	0.41096263	0.33701619	0.44412604	0.089613988	-0.95351099	-0.37022681
CSF3R	0.10244854	0.45352714	0.02656315	0.051168267	-0.11306991	0.008890361
CSF3R	-0.66506002	0.11677972	-0.64635782	-0.659685	0.046026996	-0.029041936
CSF3R	-0.6973585	0.11674892	-0.67692257	-0.45909745	2.0407987	0.20211036
CSF3R	0.30872658	0.042886321	0.31182124	0.13688778	-4.0068441	-0.19064822
CSF3R	0.21489482	0.041909223	0.20729181	-0.47732505	-16.517125	-0.70033161
CSF3R	-0.5471401	0.097432071	-0.52136251	-0.96307542	-4.2689776	-0.45742767
CSF3R	-0.028076526	0.072440776	-0.038386846	0.1355028	2.2581112	0.15817489
CSF3R	-0.044006399	0.086460946	-0.046982034	-0.041126198	0.033312157	-0.0098589203
CSF3R	0.28643364	0.086122198	0.29066924	0.40246891	1.3473329	0.096084917
CSF3R	-0.082272238	0.053156938	-0.097161122	-0.24762887	-3.1107253	-0.1661825
CSF3R	-0.33043079	0.038596017	-0.33663248	-1.2102724	-22.796176	-0.88935466
CSF3R	-0.13830742	0.075016348	-0.15166034	-0.1176042	0.27598273	0.018341381
CSF3R	0.68489783	0.046960169	0.69304973	0.1651631	-11.067565	-0.54360139
CSF3R	-0.13483811	0.19895341	-0.16607926	-0.093575001	0.20740086	0.056789503
CSF3R	-0.075132279	0.12913574	-0.073922477	-0.34143525	-2.0621942	-0.28322753
CSF3R	-0.35424372	0.065312604	-0.33499882	-0.20475825	2.2887692	0.11452582
MTF1	-0.70025244	0.35015645	-0.64170804	-1.1039064	-1.1527816	-0.47791308
MYCL	-0.067066281	0.42225416	-0.13623475	-0.076625933	-0.022639569	0.043894061
MYCL	-0.35889063	0.31818422	-0.42507614	-0.39863703	-0.12491631	0.010724355
MYCL	0.49354447	0.60422713	0.39070094	0.5397361	0.076447457	0.1333204
MPL	-0.12765893	0.079237544	-0.10527593	-0.048942618	0.9934219	0.040618556
MPL	-0.28846093	0.04643714	-0.29304199	-0.24298665	0.97926534	0.034340586
MPL	0.19383741	0.080821542	0.18032849	0.19703553	0.039570107	0.0009922811
MPL	-0.47181084	0.20173983	-0.50675082	-0.66864107	-0.9756637	-0.17760501
MPL	-0.044610841	0.21869242	0	0.19504873	1.0958751	0.17933397
MPL	-0.038262823	0.10220576	-0.029112802	0.32949332	3.598194	0.34289137
MPL	-0.17570055	0.039456496	-0.17207223	-0.15043666	0.64029729	0.0059208117
MPL	-0.067834232	0.095186833	-0.084381518	-0.32470984	-2.6986465	-0.25604308
MPL	-0.28051464	0.047559775	-0.28392825	-0.15669115	2.6035341	0.11152235
MPL	-0.26934777	0.045913886	-0.27613262	0.0064993992	6.0079247	0.26691726
MPL	0.011109429	0.072574038	0.012758101	-0.084231116	-1.3137004	-0.11270397
MPL	-0.00037046356	0.20140125	0.022116172	0.050686051	0.25350644	0.012855123
MPL	0.0051329104	0.1660077	-0.024757499	-0.15772719	-0.98103947	-0.14868445
MUTYH	0.20023317	0.069976698	0.21245365	-0.081002905	-4.0189961	-0.30917131
MUTYH	-0.57769103	0.086837468	-0.57033179	-0.590608	-0.14874883	-0.035990968
MUTYH	-0.031759584	0.057128094	-0.030848649	-0.083599591	-0.90743457	-0.068465698
MUTYH	0.016048704	0.065097731	0.028962569	0.4844996	7.1961171	0.43982228
MUTYH	0.18044786	0.062427323	0.17759808	0.38844147	3.331772	0.19512863
MUTYH	-0.16117712	0.19694326	-0.19467321	-0.14581118	0.078022152	0.033147271
MUTYH	0.1747743	0.078747938	0.1829117	0.25388663	1.0046274	0.055260178
MUTYH	-0.19943814	0.26816562	-0.25213531	-0.19965136	-0.00079511228	0.036769192
MUTYH	0.16396571	0.11331582	0.1831233	0.13946427	-0.2162226	-0.059373787
MUTYH	0.76255311	0.10701047	0.78358169	0.84420973	0.76307131	0.044913284
MUTYH	0.15272996	0.11551966	0.14054373	0.29276919	1.2122545	0.1365107
MUTYH	-0.022854853	0.04340019	-0.016454871	-0.06283108	-0.92110719	-0.062090965
MUTYH	-0.13794771	0.10557476	-0.16661039	-0.0091322444	1.2201351	0.14176339
MUTYH	0.13250196	0.10884014	0.14649704	0.58630459	4.1694418	0.42409279
RAD54L	0.16233184	0.082469171	0.18131026	0.41082655	3.013183	0.21380153
RAD54L	-0.044531065	0.10461665	-0.013346032	0.13493985	1.71551	0.13257112
RAD54L	-0.85865396	0.07584364	-0.85378416	-0.75699294	1.3404027	0.081076465
RAD54L	0.43066646	0.10594586	0.44860207	0.23976175	-1.8019082	-0.22455508
RAD54L	-0.15768733	0.037058943	-0.14722018	-0.20739971	-1.3414408	-0.075894283
RAD54L	0.41345288	0.13886608	0.4011826	0.14025041	-1.9673809	-0.27664695
RAD54L	-0.17266218	0.18755629	-0.20685201	-0.3271078	-0.82346276	-0.13597055
RAD54L	0.11041062	0.075672504	0.13478189	-0.057812453	-2.2230409	-0.2083091
RAD54L	-0.23237611	0.053421526	-0.23097263	-0.26904906	-0.68648269	-0.053791189
RAD54L	-0.47038344	0.091071933	-0.47581802	-0.67149686	-2.208292	-0.21139359
RAD54L	0.37907576	0.10967009	0.39171392	0.019263374	-3.2808616	-0.3881653
RAD54L	0.81284213	0.30114501	0.85701565	1.0791159	0.88420455	0.20638551
RAD54L	0.36181819	0.25558436	0.39571652	0.46300811	0.39591594	0.051576835
RAD54L	0.54844287	0.08729744	0.5720604	0.65545085	1.225786	0.067675697
RAD54L	0.16828756	0.050788071	0.16640232	0.13699959	-0.6160496	-0.045117487
RAD54L	0.061087739	0.11144481	0.089412197	-0.094117707	-1.3926664	-0.19924466
RAD54L	-0.14749899	0.07102564	-0.14322663	-0.26559753	-1.6627593	-0.13808566
RAD54L	0.14401157	0.064928227	0.13736286	0.25357032	1.6873825	0.10049271
RAD54L	0.091004661	0.091810227	0.070584091	0.41471855	3.5259022	0.3284197
CDKN2C	-0.038830996	0.064619135	-0.030434303	0.018120352	0.88133876	0.032839899
CDKN2C	-0.09762416	0.24250738	-0.14425292	-0.12920228	-0.1302151	-0.00066411843
JUN	0.35662689	0.22091728	0.31500128	0.70048997	1.5565242	0.36977394
JUN	0.2240048	0.072206807	0.22333119	0.46246347	3.3024404	0.22341753
JUN	0.15114382	0.26925879	0.085098836	0.2312638	0.29755754	0.13045021
JAK1	0.29370108	0.098038916	0.30836707	0.41377732	1.2247814	0.089695491
JAK1	0.25561998	0.058389446	0.24894595	0.26612284	0.17987594	0.0014621304
JAK1	-0.85287829	0.056528555	-0.85373366	-0.96745847	-2.0269435	-0.12943957
JAK1	0.25313226	0.069328138	0.26515129	0.43883078	2.6785448	0.15796473
JAK1	0.77522639	0.076683451	0.76857911	0.60348699	-2.2395889	-0.18080688
JAK1	0.24041742	0.080412605	0.22723646	0.12065953	-1.4892924	-0.12229168
JAK1	0.81749588	0.15539032	0.80786334	0.81539673	-0.013508871	-0.0081813637
JAK1	0.2134122	0.051740349	0.20974771	0.25242553	0.75402139	0.026963064
JAK1	0.20692306	0.055494574	0.19317383	0.35176674	2.6100512	0.14287815
JAK1	0.2036544	0.064397161	0.20633312	-0.36234926	-8.7892642	-0.58439714
JAK1	-0.20302158	0.085955502	-0.19511802	-0.31908758	-1.3503033	-0.13968431
JAK1	0.6226634	0.10501498	0.63432926	0.92487816	2.8778253	0.27483415
JAK1	0.43014255	0.044605976	0.4325787	0.1495174	-6.2912008	-0.29877606
JAK1	-0.011017955	0.06061823	-0.018105102	0.24736345	4.2624373	0.24975379
JAK1	0.26241919	0.066317225	0.24636876	0.30491086	0.64073352	0.042827343
JAK1	0.043779526	0.067757577	0.045357123	0.027720145	-0.23701233	-0.033351734
JAK1	-0.058827	0.042681363	-0.066534685	0.0077076224	1.5588683	0.058527551
JAK1	0.92126467	0.05430107	0.91708783	0.99323499	1.3253942	0.060432407
JAK1	0.075706612	0.23311912	0.038341673	-0.10360202	-0.7691717	-0.15765845
JAK1	-0.33212804	0.061385164	-0.32434201	-0.34796706	-0.25802677	-0.039339802
JAK1	0.297728	0.079763455	0.28859383	-0.1241647	-5.2892983	-0.42847329
JAK1	0.11497099	0.069172313	0.11266237	0.21791819	1.4882718	0.089541068
JAK1	-0.32233729	0.092376944	-0.336277	-0.031989727	3.1430739	0.28857252
JAK1	-0.29802952	0.12902927	-0.28466802	-0.29675753	0.0098581658	-0.027804264
LEPR	-0.48625337	0.27600171	-0.46111998	-0.90252369	-1.5082165	-0.45711847
ZZZ3	-0.25332509	0.29322383	-0.20665653	-0.34030815	-0.29664389	-0.14936637
ZZZ3	-0.15639042	0.2901674	-0.082120758	0.075175796	0.79804353	0.1415818
FUBP1	-0.53241163	0.10653261	-0.51824791	-0.39593128	1.2811134	0.10660188
FUBP1	0.22753993	0.43551417	0.15686847	0.25499755	0.063046444	0.082414324
FUBP1	0.89835385	0.066695473	0.9151633	0.6812804	-3.2546955	-0.24959766
FUBP1	-0.17480378	0.056223548	-0.17571662	-0.14533049	0.52421617	0.014671377
FUBP1	-0.1938951	0.18791972	-0.17059971	0.098209623	1.5544123	0.25309458
FUBP1	0.095080702	0.082239811	0.07799162	0.30549147	2.5585026	0.21178509
FUBP1	0.15964792	0.12396059	0.17562516	0.19540996	0.28849521	0.0040700408
FUBP1	0.36914062	0.083681518	0.35789996	0.55230325	2.1888063	0.17868854
FUBP1	0.60771341	0.044047308	0.60817132	0.6719585	1.4585474	0.048072423
FUBP1	0.210277	0.058040326	0.20574914	0.54705008	5.8023981	0.32558618
FUBP1	0.58484281	0.10066253	0.59445529	0.80116034	2.1489379	0.19099029
FUBP1	0.35815392	0.093415895	0.36513459	0.44406482	0.91966038	0.063215471
FUBP1	0.50641468	0.11590389	0.51624466	0.74522409	2.060409	0.21326468
FUBP1	0.71404186	0.10198016	0.72452279	0.83448041	1.1809998	0.094242862
FUBP1	0.59075473	0.027323675	0.59013618	0.84251448	9.2139782	0.23666354
FUBP1	0.29240776	0.10550016	0.30530697	0.035687559	-2.4333631	-0.28533417
FUBP1	-0.10468049	0.20030924	-0.05644971	-0.18079432	-0.37998164	-0.14005937
FUBP1	0.41956796	0.12341211	0.44563445	0.61101051	1.551246	0.1496613
FUBP1	-0.15119035	0.22664399	-0.084372287	0.33950452	2.1650469	0.40816205
FUBP1	0.77438016	0.12266112	0.80304521	0.88971475	0.94027013	0.070954781
FUBP1	-0.43696476	0.11531844	-0.42471365	-0.33133492	0.91598391	0.077663969
FUBP1	0.04394147	0.13313229	0.064087943	0.036413099	-0.056548044	-0.0433896
FUBP1	0.6084905	0.10796227	0.58169378	0.8195763	1.9551812	0.22216776
rs67376798	-0.034410188	0.088263638	-0.024460992	0.17412499	2.3626397	0.18287123
rs3918290	0.52308865	0.10541917	0.52671115	0.72433286	1.9089906	0.18190695
rs55886062	-0.35519353	0.096963891	-0.33405661	-0.14166895	2.2021041	0.17667291
rs2297595	0.34402198	0.043536639	0.33495803	0.47018061	2.8977576	0.11950782
rs1801265	0.36117171	0.11497975	0.38705572	0.59258666	2.0126583	0.18981619
DBT	-1.7696095	0.24600402	-1.7011841	-2.2237018	-1.8458735	-0.53823246
COSM5045664	-12.161083	9.8311516	-20.489652	-18.107505	-0.6048551	2.366432
COSM5045664	-11.242267	9.706221	-19.883141	-17.011988	-0.59443532	2.8554386
GSTM1	-3.6293214	2.5591364	-5.4311063	-7.2281805	-1.4062787	-1.812789
COSM3676668	-4.4890233	3.5859764	-6.9171585	-8.2299198	-1.0432016	-1.328476
NRAS	0.5221308	0.044212595	0.51964787	0.50278989	-0.43745243	-0.032572733
NRAS	0.55122069	0.044001725	0.55134759	0.72652379	3.9840051	0.15946144
NRAS	-0.11754838	0.089854649	-0.11876862	-0.30945779	-2.135776	-0.20640392
NRAS	0.42300156	0.096940531	0.44292898	1.0955714	6.9379631	0.63692765
FAM46C	-0.093152448	0.56761234	-0.1998172	-0.040652994	0.092491741	0.14344945
NOTCH2	0.1904515	0.58196319	0.073277799	0.081249683	-0.18764386	-0.0077428716
NOTCH2	0.35783339	0.099621392	0.37659135	0.38669303	0.28969325	-0.0056130713
NOTCH2	-0.13642672	0.072195794	-0.14797286	-0.019360454	1.6215109	0.11289765
NOTCH2	-0.6710623	0.19947451	-0.69048071	-0.61860567	0.26297409	0.056160282
NOTCH2	-0.086253578	0.079643593	-0.093759799	0.11434	2.5186405	0.19238504
NOTCH2	0.53997506	0.10953107	0.55520432	0.58101013	0.3746432	0.010091055
NOTCH2	-0.27339947	0.073572633	-0.28403827	-0.18285098	1.230736	0.085472532
NOTCH2	0.32532274	0.057253666	0.33040908	0.15266991	-3.0155768	-0.19345393
NOTCH2	0.045744528	0.2332733	-0.0018491679	0.17449252	0.55191911	0.16062693
NOTCH2	-0.063128745	0.34839787	-0.13591611	-0.15345748	-0.2592689	-0.033256122
NOTCH2	-0.67817777	0.10294914	-0.66759296	-0.2913161	3.7577941	0.36056211
NOTCH2	0.00018585495	0.097648589	-0.032462178	0.21419077	2.1915823	0.23093819
NOTCH2	1.2356786	0.29857371	1.297765	1.6351015	1.3377699	0.32162178
NOTCH2	-0.23470566	0.26507282	-0.28095343	-0.31703594	-0.31059495	-0.051797266
NOTCH2	-0.48456648	0.089485798	-0.50074269	-0.3282601	1.7467172	0.15676783
NOTCH2	-0.13462713	0.086933656	-0.13603644	0.15187376	3.2956268	0.27219544
NOTCH2	-0.47331066	0.089935313	-0.47257582	-0.16405276	3.4386704	0.2928083
NOTCH2	-0.20306577	0.071809559	-0.1911752	-0.15116469	0.72276002	0.024295752
NOTCH2	0.033992835	0.24693475	0.065263866	0.37854269	1.3953073	0.29756407
NOTCH2	-0.29046794	0.066490791	-0.29660316	-0.16679054	1.8600682	0.11409787
NOTCH2	0.19751331	0.060025284	0.19410727	0.42124594	3.7273065	0.21142392
NOTCH2	-0.30995197	0.072985777	-0.31437819	-0.29458569	0.21053801	0.0040777441
NOTCH2	0.13891323	0.04944207	0.12642744	0.091713789	-0.95464127	-0.050428407
NOTCH2	0.0075633442	0.09091921	-0.0044548246	-0.17016801	-1.9548273	-0.18142794
NOTCH2	-0.26490101	0.052227402	-0.26635519	-0.20653046	1.1176232	0.044109979
NOTCH2	-0.36169821	0.1312359	-0.38493584	-0.077860039	2.1628089	0.29136105
NOTCH2	-0.67277518	0.052156691	-0.67960365	-0.70502766	-0.61837664	-0.041138765
NOTCH2	0.14445944	0.051074181	0.14153378	0.39491933	4.9038455	0.23767079
NOTCH2	-0.38951018	0.10385793	-0.39131392	-0.2976228	0.88474111	0.077976364
NOTCH2	-0.0059371079	0.063922905	0.0022047121	0.022692231	0.44787293	0.0047727631
NOTCH2	0.014179229	0.13286831	-0.017272543	0.17557574	1.2147104	0.17713353
NOTCH2	-0.040180611	0.075203971	-0.025749857	0.0032614156	0.57765602	0.013296517
NOTCH2	-0.25109187	0.38374977	-0.44809896	0.74300902	2.5904925	1.1753932
NOTCH2	0.61476296	0.22885439	0.56638314	1.3076198	3.0275007	0.72552188
NOTCH2	0.99862677	0.15553852	1.0261615	1.1700841	1.1023466	0.12820787
NOTCH2	1.2175916	0.44578455	1.1645872	1.1454889	-0.16174331	-0.034813027
NOTCH2	0.60844393	0.22554021	0.63945768	1.1972061	2.6104534	0.54203371
NOTCH2	1.2423639	0.17385437	1.2170968	1.8246481	3.3492639	0.59183651
MCL1	0.13648878	0.083670678	0.14224669	0.084936006	-0.61613907	-0.07302544
MCL1	0.22595777	0.14272491	0.20173479	0.20955618	-0.11491749	-0.0078933642
MCL1	0.25024684	0.43693938	0.16569285	0.75399557	1.152903	0.57258796
ASH1L	-2.9403242	0.37605435	-2.8966683	-2.664104	0.73452194	0.21684952
NTRK1	0.25959032	0.084530824	0.26937078	0.76592131	5.9898977	0.48083577
NTRK1	0.11142462	0.053066853	0.11844126	0.026044766	-1.6089112	-0.10811125
NTRK1	-0.84497434	0.19142102	-0.86904126	-1.2500842	-2.1163289	-0.39675768
NTRK1	0.059523354	0.091606644	0.074521028	-1.0440249	-12.046596	-1.1342607
NTRK1	0.2051431	0.048985876	0.21225734	0.27390474	1.4037035	0.045932648
NTRK1	0.14380416	0.10013723	0.15537683	-0.24094442	-3.8422132	-0.41203601
NTRK1	0.031138785	0.35281302	-0.03170204	-0.66942238	-1.9856443	-0.6534351
