Chr	start	end	gene	depth	R-190115-979857-BLD-101100_BC_E19011812-32-DNA_F1901184313-27_L190118-00002-H6_20190121-C8_panel12_plus_P190121536-1_sample20190121-B3-A00168-log2_ND
chr1	43812084	43812336	MPL	2103	-0.081511574
chr1	43812429	43812647	MPL	1233	-0.48753907
chr1	43814479	43814698	MPL	1923	0.38845636
chr1	43814899	43815054	MPL	1519	0.54708428
chr1	43817889	43817988	MPL	928	0.62103913
chr1	43818154	43818482	MPL	2416	-0.12018213
chr1	45794955	45795119	MUTYH	1021	-0.30845039
chr1	45796125	45796278	MUTYH	790	-0.77235196
chr1	45796825	45797037	MUTYH	2593	0.48161283
chr1	45797060	45797245	MUTYH	1868	0.58704249
chr1	45797300	45797560	MUTYH	2556	0.55384593
chr1	45797655	45798020	MUTYH	3857	0.54772096
chr1	45798030	45798185	MUTYH	1316	0.15986014
chr1	45798210	45798683	MUTYH	3542	-0.073034696
chr1	45798730	45798871	MUTYH	1469	0.39267669
chr1	45798905	45799041	MUTYH	2046	0.96437153
chr1	45799060	45799347	MUTYH	2928	0.43261247
chr1	45800030	45800224	MUTYH	2151	0.52375626
chr1	45805525	45805806	MUTYH	1967	0.1468492
chr1	45805835	45805980	MUTYH	1575	0.69712638
chr1	46713995	46714148	RAD54L	2680	1.124296
chr1	46714155	46714293	RAD54L	1690	0.64067151
chr1	46715650	46715836	RAD54L	1249	-0.37039216
chr1	46724305	46724440	RAD54L	1195	0.27643287
chr1	46725600	46725794	RAD54L	1555	0.0095044648
chr1	46726175	46726319	RAD54L	2040	0.61267381
chr1	46726370	46726721	RAD54L	3288	0.055023748
chr1	46726910	46727087	RAD54L	1669	0.11571334
chr1	46733105	46733321	RAD54L	1499	-0.33181926
chr1	46736305	46736490	RAD54L	1478	-0.15121143
chr1	46738090	46738248	RAD54L	3117	1.3316314
chr1	46738310	46738381	RAD54L	1801	1.4867305
chr1	46738405	46738480	RAD54L	1436	1.1292376
chr1	46739010	46739160	RAD54L	2054	0.58519399
chr1	46739270	46739438	RAD54L	2004	0.49566225
chr1	46739775	46739909	RAD54L	1022	-0.14956725
chr1	46740185	46740427	RAD54L	2312	0.11192205
chr1	46743455	46743681	RAD54L	2257	0.24235641
chr1	46743710	46743975	RAD54L	2312	0.22142191
chr1	51436010	51436189	CDKN2C	1819	0.22475876
chr1	51439535	51439952	CDKN2C	3335	-0.21118552
chr1	59247721	59248108	JUN	7162	1.2426512
chr1	59248131	59248305	JUN	2238	0.92266046
chr1	59248316	59248776	JUN	6979	1.0904512
chr1	65300217	65300349	JAK1	1556	1.1737121
chr1	65301047	65301221	JAK1	1649	0.27109996
chr1	65301757	65301935	JAK1	583	-1.2560659
chr1	65303592	65303795	JAK1	2181	0.37383231
chr1	65304112	65304302	JAK1	2342	1.0856674
chr1	65305252	65305515	JAK1	2642	0.19845613
chr1	65306902	65307035	JAK1	2185	1.0424506
chr1	65307107	65307318	JAK1	2241	0.27335558
chr1	65309722	65309940	JAK1	1786	-0.11322724
chr1	65310412	65310587	JAK1	886	-0.70979943
chr1	65311162	65311353	JAK1	1476	-0.18211451
chr1	65312302	65312445	JAK1	1428	0.24082774
chr1	65313192	65313402	JAK1	2211	0.25886287
chr1	65316452	65316634	JAK1	2189	0.63104432
chr1	65321167	65321414	JAK1	2998	0.61206787
chr1	65323317	65323491	JAK1	1904	0.32018203
chr1	65325757	65325973	JAK1	2111	0.20966593
chr1	65330437	65330641	JAK1	4131	1.6515164
chr1	65332517	65332919	JAK1	3999	0.32169761
chr1	65334962	65335180	JAK1	1813	-0.070966521
chr1	65339017	65339243	JAK1	2827	0.5044482
chr1	65344682	65344849	JAK1	1307	-0.13185235
chr1	65348937	65349191	JAK1	2044	-0.049793964
chr1	65351912	65352043	JAK1	396	-0.85715708
chr1	66037892	66037969	LEPR	609	0.4134691
chr1	78034082	78034152	ZZZ3	679	1.1636485
chr1	78034172	78034239	ZZZ3	292	-0.058643222
chr1	78413147	78413290	FUBP1	801	-0.56682776
chr1	78413557	78414303	FUBP1	3099	-0.12039475
chr1	78414327	78414496	FUBP1	908	0.054358408
chr1	78414812	78415016	FUBP1	1499	-0.17139348
chr1	78420902	78421004	FUBP1	650	0.11096045
chr1	78422222	78422407	FUBP1	2871	0.89781868
chr1	78425832	78425973	FUBP1	1295	0.079998422
chr1	78426007	78426208	FUBP1	2031	0.42356633
chr1	78428432	78428641	FUBP1	2372	0.80000026
chr1	78429232	78429405	FUBP1	1500	0.15357088
chr1	78429722	78429858	FUBP1	1590	0.60906903
chr1	78429907	78430057	FUBP1	1161	0.29185899
chr1	78430307	78430442	FUBP1	1790	0.83067234
chr1	78430532	78430671	FUBP1	2444	1.2273608
chr1	78430727	78430927	FUBP1	2617	0.84116808
chr1	78432327	78432461	FUBP1	837	0.041380881
chr1	78432532	78432639	FUBP1	920	0.27000251
chr1	78432687	78432824	FUBP1	977	0.69597244
chr1	78433257	78433358	FUBP1	969	0.48094354
chr1	78433797	78433930	FUBP1	1212	1.0849851
chr1	78434662	78434796	FUBP1	487	-0.97282884
chr1	78435572	78435681	FUBP1	735	0.21411074
chr1	78444537	78444730	FUBP1	3324	1.2489963
chr1	97547862	97548016	rs67376798	973	-0.28717233
chr1	97915537	97915685	rs3918290	1584	0.61283582
chr1	97981272	97981420	rs55886062	1329	0.12567776
chr1	98164957	98165163	rs2297595	1986	0.35068273
chr1	98348802	98348948	rs1801265	1969	0.80199626
chr1	100661907	100661985	DBT	258	-1.3412837
chr1	110230421	110230499	COSM5045664	0.001	-19.252655
chr1	110230501	110230572	COSM5045664	0.001	-18.91956
chr1	110231796	110231956	GSTM1	34	-5.350049
chr1	110233046	110233151	COSM3676668	0.001	-19.632274
chr1	115251123	115251297	NRAS	1697	0.36577469
chr1	115252158	115252372	NRAS	3161	0.87576289
chr1	115256398	115256631	NRAS	1386	-0.48334433
chr1	115258638	115258818	NRAS	2687	0.76225782
chr1	118165467	118166690	FAM46C	10080	-0.086317181
chr1	120457895	120459347	NOTCH2	12113	0.1657303
chr1	120460260	120460407	NOTCH2	1388	0.10977515
chr1	120460995	120461219	NOTCH2	1263	-0.64209292
chr1	120461900	120462260	NOTCH2	2607	-0.2482623
chr1	120462830	120463049	NOTCH2	2046	0.23871607
chr1	120464305	120464447	NOTCH2	2035	0.72574314
chr1	120464825	120465084	NOTCH2	2362	0.057385841
chr1	120465235	120465440	NOTCH2	2208	0.4516052
chr1	120466225	120466616	NOTCH2	3214	-0.13403553
chr1	120467895	120468459	NOTCH2	4242	-0.051617286
chr1	120469095	120469246	NOTCH2	574	-1.2132962
chr1	120471575	120471850	NOTCH2	1338	-0.67166215
chr1	120477725	120477796	NOTCH2	931	1.4219973
chr1	120477805	120478262	NOTCH2	2794	-0.38587083
chr1	120479870	120480128	NOTCH2	1512	-0.50103297
chr1	120480445	120480672	NOTCH2	1307	-0.60298198
chr1	120483155	120483412	NOTCH2	1237	-0.87011549
chr1	120484115	120484301	NOTCH2	1481	-0.16621289
chr1	120484320	120484396	NOTCH2	421	-0.61022916
chr1	120491010	120491227	NOTCH2	1296	-0.5595653
chr1	120491595	120491778	NOTCH2	1721	0.16318238
chr1	120493325	120493493	NOTCH2	1190	-0.30075571
chr1	120496130	120496346	NOTCH2	1314	-0.3614372
chr1	120497630	120497896	NOTCH2	1300	-0.8409162
chr1	120501990	120502160	NOTCH2	632	-1.0414171
chr1	120506170	120506460	NOTCH2	1888	-0.40720638
chr1	120508045	120508221	NOTCH2	769	-1.0140691
chr1	120508970	120509148	NOTCH2	1207	-0.34404742
chr1	120510025	120510287	NOTCH2	1369	-0.76748844
chr1	120510675	120510890	NOTCH2	1652	-0.195678
chr1	120512105	120512396	NOTCH2	3024	0.31319448
chr1	120529560	120529729	NOTCH2	1262	-0.20060946
chr1	120539590	120539975	NOTCH2	2320	-0.49080961
chr1	120547930	120548245	NOTCH2	3732	0.42498422
chr1	120572490	120572596	NOTCH2	1010	0.62912303
chr1	120594075	120594782	NOTCH2	10775	1.0143531
chr1	120611915	120612044	NOTCH2	1349	0.81218545
chr1	120612050	120612329	NOTCH2	3524	1.0067661
chr1	150549810	150549982	MCL1	643	-1.0881668
chr1	150550695	150551005	MCL1	3096	0.18792368
chr1	150551285	150552026	MCL1	9251	0.89376323
chr1	155404310	155404377	ASH1L	78	-2.6491069
chr1	156785554	156785697	NTRK1	1207	0.086389876
chr1	156811839	156812032	NTRK1	1659	0.13000746
chr1	156830599	156830960	NTRK1	1243	-1.0089556
chr1	156834109	156834247	NTRK1	245	-1.9737304
chr1	156834434	156834620	NTRK1	1361	0.097373008
chr1	156836664	156836808	NTRK1	726	-0.67976295
chr1	156837864	156838482	NTRK1	2640	-0.65231024
chr1	156841379	156842013	NTRK1	5011	-0.16155149
chr1	156842029	156842236	NTRK1	1376	0.01565983
chr1	156842244	156842391	NTRK1	630	0.068375508
chr1	156842394	156842467	NTRK1	209	-0.66330492
chr1	156842989	156844812	NTRK1	16771	0.57962789
chr1	156844829	156845480	NTRK1	5123	0.084740138
chr1	156845634	156845781	NTRK1_fus	699	-0.72407386
chr1	156845839	156846015	NTRK1	954	-0.33434642
chr1	156846124	156846452	NTRK1	1628	-0.48607112
chr1	156848814	156849231	NTRK1	2866	-0.20432619
chr1	156849764	156849973	NTRK1	1169	-0.26277944
chr1	156851224	156851469	NTRK1	0.001	-20.581796
chr1	161203548	161203621	rs28738963	102	-2.5368953
chr1	161204478	161204625	rs2501873	570	-1.1969865
chr1	161284128	161284273	SDHC	1896	0.92347138
chr1	161293348	161293426	SDHC	499	-0.0012906623
chr1	161298153	161298305	SDHC	1700	0.49094805
chr1	161309338	161309432	SDHC	349	-0.37966437
chr1	161310333	161310497	SDHC	2330	0.92783896
chr1	161326443	161326655	SDHC	1032	-0.83000947
chr1	161332168	161332247	SDHC	418	-0.74466936
chr1	162681004	162681147	DDR2	1305	0.63948755
chr1	162688799	162689049	DDR2	2599	0.29293466
chr1	162711354	162711535	DDR2	1310	-0.25086154
chr1	162722859	162723012	DDR2	1436	0.06483215
chr1	162724389	162724665	DDR2	2149	0.0098940885
chr1	162724924	162725131	DDR2	2525	0.51130333
chr1	162725419	162725599	DDR2	2244	0.48423693
chr1	162729564	162729804	DDR2	2486	0.25187546
chr1	162730979	162731264	DDR2	3762	0.62974472
chr1	162735739	162735884	DDR2	1242	-0.04180017
chr1	162736994	162737184	DDR2	1760	0.096348883
chr1	162740069	162740312	DDR2	2247	0.075258162
chr1	162741779	162742071	DDR2	2145	-0.1270912
chr1	162743224	162743417	DDR2	1529	0.024606462
chr1	162745419	162745656	DDR2	1552	-0.32280628
chr1	162745904	162746192	DDR2	3707	0.55735122
chr1	162748334	162748548	DDR2	3210	0.89795515
chr1	162749879	162750051	DDR2	1567	0.11374779
chr1	171252329	171252394	FMO1	150	-1.4015683
chr1	174926874	174926948	RABGAP1L	454	-0.045119731
chr1	193091303	193091486	CDC73	2629	0.89186924
chr1	193094218	193094362	CDC73	2106	0.88334743
chr1	193099263	193099402	CDC73	841	0.22649978
chr1	193104478	193104746	CDC73	2366	0.58101771
chr1	193107183	193107319	CDC73	1663	0.68770639
chr1	193110958	193111230	CDC73	1245	-0.52568405
chr1	193116963	193117110	CDC73	1313	0.22419638
chr1	193119398	193119533	CDC73	784	-0.10300481
chr1	193121468	193121602	CDC73	1183	0.60068822
chr1	193172878	193173010	CDC73	680	-0.48906326
chr1	193181183	193181283	CDC73	678	0.34409318
chr1	193181488	193181620	CDC73	1146	0.64654221
chr1	193202093	193202301	CDC73	1161	-0.3708289
chr1	193205363	193205499	CDC73	2597	1.147027
chr1	193218838	193219009	CDC73	1267	-0.0053285991
chr1	193219753	193219891	CDC73	687	0.21571663
chr1	204494382	204494536	MDM4	1294	0.11924478
chr1	204494602	204494748	MDM4	787	-0.51326024
chr1	204495452	204495589	MDM4	998	0.2528721
chr1	204499787	204499952	MDM4	1017	-0.32922443
chr1	204501267	204501424	MDM4	1012	-0.036128504
chr1	204506507	204506652	MDM4	1870	0.5932363
chr1	204507302	204507455	MDM4	1039	-0.26161275
chr1	204511887	204512092	MDM4	1414	-0.052101714
chr1	204513637	204513846	MDM4	1687	0.30472944
chr1	204515892	204516028	MDM4	641	-0.67237379
chr1	204518217	204518835	MDM4	4164	-0.19677971
chr1	206646531	206646677	IKBKE	597	-0.90395995
chr1	206647651	206647824	IKBKE	1184	-0.15954405
chr1	206648186	206648362	IKBKE	2380	1.0088201
chr1	206649496	206649744	IKBKE	1878	0.090289991
chr1	206649996	206650203	IKBKE	2131	0.47832289
chr1	206651061	206651243	IKBKE	2114	0.80609007
chr1	206651541	206651720	IKBKE	1558	0.18364055
chr1	206652251	206652506	IKBKE	2062	0.23746397
chr1	206653161	206653302	IKBKE	1775	0.86292266
chr1	206653326	206653477	IKBKE	1762	0.76964023
chr1	206653761	206653901	IKBKE	777	-0.34554279
chr1	206658291	206658448	IKBKE	1419	0.24329486
chr1	206658506	206658674	IKBKE	1562	0.29186227
chr1	206661206	206661352	IKBKE	1644	0.32223459
chr1	206664086	206664233	IKBKE	1678	0.42808402
chr1	206664951	206665093	IKBKE	1335	0.06826362
chr1	206666326	206666475	IKBKE	1559	0.33275808
chr1	206666566	206666742	IKBKE	1346	-0.011742311
chr1	206667216	206667360	IKBKE	1320	0.24403191
chr1	206669381	206669533	IKBKE	1426	0.056999625
chr1	209974444	209974522	IRF6	811	0.23306824
chr1	209974544	209974609	IRF6	993	1.1512997
chr1	226252036	226252111	H3F3A	273	-1.1522121
chr1	226253321	226253387	H3F3A	1296	1.3595653
chr1	226253471	226253550	H3F3A	775	0.076645327
chr1	226259126	226259204	H3F3A	101	-2.7835241
chr1	226549116	226549277	PARP1	888	-0.582973
chr1	226549646	226549820	PARP1	664	-1.1224836
chr1	226550751	226550900	PARP1	1223	-0.14721118
chr1	226551616	226551789	PARP1	1214	-0.28798295
chr1	226552681	226552884	PARP1	1535	-0.0075438686
chr1	226553631	226553772	PARP1	1381	0.23281702
chr1	226555146	226555331	PARP1	1840	0.18605863
chr1	226555876	226556054	PARP1	2196	0.61473556
chr1	226558101	226558249	PARP1	2487	1.0407819
chr1	226561896	226562080	PARP1	1680	0.13339401
chr1	226564786	226565024	PARP1	3405	0.73610286
chr1	226566821	226567001	PARP1	2815	0.88660134
chr1	226567236	226567366	PARP1	899	-0.12805084
chr1	226567596	226567874	PARP1	4141	0.95253978
chr1	226568741	226568923	PARP1	1769	0.14230344
chr1	226570701	226570911	PARP1	2430	0.43382387
chr1	226573181	226573428	PARP1	1985	0.023162737
chr1	226573991	226574174	PARP1	2010	0.29758715
chr1	226576321	226576393	PARP1	1726	1.518704
chr1	226576396	226576471	PARP1	2177	1.8066842
chr1	226578086	226578359	PARP1	2258	0.11705316
chr1	226579866	226580055	PARP1	1645	-0.034141713
chr1	226589891	226590094	PARP1	2005	0.35042503
chr1	226595486	226595662	PARP1	1600	0.44141964
chr1	232564020	232564098	SIPA1L2	997	0.42582285
chr1	232564110	232564176	SIPA1L2	991	0.71056475
chr1	237048423	237048562	rs1805087	804	-0.004680064
chr1	237675063	237675131	RYR2	731	0.36631753
chr1	237675148	237675219	RYR2	673	1.1381927
chr1	241661104	241661311	FH	2820	0.92095744
chr1	241663714	241663892	FH	1885	0.43647966
chr1	241665719	241665902	FH	851	-0.81214074
chr1	241667319	241667560	FH	1637	-0.30402342
chr1	241669274	241669482	FH	1197	-0.34990058
chr1	241671879	241672121	FH	1263	-0.45601131
chr1	241675244	241675453	FH	1994	0.33288466
chr1	241676879	241677043	FH	1673	0.49774196
chr1	241680459	241680626	FH	1361	0.073620825
chr1	241682869	241683050	FH	2442	1.0532207
chr1	243668520	243668662	AKT3	1405	0.19407027
chr1	243675600	243675739	AKT3	933	0.48366952
chr1	243708781	243708919	AKT3	701	-0.24036968
chr1	243716006	243716279	AKT3	2369	0.38910696
chr1	243726986	243727172	AKT3	1606	0.15259888
chr1	243736221	243736357	AKT3	643	-0.89492918
chr1	243776936	243777033	AKT3	590	-0.22036804
chr1	243778356	243778487	AKT3	867	0.24557673
chr1	243800891	243801056	AKT3	1135	0.55005048
chr1	243809161	243809377	AKT3	3302	1.1487932
chr1	243828051	243828186	AKT3	953	0.19555019
chr1	243846426	243846579	AKT3	1860	0.69616437
chr1	243858871	243859041	AKT3	1439	0.37444406
chr1	244006401	244006614	AKT3	3607	0.97595049
chr1	244006786	244006932	AKT3	1094	0.20728554
chr1	244013276	244013406	AKT3	108	-2.9044282
chr1	244595882	244595950	ADSS	463	0.42930325
chr2	8822813	8822888	ID2	580	0.15928418
chr2	8822908	8822971	ID2	576	0.60253343
chr2	16082155	16083000	MYCN	5128	-0.14431113
chr2	16085580	16086258	MYCN	4749	-0.19250739
chr2	25457113	25457325	DNMT3A	1605	-0.022525383
chr2	25458553	25458728	DNMT3A	1489	0.026990779
chr2	25459768	25459917	DNMT3A	571	-1.1030263
chr2	25461968	25462119	DNMT3A	928	-0.46345583
chr2	25463148	25463354	DNMT3A	1159	-0.42322153
chr2	25463483	25463624	DNMT3A	1347	0.31055702
chr2	25464398	25464619	DNMT3A	1604	0.018272813
chr2	25466738	25466885	DNMT3A	1294	0.13339334
chr2	25466993	25467245	DNMT3A	2884	0.7251057
chr2	25467373	25467552	DNMT3A	1671	0.24568436
chr2	25468083	25468236	DNMT3A	785	-0.63259196
chr2	25468833	25468982	DNMT3A	1762	0.75958654
chr2	25469003	25469213	DNMT3A	2991	0.84337621
chr2	25469458	25469669	DNMT3A	2175	0.6519957
chr2	25469898	25470036	DNMT3A	1401	0.40847994
chr2	25470433	25470651	DNMT3A	1508	-0.045964036
chr2	25470873	25471124	DNMT3A	2398	0.45210312
chr2	25472488	25472634	DNMT3A	1506	0.20989427
chr2	25475038	25475198	DNMT3A	440	-1.2539615
chr2	25497788	25497990	DNMT3A	1849	0.57868203
chr2	25498318	25498449	DNMT3A	1074	0.026039704
chr2	25504298	25505616	DNMT3A	8769	-0.37972682
chr2	25522978	25523123	DNMT3A	2291	1.2509861
chr2	25536753	25537069	DNMT3A	2461	0.20825721
chr2	25537078	25537390	DNMT3A	2666	0.35585862
chr2	25537458	25537598	DNMT3A	785	-0.47233205
chr2	25564648	25564755	DNMT3A	290	-1.2044531
chr2	29416068	29416797	ALK	9644	0.69556048
chr2	29419608	29419751	ALK	818	-0.49225174
chr2	29420323	29420579	ALK	998	-1.1941928
chr2	29430003	29430192	ALK	1046	-0.6524991
chr2	29430833	29430978	ALK_fus	379	-1.6222696
chr2	29432553	29432804	ALK	1929	-0.17017164
chr2	29436763	29437077	ALK	1261	-0.94194775
chr2	29443473	29443784	ALK	2257	-0.12096844
chr2	29443853	29444104	ALK_fus	2369	0.15854511
chr2	29444203	29444367	ALK_fus	425	-1.7333863
chr2	29445103	29445289	ALK	964	-0.69430811
chr2	29445298	29446798	ALK	9108	-0.42439223
chr2	29446813	29449057	ALK	15158	0.31236108
chr2	29449363	29452025	ALK	18076	0.62778597
chr2	29455143	29455385	ALK	2665	0.52223828
chr2	29456328	29456587	ALK	1823	-0.30767998
chr2	29462523	29462734	ALK	1524	-0.020086282
chr2	29473943	29474171	ALK	1715	0.1364513
chr2	29497933	29498114	ALK	3231	1.0087716
