gene	mean_log2ND	std_log2ND	median_log2ND	R-181105-501025-BLD-485154_BC_E18110806-2-DNA_F1811082897-14_L181108-00003-A3_20181110-C8_panel12_P181110411-2_sample20181110-nextseq-TPNB500304-log2_ND	R-RZ	R-CopyRatio
MTOR	-0.17393826	0.057649276	-0.17986591	-0.035400172	2.4031193	0.094363676
MTOR	0.057326634	0.050467282	0.058466777	0.089300038	0.63354718	-0.019268801
MTOR	0.11695139	0.056199201	0.12113616	0.24182934	2.2220591	0.070591115
MTOR	-0.16400733	0.08468015	-0.16713529	-0.16671938	-0.032026969	-0.04968615
MTOR	-0.094672799	0.069936821	-0.097258565	-0.060875141	0.48325986	-0.013718638
MTOR	-0.26446756	0.089009531	-0.24885235	-0.18880121	0.85009271	0.0099490811
MTOR	-0.47810681	0.11210386	-0.45746856	-0.14304944	2.9888121	0.26431706
MTOR	-0.2253833	0.095239646	-0.21653069	-0.013103599	2.2289006	0.15332503
MTOR	0.62578836	0.18500604	0.60313624	0.42131757	-1.1052115	-0.23192074
MTOR	0.12744345	0.040048574	0.12972966	0.24931484	3.0430893	0.069483116
MTOR	-0.23989322	0.055289022	-0.23075206	-0.0060587543	4.2293109	0.17459124
MTOR	-0.057474482	0.082578593	-0.059893539	0.19357971	3.040185	0.20337119
MTOR	-0.2743685	0.043286789	-0.26908257	-0.020364701	5.8679289	0.19861581
MTOR	-0.030019803	0.048777652	-0.034933579	0.027958306	1.1886203	0.012789823
MTOR	-0.49918912	0.11511644	-0.47806064	-0.30397345	1.6958105	0.12398513
MTOR	-0.52564972	0.098044539	-0.49951102	-0.42119354	1.0653952	0.028215419
MTOR	-0.25871929	0.10289547	-0.23806766	-0.13242397	1.2274138	0.055541628
MTOR	0.25192128	0.059020284	0.25733291	0.49066211	4.0450641	0.18322714
MTOR	-1.3044145	0.1128386	-1.284784	-1.0429836	2.3168569	0.19169832
MTOR	0.18602738	0.043596789	0.18178485	-0.25115454	-10.027847	-0.48304146
MTOR	-0.05790878	0.065933503	-0.065394064	0.1243582	2.7644061	0.1396502
MTOR	-0.24055344	0.074341196	-0.24430867	-0.30444164	-0.85939155	-0.11023503
MTOR	0.28487282	0.044996969	0.28239524	0.44407891	3.5381514	0.11158161
MTOR	-0.72426753	0.13913489	-0.69425669	0.092409726	5.8696798	0.73656435
MTOR	-0.28545159	0.083017408	-0.28126743	-0.1771429	1.3046503	0.054022467
MTOR	-0.68965544	0.060524241	-0.6846469	-0.73462115	-0.74293712	-0.10007631
MTOR	-0.84349185	0.075372856	-0.85379443	-0.77121686	0.95889941	0.032475505
MTOR	-0.46706108	0.11893812	-0.46498708	0.065425202	4.4770027	0.48031022
MTOR	-0.22141962	0.16914438	-0.24972561	-0.14983838	0.42319607	0.049785165
MTOR	-0.03112332	0.05946751	-0.011536803	0.12323445	2.5956656	0.084669189
MTOR	-0.32393181	0.062296531	-0.31683983	-0.085103368	3.8337358	0.1816344
MTOR	-0.73503076	0.14458189	-0.73077676	-0.030060849	4.8759213	0.65061385
MTOR	0.16611513	0.10398146	0.17324071	-0.20374034	-3.5569367	-0.42708311
MTOR	-0.35219358	0.043672927	-0.34675298	-0.62307032	-6.2023948	-0.3264194
MTOR	-0.32159628	0.088110778	-0.33292299	-0.21186989	1.2453231	0.070951036
MTOR	-0.26718571	0.1188442	-0.29146553	-0.27981982	-0.10630816	-0.03845635
MTOR	-0.21149855	0.12769638	-0.23827643	-0.22650207	-0.11749371	-0.038327704
MTOR	-0.83805066	0.035804409	-0.84501097	-0.74237113	2.6722835	0.05253778
MTOR	-0.067703006	0.080420172	-0.080629034	-0.093317639	-0.31851006	-0.062790667
MTOR	0.17065992	0.055212439	0.17807827	0.23858408	1.230233	0.01040375
MTOR	0.032213846	0.17471547	0.0051913202	-0.11262949	-0.82902409	-0.16792287
MTOR	0.3853104	0.052606593	0.38207216	0.33185742	-1.016089	-0.1003168
MTOR	-0.647403	0.23166775	-0.68576909	-0.78867765	-0.60981579	-0.15301062
MTOR	-0.18204203	0.10571391	-0.19243001	-0.28247978	-0.95009022	-0.14015183
MTOR	-0.36706061	0.10621375	-0.35791838	0.25643926	5.8702368	0.56425558
MTOR	0.38793816	0.055025281	0.37990027	0.45437258	1.2073436	0.024370251
rs1801131	0.10042616	0.10725051	0.099125457	0.20680388	0.99186212	0.05757636
rs1801133	-0.39467341	0.10263854	-0.38166679	-0.26659713	1.2478381	0.064967594
PDPN	-1.4698245	0.24274602	-1.4313053	-2.2008816	-3.0116132	-0.81967839
SPEN	-0.5537045	0.12030489	-0.53463757	-0.35310316	1.6674413	0.13143235
SPEN	0.21173945	0.60972932	0.087812736	0.1211617	-0.14855403	-0.016753094
SPEN	-0.56829039	0.32271982	-0.63656269	-0.66192034	-0.29012766	-0.075459708
SPEN	0.075945816	0.048535077	0.077180431	0.16544648	1.8440409	0.038163992
SPEN	-0.55684713	0.10149132	-0.55890555	-0.26383982	2.8870184	0.24496366
SPEN	0.12360478	0.06290616	0.10812288	-0.29400648	-6.6386386	-0.45223143
SPEN	0.069496729	0.062148555	0.08034535	-1.1549084	-19.701265	-1.2853558
SPEN	0.43589079	0.047579747	0.43627647	0.076721422	-7.5487868	-0.40965711
SPEN	0.040083307	0.12092375	0.029594555	0.4822399	3.6564909	0.40254328
SPEN	-0.32171165	0.1084162	-0.28314197	-0.75907682	-4.0341311	-0.52603691
SPEN	0.49037404	0.61268168	0.3833944	0.47581529	-0.023762347	0.042318823
SPEN	1.5363899	0.61075701	1.4235275	1.3004847	-0.38625055	-0.17314489
SPEN	0.011087644	0.17062246	-0.015644403	-0.31297224	-1.8992803	-0.34742989
SPEN	0.35612419	0.33087742	0.29899117	0.22065099	-0.40943622	-0.12844224
SPEN	-0.36978227	0.06977536	-0.37988403	-0.29370203	1.0903596	0.036079935
SPEN	-0.32192209	0.048517883	-0.33352652	-0.21655518	2.1717129	0.06686928
SPEN	0.36513263	0.051266136	0.35910865	0.34754272	-0.34310979	-0.061667995
SDHB	-0.19759707	0.19034068	-0.14851056	-0.95404508	-3.9741794	-0.85563658
SDHB	-0.38329149	0.034575843	-0.38407504	-0.14488662	6.8951282	0.18908636
SDHB	-0.86756556	0.10205248	-0.85405508	-0.78954258	0.76453783	0.01441044
SDHB	-0.388287	0.13304263	-0.3570831	0.17344646	4.2222065	0.4804275
SDHB	-0.24326185	0.06980193	-0.24652246	0.20403106	6.4080307	0.40045146
SDHB	-0.22518779	0.10091809	-0.21377317	0.49031147	7.0899009	0.65398258
SDHB	-0.25557826	0.07369291	-0.24718178	-0.059167134	2.6652649	0.13791258
SDHB	-1.2112512	0.11595016	-1.1933244	-0.66012907	4.753095	0.48309327
rs2072671	-0.20171114	0.099322325	-0.20222695	-0.059359178	1.4332323	0.09276571
rs60369023	-0.5300361	0.081365615	-0.53170695	-0.17938537	4.309569	0.30221952
EIF4G3	-0.56189184	0.30191285	-0.46362369	-1.1983228	-2.1079955	-0.78480115
EIF4G3	0.48002	0.32023453	0.50572411	1.9159575	4.4840183	1.3601313
ID3	0.23229094	0.12865097	0.25001911	0.29203096	0.46435735	-0.0080902087
ID3	-0.060846749	0.20554973	-0.10472796	-0.09897041	-0.18547172	-0.044344512
STMN1	0.31971242	0.3041241	0.37012755	-0.04648087	-1.2040917	-0.46671048
STMN1	0.34564481	0.34332796	0.44597844	-0.60552287	-2.7704347	-1.1016034
ARID1A	-1.3962652	0.29990594	-1.3865368	-1.1781907	0.727143	0.15824404
ARID1A	-0.90980978	0.51528941	-1.0125923	-1.2938214	-0.74523485	-0.33133117
ARID1A	-0.36196917	0.14103824	-0.36727828	-0.31910873	0.3038923	-0.0019325165
ARID1A	0.2542594	0.31245927	0.20207072	-0.13227462	-1.2370701	-0.38444741
ARID1A	-0.39023176	0.095109203	-0.3717488	-0.18181061	2.1913878	0.13983613
ARID1A	0.15230307	0.10677109	0.13664926	0.0085904493	-1.3459881	-0.17816087
ARID1A	-0.86395705	0.087967139	-0.85154611	-0.76425905	1.133355	0.037184994
ARID1A	0.04057965	0.057853238	0.037046315	-0.62733532	-11.544989	-0.7144837
ARID1A	-0.50762447	0.19001255	-0.53243376	-0.47458511	0.17387988	0.0077465871
ARID1A	0.0051485754	0.07668324	0.0031909501	0.3301176	4.2378102	0.27682458
ARID1A	0.32332931	0.079027347	0.31430074	0.85138075	6.6818825	0.48697795
ARID1A	-0.11436939	0.071898315	-0.12063822	0.21170015	4.5351486	0.28223631
ARID1A	-0.44714202	0.074336993	-0.4687047	-0.43687438	0.13812283	-0.018271746
ARID1A	0.48729299	0.045730663	0.49229191	0.48718457	-0.0023709339	-0.055209406
ARID1A	-0.35579191	0.081502173	-0.37817594	0.012995725	4.524881	0.3410696
ARID1A	0.24894271	0.055280815	0.23966083	0.29717123	0.87242772	0.0074083332
ARID1A	0.67587022	0.065394829	0.69953814	0.70590139	0.45922852	-0.043738811
ARID1A	0.23745056	0.067617774	0.25092732	0.086338584	-2.2347967	-0.2146908
ARID1A	-0.50510998	0.48167162	-0.59787109	-0.72559719	-0.45775421	-0.17782816
ARID1A	-0.42691041	0.061364016	-0.41859049	-0.15731278	4.3934157	0.21117565
ARID1A	0.22329224	0.058033246	0.23278917	0.33723087	1.9633338	0.054339642
ARID1A	-0.031706731	0.59278903	-0.12506241	-0.21236183	-0.30475446	-0.13740149
GMEB1	-0.58906001	0.29408071	-0.52287568	-1.0583418	-1.5957586	-0.58556822
GMEB1	0.41096263	0.33701619	0.44412604	1.891351	4.3926327	1.3971229
CSF3R	0.10244854	0.45352714	0.02656315	-0.30562806	-0.89978429	-0.38229327
CSF3R	-0.66506002	0.11677972	-0.64635782	-1.0179174	-3.0215639	-0.42166165
CSF3R	-0.6973585	0.11674892	-0.67692257	-0.63636211	0.52245781	-0.0095416066
CSF3R	0.30872658	0.042886321	0.31182124	-0.091645145	-9.335651	-0.45356845
CSF3R	0.21489482	0.041909223	0.20729181	-0.72655652	-22.464061	-0.9839504
CSF3R	-0.5471401	0.097432071	-0.52136251	-0.59026193	-0.44258357	-0.11900149
CSF3R	-0.028076526	0.072440776	-0.038386846	-0.25564911	-3.1414984	-0.26736432
CSF3R	-0.044006399	0.086460946	-0.046982034	-0.29431276	-2.8950222	-0.29743279
CSF3R	0.28643364	0.086122198	0.29066924	0.097156414	-2.1977751	-0.24361489
CSF3R	-0.082272238	0.053156938	-0.097161122	-0.44428654	-6.8102926	-0.39722748
CSF3R	-0.33043079	0.038596017	-0.33663248	-1.4115754	-28.011818	-1.125045
CSF3R	-0.13830742	0.075016348	-0.15166034	-0.24838904	-1.467435	-0.14683076
CSF3R	0.68489783	0.046960169	0.69304973	0	-14.584654	-0.74315179
CSF3R	-0.13483811	0.19895341	-0.16607926	-0.30523436	-0.85646309	-0.18925716
CSF3R	-0.075132279	0.12913574	-0.073922477	0.045295143	0.93256462	0.069115558
CSF3R	-0.35424372	0.065312604	-0.33499882	-0.2306322	1.8926135	0.054264554
MTF1	-0.70025244	0.35015645	-0.64170804	-0.28589102	1.1833608	0.30571496
MYCL	-0.067066281	0.42225416	-0.13623475	-0.1678426	-0.2386627	-0.081709909
MYCL	-0.35889063	0.31818422	-0.42507614	-0.31145581	0.14907972	0.063518264
MYCL	0.49354447	0.60422713	0.39070094	0.17899586	-0.52058009	-0.26180715
MPL	-0.12765893	0.079237544	-0.10527593	-0.018476879	1.3779081	0.036696989
MPL	-0.28846093	0.04643714	-0.29304199	-0.038242825	5.3883186	0.2046971
MPL	0.19383741	0.080821542	0.18032849	0.17695178	-0.20892482	-0.053478768
MPL	-0.47181084	0.20173983	-0.50675082	-0.4738937	-0.010324465	-0.017244938
MPL	-0.044610841	0.21869242	0	0.21084493	1.1681053	0.16074287
MPL	-0.038262823	0.10220576	-0.029112802	0.085964878	1.2154667	0.064975618
MPL	-0.17570055	0.039456496	-0.17207223	-0.032040576	3.6409714	0.089929592
MPL	-0.067834232	0.095186833	-0.084381518	-0.0040253939	0.67035362	0.030254062
MPL	-0.28051464	0.047559775	-0.28392825	-0.24397744	0.76823754	-0.010151248
MPL	-0.26934777	0.045913886	-0.27613262	-0.051892621	4.7361521	0.17413794
MPL	0.011109429	0.072574038	0.012758101	0.15236902	1.9464204	0.089508855
MPL	-0.00037046356	0.20140125	0.022116172	0.16738521	0.83294257	0.095166978
MPL	0.0051329104	0.1660077	-0.024757499	-0.068617085	-0.44425648	-0.093961648
MUTYH	0.20023317	0.069976698	0.21245365	0.25676679	0.80789211	-0.0057889199
MUTYH	-0.57769103	0.086837468	-0.57033179	-0.513028	0.74464439	0.0072017318
MUTYH	-0.031759584	0.057128094	-0.030848649	0.13937114	2.9955617	0.12011773
MUTYH	0.016048704	0.065097731	0.028962569	0.21914185	3.1198192	0.14007722
MUTYH	0.18044786	0.062427323	0.17759808	0.03816695	-2.2791448	-0.18953319
MUTYH	-0.16117712	0.19694326	-0.19467321	-0.16066546	0.002597998	-0.016094314
MUTYH	0.1747743	0.078747938	0.1829117	0.26307768	1.1213421	0.030063914
MUTYH	-0.19943814	0.26816562	-0.25213531	-0.27239403	-0.27205533	-0.070360779
MUTYH	0.16396571	0.11331582	0.1831233	0.30706845	1.2628664	0.073843086
MUTYH	0.76255311	0.10701047	0.78358169	1.0404072	2.5965134	0.20672347
MUTYH	0.15272996	0.11551966	0.14054373	0.3511029	1.7172223	0.16045711
MUTYH	-0.022854853	0.04340019	-0.016454871	0.15605098	4.1222361	0.12240379
MUTYH	-0.13794771	0.10557476	-0.16661039	-0.32137324	-1.7373994	-0.20486491
MUTYH	0.13250196	0.10884014	0.14649704	0.39812035	2.4404452	0.20152125
RAD54L	0.16233184	0.082469171	0.18131026	0.38209014	2.6647328	0.15067782
RAD54L	-0.044531065	0.10461665	-0.013346032	0.16030581	1.9579758	0.12354978
RAD54L	-0.85865396	0.07584364	-0.85378416	-0.63363832	2.966836	0.17004378
RAD54L	0.43066646	0.10594586	0.44860207	0.99659342	5.3416618	0.49788928
RAD54L	-0.15768733	0.037058943	-0.14722018	-0.19369492	-0.9716302	-0.0965768
RAD54L	0.41345288	0.13886608	0.4011826	0.54159153	0.92274984	0.090306871
RAD54L	-0.17266218	0.18755629	-0.20685201	-0.12452044	0.25667889	0.032229509
RAD54L	0.11041062	0.075672504	0.13478189	0.0021869296	-1.4301587	-0.18269702
RAD54L	-0.23237611	0.053421526	-0.23097263	-0.0098416541	4.1656327	0.17102891
RAD54L	-0.47038344	0.091071933	-0.47581802	-0.26131931	2.2955934	0.16439665
RAD54L	0.37907576	0.10967009	0.39171392	0.81039583	3.932887	0.36857985
RAD54L	0.81284213	0.30114501	0.85701565	1.2085866	1.3141327	0.30146891
RAD54L	0.36181819	0.25558436	0.39571652	0.89443823	2.0839305	0.44861965
RAD54L	0.54844287	0.08729744	0.5720604	0.77484428	2.5934485	0.15268182
RAD54L	0.16828756	0.050788071	0.16640232	0.45012527	5.5492895	0.23362089
RAD54L	0.061087739	0.11144481	0.089412197	0.090034112	0.25973729	-0.049480147
RAD54L	-0.14749899	0.07102564	-0.14322663	-0.17925334	-0.44708298	-0.086128777
RAD54L	0.14401157	0.064928227	0.13736286	0.35860214	3.3050428	0.17113721
RAD54L	0.091004661	0.091810227	0.070584091	0.25930401	1.8331221	0.13861786
CDKN2C	-0.038830996	0.064619135	-0.030434303	-0.24904704	-3.2531547	-0.2687148
CDKN2C	-0.09762416	0.24250738	-0.14425292	-0.49314775	-1.6309755	-0.39899689
JUN	0.35662689	0.22091728	0.31500128	0.34188214	-0.066743286	-0.023221197
JUN	0.2240048	0.072206807	0.22333119	0.42405871	2.7705685	0.15062545
JUN	0.15114382	0.26925879	0.085098836	0.1073915	-0.1624917	-0.027809398
JAK1	0.29370108	0.098038916	0.30836707	0.34617971	0.53528363	-0.012289425
JAK1	0.25561998	0.058389446	0.24894595	0.66529458	7.016244	0.36624657
JAK1	-0.85287829	0.056528555	-0.85373366	-0.26969549	10.316606	0.53393611
JAK1	0.25313226	0.069328138	0.26515129	0.27555539	0.32343478	-0.039697961
JAK1	0.77522639	0.076683451	0.76857911	1.874221	14.331575	1.0555398
JAK1	0.24041742	0.080412605	0.22723646	0.1680377	-0.90010418	-0.10930082
JAK1	0.81749588	0.15539032	0.80786334	1.2223924	2.6056742	0.36442702
JAK1	0.2134122	0.051740349	0.20974771	0.34461786	2.535848	0.084768089
JAK1	0.20692306	0.055494574	0.19317383	0.33422696	2.2939883	0.09095107
JAK1	0.2036544	0.064397161	0.20633312	-0.31330687	-8.0277028	-0.56974205
JAK1	-0.20302158	0.085955502	-0.19511802	-0.076407416	1.4730199	0.068608542
JAK1	0.6226634	0.10501498	0.63432926	0.90468239	2.685512	0.22025107
JAK1	0.43014255	0.044605976	0.4325787	0.12397386	-6.863849	-0.3587069
JAK1	-0.011017955	0.06061823	-0.018105102	0.076785312	1.4484631	0.044788353
JAK1	0.26241919	0.066317225	0.24636876	0.20886685	-0.80751774	-0.087603967
JAK1	0.043779526	0.067757577	0.045357123	-0.01115111	-0.81069363	-0.10661029
JAK1	-0.058827	0.042681363	-0.066534685	-0.059727485	-0.02109785	-0.043294862
JAK1	0.92126467	0.05430107	0.91708783	1.6616758	13.635296	0.69448592
JAK1	0.075706612	0.23311912	0.038341673	0.477412	1.7231765	0.38896826
JAK1	-0.33212804	0.061385164	-0.32434201	-0.208181	2.0191694	0.066058951
JAK1	0.297728	0.079763455	0.28859383	0.14160768	-1.9572914	-0.19708821
JAK1	0.11497099	0.069172313	0.11266237	0.22275207	1.5581534	0.059987636
JAK1	-0.32233729	0.092376944	-0.336277	-0.29635039	0.28131375	-0.010175447
JAK1	-0.29802952	0.12902927	-0.28466802	0.86823347	9.0387475	1.1027994
LEPR	-0.48625337	0.27600171	-0.46111998	-0.053928324	1.5663854	0.35708959
ZZZ3	-0.25332509	0.29322383	-0.20665653	-2	-5.9567973	-1.8434455
ZZZ3	-0.15639042	0.2901674	-0.082120758	-0.95043831	-2.7365165	-0.91841962
FUBP1	-0.53241163	0.10653261	-0.51824791	-0.97424464	-4.1473968	-0.50609879
FUBP1	0.22753993	0.43551417	0.15686847	0.12067738	-0.24537101	-0.086293152
FUBP1	0.89835385	0.066695473	0.9151633	0.22229141	-10.136557	-0.74297395
FUBP1	-0.17480378	0.056223548	-0.17571662	-0.36875046	-3.4495631	-0.2431359
FUBP1	-0.1938951	0.18791972	-0.17059971	-0.12840799	0.34848451	-0.0079103412
FUBP1	0.095080702	0.082239811	0.07799162	0.22923514	1.631259	0.10114145
FUBP1	0.15964792	0.12396059	0.17562516	0.13511635	-0.1978981	-0.090610867
FUBP1	0.36914062	0.083681518	0.35789996	0.041731555	-3.9125613	-0.36627047
FUBP1	0.60771341	0.044047308	0.60817132	0.35864861	-5.654484	-0.29962477
FUBP1	0.210277	0.058040326	0.20574914	0.16544585	-0.77241388	-0.090405355
FUBP1	0.58484281	0.10066253	0.59445529	0.55061198	-0.34005531	-0.093945369
FUBP1	0.35815392	0.093415895	0.36513459	0.85274005	5.2944537	0.4375034
FUBP1	0.50641468	0.11590389	0.51624466	-0.38977073	-7.7321426	-0.95611745
FUBP1	0.71404186	0.10198016	0.72452279	1.0557689	3.350917	0.28114406
FUBP1	0.59075473	0.027323675	0.59013618	0.62810774	1.3670567	-0.012130498
FUBP1	0.29240776	0.10550016	0.30530697	0.5517018	2.4577597	0.19629277
FUBP1	-0.10468049	0.20030924	-0.05644971	-1.6081294	-7.5056393	-1.6017818
FUBP1	0.41956796	0.12341211	0.44563445	0.25997836	-1.2931438	-0.23575815
FUBP1	-0.15119035	0.22664399	-0.084372287	-0.286011	-0.59485651	-0.25174078
FUBP1	0.77438016	0.12266112	0.80304521	0.8421963	0.55287399	-0.01095097
FUBP1	-0.43696476	0.11531844	-0.42471365	-0.20641237	1.9992673	0.16819922
FUBP1	0.04394147	0.13313229	0.064087943	-1.0823404	-8.4598701	-1.1965304
FUBP1	0.6084905	0.10796227	0.58169378	0.30494464	-2.811592	-0.3268512
rs67376798	-0.034410188	0.088263638	-0.024460992	-0.15594433	-1.3769446	-0.1815854
rs3918290	0.52308865	0.10541917	0.52671115	0.78053252	2.4420973	0.2037193
rs55886062	-0.35519353	0.096963891	-0.33405661	-0.40940849	-0.55912529	-0.12545395
rs2297595	0.34402198	0.043536639	0.33495803	-0.063019236	-9.3493946	-0.44807933
rs1801265	0.36117171	0.11497975	0.38705572	-0.086799594	-3.8960887	-0.52395738
DBT	-1.7696095	0.24600402	-1.7011841	-2.5260096	-3.074747	-0.87492757
COSM5045664	-12.161083	9.8311516	-20.489652	-1.1581632	1.1191893	19.281387
COSM5045664	-11.242267	9.706221	-19.883141	-0.8229189	1.0734711	19.01012
GSTM1	-3.6293214	2.5591364	-5.4311063	-1.6252674	0.78309775	3.7557368
COSM3676668	-4.4890233	3.5859764	-6.9171585	-0.21761795	1.1911415	6.6494385
NRAS	0.5221308	0.044212595	0.51964787	0.80388907	6.3728056	0.23413914
NRAS	0.55122069	0.044001725	0.55134759	0.88422704	7.5680294	0.28277738
NRAS	-0.11754838	0.089854649	-0.11876862	-0.6304241	-5.7078373	-0.56175754
NRAS	0.42300156	0.096940531	0.44292898	0.70347032	2.8932043	0.21043928
FAM46C	-0.093152448	0.56761234	-0.1998172	-0.3144161	-0.38981473	-0.16470096
NOTCH2	0.1904515	0.58196319	0.073277799	-0.31592596	-0.8701194	-0.43930582
NOTCH2	0.35783339	0.099621392	0.37659135	0.4245777	0.66997969	-0.002115713
NOTCH2	-0.13642672	0.072195794	-0.14797286	-0.1292315	0.099662593	-0.031360702
NOTCH2	-0.6710623	0.19947451	-0.69048071	-0.67772653	-0.033408942	-0.037347884
NOTCH2	-0.086253578	0.079643593	-0.093759799	0.017251757	1.2996066	0.060909494
NOTCH2	0.53997506	0.10953107	0.55520432	0.69602572	1.4247159	0.090719338
NOTCH2	-0.27339947	0.073572633	-0.28403827	-0.24893649	0.33250106	-0.015000283
NOTCH2	0.32532274	0.057253666	0.33040908	-0.029168678	-6.1915934	-0.40967982
NOTCH2	0.045744528	0.2332733	-0.0018491679	-0.033173002	-0.33830503	-0.081425896
NOTCH2	-0.063128745	0.34839787	-0.13591611	-0.51802154	-1.3056704	-0.43220749
NOTCH2	-0.67817777	0.10294914	-0.66759296	-0.528658	1.4523654	0.088832895
NOTCH2	0.00018585495	0.097648589	-0.032462178	0.089111902	0.91067416	0.071472018
NOTCH2	1.2356786	0.29857371	1.297765	2.263326	3.4418549	0.91545892
NOTCH2	-0.23470566	0.26507282	-0.28095343	-0.20528681	0.11098403	0.025564557
NOTCH2	-0.48456648	0.089485798	-0.50074269	-0.44219995	0.47344418	0.008440678
NOTCH2	-0.13462713	0.086933656	-0.13603644	-0.23659737	-1.1729662	-0.15066299
NOTCH2	-0.47331066	0.089935313	-0.47257582	-0.57092992	-1.0854386	-0.14845616
NOTCH2	-0.20306577	0.071809559	-0.1911752	-0.22421093	-0.29446166	-0.083137794
NOTCH2	0.033992835	0.24693475	0.065263866	0.36289111	1.3319238	0.24752518
NOTCH2	-0.29046794	0.066490791	-0.29660316	-0.32577881	-0.53106403	-0.079277709
NOTCH2	0.19751331	0.060025284	0.19410727	0.21391315	0.27321555	-0.030296181
NOTCH2	-0.30995197	0.072985777	-0.31437819	-0.22066251	1.2233816	0.043613618
NOTCH2	0.13891323	0.04944207	0.12642744	0.51690145	7.6450728	0.34037195
NOTCH2	0.0075633442	0.09091921	-0.0044548246	-0.37709317	-4.2307507	-0.4227404
NOTCH2	-0.26490101	0.052227402	-0.26635519	0.20221018	8.9437953	0.41846331
NOTCH2	-0.36169821	0.1312359	-0.38493584	-0.31332539	0.36859443	0.02150839
NOTCH2	-0.67277518	0.052156691	-0.67960365	-0.44933113	4.2840917	0.18017045
NOTCH2	0.14445944	0.051074181	0.14153378	0.48659388	6.6987748	0.29495804
NOTCH2	-0.38951018	0.10385793	-0.39131392	-0.29432786	0.9164666	0.046884002
NOTCH2	-0.0059371079	0.063922905	0.0022047121	-0.091969413	-1.345876	-0.14427619
NOTCH2	0.014179229	0.13286831	-0.017272543	-0.13408767	-1.1158936	-0.16691719
NOTCH2	-0.040180611	0.075203971	-0.025749857	0.029960727	0.9326813	0.0056085216
NOTCH2	-0.25109187	0.38374977	-0.44809896	-0.44485476	-0.50491989	-0.046857865
NOTCH2	0.61476296	0.22885439	0.56638314	0.33513231	-1.2218715	-0.28135289
NOTCH2	0.99862677	0.15553852	1.0261615	1.829082	5.3392253	0.7528184
NOTCH2	1.2175916	0.44578455	1.1645872	1.2719487	0.12193592	0.057259485
NOTCH2	0.60844393	0.22554021	0.63945768	0.33833175	-1.1976232	-0.35122799
NOTCH2	1.2423639	0.17385437	1.2170968	0.9030375	-1.9517853	-0.36416136
MCL1	0.13648878	0.083670678	0.14224669	0.48422586	4.1560209	0.29187711
MCL1	0.22595777	0.14272491	0.20173479	0.50139778	1.9298664	0.24956093
MCL1	0.25024684	0.43693938	0.16569285	0.26296854	0.029115474	0.047173625
ASH1L	-2.9403242	0.37605435	-2.8966683	-1.8188944	2.982095	1.0276718
NTRK1	0.25959032	0.084530824	0.26937078	0.63162104	4.401125	0.3121482
NTRK1	0.11142462	0.053066853	0.11844126	0.17184996	1.1386645	0.003306641
NTRK1	-0.84497434	0.19142102	-0.86904126	-0.93368804	-0.46344805	-0.11474884
NTRK1	0.059523354	0.091606644	0.074521028	-0.95069177	-11.027749	-1.0753149
NTRK1	0.2051431	0.048985876	0.21225734	0.22580051	0.42170145	-0.036558887
