Chr	gene	log2_ratio	CopyNumber
chr10	NT5C2	-0.26644641267	1.66272961924
chr1	NTRK1	-0.064257167741	1.91287530602
chr9	NTRK2	0.103622403309	2.14893583095
chr15	NTRK3	-0.204273992353	1.73595073729
chr16	NUP93	0.233351838441	2.35112596971
chr16	PALB2	-0.240425394718	1.69299135374
chr6	PARK2	0.0533702481111	2.07537242097
chr1	PARP1	0.206389105884	2.30759350181
chr9	PAX5	0.25295704536	2.38329418816
chr3	PBRM1	-0.0765987166333	1.89658138804
chr9	PDCD1LG2	0.131731377257	2.19121550133
chr22	PDGFB_fus	-0.443912863163	1.47027613641
chr4	PDGFRA	0.415618732858	2.66774123089
chr5	PDGFRB	0.196350987794	2.29159324116
chr2	PIGF	-0.335292560746	1.58524677215
chr12	PIK3C2G	0.23676413886	2.35669349659
chr3	PIK3CA	0.161704327732	2.23721565027
chr3	PIK3CB	-0.0596286696489	1.91902210564
chr7	PIK3CG	0.186433225174	2.27589377857
chr5	PIK3R1	0.112187290694	2.16173142187
chr19	PIK3R2	-0.358786074675	1.55964093434
chr16	PLCG2	0.0949500696044	2.13605688778
chr7	PMS2	-0.397856074461	1.51797068058
chr19	POLD1	-0.156747330193	1.79409050409
chr19	PPP2R1A	0.250555778201	2.37933065752
chr6	PRDM1	0.364161567509	2.57426677076
chr8	PREX2	0.331341524679	2.51636556451
chr17	PRKAR1A	0.333258999095	2.51971226936
chr3	PRKCI	0.226047508337	2.33925235905
chr9	PTCH1	0.253063369615	2.3834698395
chr10	PTEN	-0.0293119196898	1.95977506925
chr7	RAC1	-0.381711478301	1.5350530575
chr8	RAD21	0.174800134178	2.25761602588
chr5	RAD50	-0.213628853033	1.72473073629
chr15	RAD51	0.203595744503	2.30312983758
chr14	RAD51B	0.283596146515	2.43445046645
chr17	RAD51D	-0.0465327580964	1.93652112832
chr1	RAD54L	0.264698353591	2.40276966258
chr13	RB1	0.130569797086	2.18945196293
chr10	RET	-0.0844677691483	1.88626481358
chr5	RICTOR	0.0014290473285	2.00198206175
chr17	RNF43	0.0343280474595	2.048159469
chr6	ROS1	-0.192452148574	1.75023404043
chr21	RUNX1	0.326661827626	2.50821640611
chr5	SDHA	0.231539198743	2.34817380866
chr1	SDHB	-0.494834744823	1.41928592064
chr11	SDHD	0.598330847281	3.02792788849
chr3	SETD2	-0.071661607308	1.90308287971
chr18	SMAD2	0.0942951122499	2.13508737683
chr18	SMAD4	0.372323642405	2.5888720102
chr19	SMARCA4	-0.177649037484	1.76828517821
chr22	SMARCB1	-0.277354304217	1.65020550159
chr7	SMO	0.264288555602	2.40208725201
chr1	SPEN	-0.285760784562	1.64061783316
chr17	SPOP	-0.498866177466	1.415325438
chr17	STAT3	-0.245839626575	1.68664970209
chr19	STK11	-0.621182912652	1.30027528019
chr10	SUFU	0.249853872235	2.37817333727
chr9	SYK	0.200083415633	2.29752954773
chr4	TET2	-0.169984381236	1.77770460784
chr3	TGFBR2	0.36442145506	2.57473054178
chr21	TMPRSS2	0.203640996334	2.3032020791
chr6	TNFAIP3	0.256198971312	2.38865578625
chr1	TNFRSF14	-0.274900830747	1.65301425877
chr17	TP53	-0.155881415829	1.79516765138
chr9	TSC1	-0.257855877221	1.67265988736
chr16	TSC2	-0.266987208461	1.66210646005
chr6	VEGFA	0.335151594777	2.52301991634
chr4	WHSC1	0.115793075416	2.1671410801
chr11	WT1	0.390931213014	2.62247898695
chr2	XPO1	-0.297881274885	1.62689227419
