Chr	start	end	gene	depth	R-181110-535748-BLD-521005_BC_E18111112-3-DNA_F1811112948-16_L181111-00002-A5_20181113-C12_panel12_P181114419-3_sample20181114-A3-A00168-log2_ND
chr1	120471575	120471850	NOTCH2	2779	0.085916571
chr1	120477725	120477796	NOTCH2	63	1.1157778
chr1	120477805	120478262	NOTCH2	1465	0.26261116
chr1	120479870	120480128	NOTCH2	1862	-0.45222524
chr1	120480445	120480672	NOTCH2	1564	-0.40042989
chr1	120483155	120483412	NOTCH2	1173	-1.0428072
chr1	120484115	120484301	NOTCH2	1091	-0.49859108
chr1	120484320	120484396	NOTCH2	382	-0.36657487
chr1	120491010	120491227	NOTCH2	1734	-0.27202893
chr1	120491595	120491778	NOTCH2	1204	0.15964516
chr1	120493325	120493493	NOTCH2	808	-0.28802695
chr1	120496130	120496346	NOTCH2	984	0.61362367
chr1	120497630	120497896	NOTCH2	1820	-0.46041207
chr1	120501990	120502160	NOTCH2	689	0.27530277
chr1	120506170	120506460	NOTCH2	2131	-0.45658379
chr1	120508045	120508221	NOTCH2	1024	-0.21447893
chr1	120508970	120509148	NOTCH2	1607	0.55103959
chr1	120510025	120510287	NOTCH2	1861	-0.35733862
chr1	120510675	120510890	NOTCH2	1729	-0.2198383
chr1	120512105	120512396	NOTCH2	2708	-0.16851882
chr1	120529560	120529729	NOTCH2	1192	-0.061176127
chr1	120539590	120539975	NOTCH2	3369	-0.42206059
chr1	120547930	120548245	NOTCH2	4092	0.26918222
chr1	120572490	120572596	NOTCH2	472	2.1786526
chr1	120594075	120594782	NOTCH2	4064	1.4435475
chr1	120611915	120612044	NOTCH2	1241	0.65710286
chr1	120612050	120612329	NOTCH2	4523	1.131355
chr1	150549810	150549982	MCL1	1164	0.55424045
chr1	150550695	150551005	MCL1	3838	0.79172715
chr1	150551285	150552026	MCL1	10690	0.30595186
chr1	155404310	155404377	ASH1L	80	0.17042804
chr1	156785554	156785697	NTRK1	1752	0.4586897
chr1	156811839	156812032	NTRK1	2078	0.28313767
chr1	156830599	156830960	NTRK1	1493	-1.1101658
chr1	156834109	156834247	NTRK1	648	-0.91420451
chr1	156834434	156834620	NTRK1	1879	0.32894562
chr1	156836664	156836808	NTRK1	1348	0.053226912
chr1	156837864	156838482	NTRK1	3884	-0.92019149
chr1	156841379	156842013	NTRK1	6055	-0.53036889
chr1	156842029	156842236	NTRK1	792	1.7408532
chr1	156842244	156842391	NTRK1	149	1.8156542
chr1	156842394	156842467	NTRK1	185	2.7169904
chr1	156842989	156844812	NTRK1	22453	0.032771495
chr1	156844829	156845480	NTRK1	9001	0.060045368
chr1	156845634	156845781	NTRK1_fus	1231	-0.07351663
chr1	156845839	156846015	NTRK1	1605	0.033427798
chr1	156846124	156846452	NTRK1	2535	-0.34876715
chr1	156848814	156849231	NTRK1	4532	-0.10680982
chr1	156849764	156849973	NTRK1	1726	-0.11213296
chr1	156851224	156851469	NTRK1	889	-1.004566
chr1	161203548	161203621	rs28738963	109	-1.1498544
chr1	161204478	161204625	rs2501873	873	0
chr1	161284128	161284273	SDHC	1448	0.54785501
chr1	161293348	161293426	SDHC	179	1.7217235
chr1	161298153	161298305	SDHC	352	-0.57216201
chr1	161309338	161309432	SDHC	359	3.214058
chr1	161310333	161310497	SDHC	1225	2.0719179
chr1	161326443	161326655	SDHC	3098	0.79315979
chr1	161332168	161332247	SDHC	581	-0.47234532
chr1	162681004	162681147	DDR2	143	0.96718918
chr1	162688799	162689049	DDR2	898	-0.59097395
chr1	162711354	162711535	DDR2	764	-0.73062633
chr1	162722859	162723012	DDR2	767	-0.61452021
chr1	162724389	162724665	DDR2	3070	0.22304829
chr1	162724924	162725131	DDR2	3043	0.85024633
chr1	162725419	162725599	DDR2	996	-0.19358558
chr1	162729564	162729804	DDR2	1775	-0.36675212
chr1	162730979	162731264	DDR2	3579	0.37595398
chr1	162735739	162735884	DDR2	683	-0.30097852
chr1	162736994	162737184	DDR2	1342	-0.1924544
chr1	162740069	162740312	DDR2	2349	0.0525335
chr1	162741779	162742071	DDR2	1782	-0.77820706
chr1	162743224	162743417	DDR2	869	0.086539935
chr1	162745419	162745656	DDR2	1674	0.20804123
chr1	162745904	162746192	DDR2	2061	0.017625953
chr1	162748334	162748548	DDR2	2311	1.0290221
chr1	162749879	162750051	DDR2	1592	0.29636775
chr1	171252329	171252394	FMO1	37	-0.064729209
chr1	174926874	174926948	RABGAP1L	127	1.12429
chr1	193091303	193091486	CDC73	1496	-0.16945911
chr1	193094218	193094362	CDC73	378	0.66584117
chr1	193099263	193099402	CDC73	56	-0.14072351
chr1	193104478	193104746	CDC73	170	-0.025546121
chr1	193107183	193107319	CDC73	161	-0.92982329
chr1	193110958	193111230	CDC73	219	-0.39135513
chr1	193116963	193117110	CDC73	203	-0.13103886
chr1	193119398	193119533	CDC73	639	2.530524
chr1	193121468	193121602	CDC73	39	-1.2799315
chr1	193172878	193173010	CDC73	183	-0.4209381
chr1	193181183	193181283	CDC73	50	-0.1082214
chr1	193181488	193181620	CDC73	37	-1.0162013
chr1	193202093	193202301	CDC73	388	0.34906991
chr1	193205363	193205499	CDC73	793	-0.29371568
chr1	193218838	193219009	CDC73	110	-1.7195238
chr1	193219753	193219891	CDC73	33	-0.42037376
chr1	204494382	204494536	MDM4	411	0.57412053
chr1	204494602	204494748	MDM4	437	1.030711
chr1	204495452	204495589	MDM4	1002	3.3835012
chr1	204499787	204499952	MDM4	696	0.40466263
chr1	204501267	204501424	MDM4	95	-0.69969614
chr1	204506507	204506652	MDM4	950	0.60358836
chr1	204507302	204507455	MDM4	306	-0.95323428
chr1	204511887	204512092	MDM4	290	0.0059516069
chr1	204513637	204513846	MDM4	308	0.66447124
chr1	204515892	204516028	MDM4	180	-0.36048661
chr1	204518217	204518835	MDM4	3174	0.25073526
chr1	206646531	206646677	IKBKE	699	-0.81527088
chr1	206647651	206647824	IKBKE	1442	-0.14017084
chr1	206648186	206648362	IKBKE	2046	0.39392601
chr1	206649496	206649744	IKBKE	2136	-0.10036459
chr1	206649996	206650203	IKBKE	2380	0.31587277
chr1	206651061	206651243	IKBKE	1025	-0.43287509
chr1	206651541	206651720	IKBKE	1893	0.18766566
chr1	206652251	206652506	IKBKE	2493	0.06229323
chr1	206653161	206653302	IKBKE	1547	0.36292745
chr1	206653326	206653477	IKBKE	1286	0.12818561
chr1	206653761	206653901	IKBKE	1092	-0.16544008
chr1	206658291	206658448	IKBKE	1162	-0.21507338
chr1	206658506	206658674	IKBKE	1843	0.34642359
chr1	206661206	206661352	IKBKE	819	-0.61529965
chr1	206664086	206664233	IKBKE	1373	0.11439966
chr1	206664951	206665093	IKBKE	1437	0.2114747
chr1	206666326	206666475	IKBKE	1411	0.17042287
chr1	206666566	206666742	IKBKE	1239	-0.40451963
chr1	206667216	206667360	IKBKE	986	-0.32654496
chr1	206669381	206669533	IKBKE	1311	0.01239058
chr1	209974444	209974522	IRF6	476	-0.15700911
chr1	209974544	209974609	IRF6	366	2.921908
chr1	226252036	226252111	H3F3A	203	-1.8873772
chr1	226253321	226253387	H3F3A	240	1.5980294
chr1	226253471	226253550	H3F3A	222	-1.8208196
chr1	226259126	226259204	H3F3A	90	-2.5611266
chr1	226549116	226549277	PARP1	755	-0.20722424
chr1	226549646	226549820	PARP1	1099	0.21167778
chr1	226550751	226550900	PARP1	1430	0.30639417
chr1	226551616	226551789	PARP1	1746	0.25243863
chr1	226552681	226552884	PARP1	1931	0.095702052
chr1	226553631	226553772	PARP1	1402	1.2143147
chr1	226555146	226555331	PARP1	2017	0.34102166
chr1	226555876	226556054	PARP1	1460	-0.18186891
chr1	226558101	226558249	PARP1	1473	0.19344674
chr1	226561896	226562080	PARP1	2073	1.1559172
chr1	226564786	226565024	PARP1	3395	0.75168296
chr1	226566821	226567001	PARP1	2405	0.53819962
chr1	226567236	226567366	PARP1	914	0.68625491
chr1	226567596	226567874	PARP1	3192	0.25946768
chr1	226568741	226568923	PARP1	2046	0.35695967
chr1	226570701	226570911	PARP1	1151	-0.71830793
chr1	226573181	226573428	PARP1	2503	0.11555881
chr1	226573991	226574174	PARP1	2077	0.3151783
chr1	226576321	226576393	PARP1	605	1.1617982
chr1	226576396	226576471	PARP1	800	1.3493056
chr1	226578086	226578359	PARP1	2534	-0.05416545
chr1	226579866	226580055	PARP1	1730	0.15732618
chr1	226589891	226590094	PARP1	2225	0.29401424
chr1	226595486	226595662	PARP1	1455	-0.042873722
chr1	232564020	232564098	SIPA1L2	762	0.39349346
chr1	232564110	232564176	SIPA1L2	612	1.0209379
chr1	237048423	237048562	rs1805087	50	-0.5400809
chr1	237675063	237675131	RYR2	195	0.59932185
chr1	237675148	237675219	RYR2	98	1.9615464
chr1	241661104	241661311	FH	256	-0.28077438
chr1	241663714	241663892	FH	373	-0.58688885
chr1	241665719	241665902	FH	691	-0.15177708
chr1	241667319	241667560	FH	1175	-0.23914433
chr1	241669274	241669482	FH	284	-0.34739571
chr1	241671879	241672121	FH	369	0.23460403
chr1	241675244	241675453	FH	273	-0.65154561
chr1	241676879	241677043	FH	327	0.33283036
chr1	241680459	241680626	FH	317	-0.81578228
chr1	241682869	241683050	FH	830	-0.63890906
chr1	243668520	243668662	AKT3	658	-0.35771374
chr1	243675600	243675739	AKT3	34	-0.61592537
chr1	243708781	243708919	AKT3	37	-1.2005892
chr1	243716006	243716279	AKT3	386	0.19990543
chr1	243726986	243727172	AKT3	216	-1.104493
chr1	243736221	243736357	AKT3	288	-1.6614948
chr1	243776936	243777033	AKT3	45	-2.0783111
chr1	243778356	243778487	AKT3	37	-1.2262105
chr1	243800891	243801056	AKT3	70	0.31876082
chr1	243809161	243809377	AKT3	305	0.10644469
chr1	243828051	243828186	AKT3	86	-0.32750691
chr1	243846426	243846579	AKT3	119	-0.72448519
chr1	243858871	243859041	AKT3	57	-1.4490479
chr1	244006401	244006614	AKT3	1360	-0.065210162
chr1	244006786	244006932	AKT3	229	1.0321336
chr1	244013276	244013406	AKT3	40	-4.3832407
chr1	244595882	244595950	ADSS	16	-0.87990364
chr2	8822813	8822888	ID2	226	1.2224249
chr2	8822908	8822971	ID2	262	2.9129102
chr2	16082155	16083000	MYCN	4986	-0.96645357
chr2	16085580	16086258	MYCN	6251	-0.58183647
chr2	25457113	25457325	DNMT3A	1504	-0.45302536
chr2	25458553	25458728	DNMT3A	1789	0.71550338
chr2	25459768	25459917	DNMT3A	525	-1.2500962
chr2	25461968	25462119	DNMT3A	1458	0.16059136
chr2	25463148	25463354	DNMT3A	1650	-0.18680492
chr2	25463483	25463624	DNMT3A	1349	0.082339596
chr2	25464398	25464619	DNMT3A	1917	-0.10283345
chr2	25466738	25466885	DNMT3A	1350	0.06832328
chr2	25466993	25467245	DNMT3A	2627	0.17404509
chr2	25467373	25467552	DNMT3A	2105	0.33570094
chr2	25468083	25468236	DNMT3A	745	-0.82093795
chr2	25468833	25468982	DNMT3A	2058	0.80920952
chr2	25469003	25469213	DNMT3A	3602	0.85051609
chr2	25469458	25469669	DNMT3A	1786	-0.071667438
chr2	25469898	25470036	DNMT3A	1827	0.53705145
chr2	25470433	25470651	DNMT3A	1997	-0.030027443
chr2	25470873	25471124	DNMT3A	2700	0.23052159
chr2	25472488	25472634	DNMT3A	2090	0.77303135
chr2	25475038	25475198	DNMT3A	445	-1.2327039
chr2	25497788	25497990	DNMT3A	1515	0.052878527
chr2	25498318	25498449	DNMT3A	1446	0.44080918
chr2	25504298	25505616	DNMT3A	10088	-0.96205078
chr2	25522978	25523123	DNMT3A	1692	0.75752644
chr2	25536753	25537069	DNMT3A	3117	0.062817935
chr2	25537078	25537390	DNMT3A	4020	0.44450432
chr2	25537458	25537598	DNMT3A	1291	0
chr2	25564648	25564755	DNMT3A	174	-2.1089602
chr2	29416068	29416797	ALK	9928	-0.082181628
chr2	29419608	29419751	ALK	593	0.43097043
chr2	29420323	29420579	ALK	1609	-0.18052122
chr2	29430003	29430192	ALK	1613	0.032336676
chr2	29430833	29430978	ALK_fus	382	0.7158929
chr2	29432553	29432804	ALK	1644	-0.55468712
chr2	29436763	29437077	ALK	2223	-0.57777736
chr2	29443473	29443784	ALK	3869	0.26605524
chr2	29443853	29444104	ALK_fus	3347	0.4512763
chr2	29444203	29444367	ALK_fus	896	-0.1673248
chr2	29445103	29445289	ALK	1806	0.13043996
chr2	29445298	29446798	ALK	13071	-0.72943346
chr2	29446813	29449057	ALK	23200	0.044930757
chr2	29449363	29452025	ALK	27405	0.2685675
chr2	29455143	29455385	ALK	3487	0.61646279
chr2	29456328	29456587	ALK	2875	0.26916551
chr2	29462523	29462734	ALK	2134	0.071099337
chr2	29473943	29474171	ALK	2210	0.093218795
chr2	29497933	29498114	ALK	3520	1.3191965
chr2	29498243	29498385	ALK	1332	0.057383447
chr2	29519728	29519940	ALK	2505	0.28736097
chr2	29541148	29541288	ALK	813	-0.59469657
