gene	mean_log2ND	std_log2ND	median_log2ND	R-190115-979857-BLD-101100_BC_E19011812-32-DNA_F1901184313-27_L190118-00002-H6_20190121-C8_panel12_plus_P190121536-1_sample20190121-B3-A00168-log2_ND	R-RZ	R-CopyRatio
MTOR	-0.23989322	0.055289022	-0.23075206	-0.24704749	-0.12939761	-0.020282068
MTOR	-0.057474482	0.082578593	-0.059893539	-0.13086727	-0.88876289	-0.074960372
MTOR	-0.2743685	0.043286789	-0.26908257	-0.34524699	-1.6374163	-0.080151063
MTOR	-0.030019803	0.048777652	-0.034933579	-0.6847171	-13.422075	-0.65377016
MTOR	-0.49918912	0.11511644	-0.47806064	-0.86444392	-3.172916	-0.39036992
MTOR	-0.52564972	0.098044539	-0.49951102	-1.5667103	-10.618242	-1.071186
MTOR	-0.25871929	0.10289547	-0.23806766	-1.5684154	-12.728413	-1.3343343
MTOR	0.25192128	0.059020284	0.25733291	-0.031086072	-4.7950862	-0.29240562
MTOR	-1.3044145	0.1128386	-1.284784	-1.8286876	-4.646221	-0.54789022
MTOR	0.18602738	0.043596789	0.18178485	-0.31381209	-11.465052	-0.49958358
MTOR	-0.05790878	0.065933503	-0.065394064	-0.37386132	-4.7919877	-0.31245389
MTOR	-0.24055344	0.074341196	-0.24430867	-0.25527328	-0.19800375	-0.014951246
MTOR	0.28487282	0.044996969	0.28239524	-0.15224007	-9.7142741	-0.43862195
MTOR	-0.72426753	0.13913489	-0.69425669	-1.4242299	-5.0308186	-0.73395987
MTOR	-0.28545159	0.083017408	-0.28126743	-0.83655024	-6.6383505	-0.55926945
MTOR	-0.68965544	0.060524241	-0.6846469	-1.2371111	-9.0452296	-0.55645084
MTOR	-0.84349185	0.075372856	-0.85379443	-1.724835	-11.693111	-0.87502724
MTOR	-0.46706108	0.11893812	-0.46498708	-1.2575157	-6.6459319	-0.79651529
MTOR	-0.22141962	0.16914438	-0.24972561	-0.93229901	-4.2027964	-0.68656004
MTOR	-0.03112332	0.05946751	-0.011536803	-0.44715277	-6.9959117	-0.4396026
MTOR	-0.32393181	0.062296531	-0.31683983	-0.62376334	-4.8129731	-0.31091015
MTOR	-0.73503076	0.14458189	-0.73077676	-0.7579727	-0.15867783	-0.031182581
MTOR	0.16611513	0.10398146	0.17324071	0.036623542	-1.2453334	-0.14060381
MTOR	-0.35219358	0.043672927	-0.34675298	-0.96573552	-14.048565	-0.62296918
MTOR	-0.32159628	0.088110778	-0.33292299	-0.6707521	-3.9626913	-0.34181575
MTOR	-0.26718571	0.1188442	-0.29146553	-0.56466479	-2.5031014	-0.2771859
MTOR	-0.21149855	0.12769638	-0.23827643	-0.23924811	-0.2173089	-0.0049583202
MTOR	-0.83805066	0.035804409	-0.84501097	-0.93901699	-2.8199413	-0.097992662
MTOR	-0.067703006	0.080420172	-0.080629034	-0.95650356	-11.05196	-0.87986116
MTOR	0.17065992	0.055212439	0.17807827	-0.11135854	-5.107879	-0.29342345
MTOR	0.032213846	0.17471547	0.0051913202	0.69377938	3.7865309	0.68460142
MTOR	0.3853104	0.052606593	0.38207216	-0.24597972	-12.000209	-0.63203852
MTOR	-0.647403	0.23166775	-0.68576909	-1.0102798	-1.5663673	-0.32849735
MTOR	-0.18204203	0.10571391	-0.19243001	-0.59750323	-3.9300523	-0.40905986
MTOR	-0.36706061	0.10621375	-0.35791838	-0.62839553	-2.4604623	-0.27446379
MTOR	0.38793816	0.055025281	0.37990027	0.51651147	2.3366226	0.13262456
rs1801131	0.10042616	0.10725051	0.099125457	-0.77369511	-8.1502761	-0.87680721
rs1801133	-0.39467341	0.10263854	-0.38166679	-0.81907177	-4.1348831	-0.44139162
PDPN	-1.4698245	0.24274602	-1.4313053	-0.44597607	4.2177764	0.98134259
SPEN	-0.5537045	0.12030489	-0.53463757	-0.56985619	-0.13425631	-0.039205261
SPEN	0.21173945	0.60972932	0.087812736	0.12465585	-0.14282338	0.032856469
SPEN	-0.56829039	0.32271982	-0.63656269	-1.1376802	-1.7643473	-0.5051042
SPEN	0.075945816	0.048535077	0.077180431	-0.035796801	-2.3023064	-0.11696387
SPEN	-0.55684713	0.10149132	-0.55890555	-1.2470024	-6.8001404	-0.69208344
SPEN	0.12360478	0.06290616	0.10812288	-0.077842648	-3.2023482	-0.18995217
SPEN	0.069496729	0.062148555	0.08034535	-0.14111928	-3.3889124	-0.22545127
SPEN	0.43589079	0.047579747	0.43627647	0.43439815	-0.031371299	-0.0058649589
SPEN	0.040083307	0.12092375	0.029594555	-0.68185136	-5.9701644	-0.71543256
SPEN	-0.32171165	0.1084162	-0.28314197	-1.148797	-7.628799	-0.86964172
SPEN	0.49037404	0.61268168	0.3833944	-0.092048642	-0.9506122	-0.47942968
SPEN	1.5363899	0.61075701	1.4235275	0.88207191	-1.0713229	-0.54544223
SPEN	0.011087644	0.17062246	-0.015644403	-0.38134663	-2.3000153	-0.36968887
SPEN	0.35612419	0.33087742	0.29899117	0.056321067	-0.90608517	-0.24665674
SPEN	-0.36978227	0.06977536	-0.37988403	-0.40157682	-0.45567011	-0.025679426
SPEN	-0.32192209	0.048517883	-0.33352652	-0.23349537	1.8225592	0.096044505
SPEN	0.36513263	0.051266136	0.35910865	0.26404458	-1.9718288	-0.099050706
SDHB	-0.19759707	0.19034068	-0.14851056	-0.75078353	-2.9062965	-0.60625961
SDHB	-0.38329149	0.034575843	-0.38407504	-0.57840104	-5.642944	-0.19831264
SDHB	-0.86756556	0.10205248	-0.85405508	-0.91143216	-0.42984353	-0.061363719
SDHB	-0.388287	0.13304263	-0.3570831	-1.0632571	-5.0733367	-0.7101606
SDHB	-0.24326185	0.06980193	-0.24652246	-0.75718553	-7.3625999	-0.51464971
SDHB	-0.22518779	0.10091809	-0.21377317	-0.64106816	-4.1209695	-0.43128163
SDHB	-0.25557826	0.07369291	-0.24718178	-0.90163644	-8.7668974	-0.6584413
SDHB	-1.2112512	0.11595016	-1.1933244	-0.86962373	2.9463303	0.31971403
rs2072671	-0.20171114	0.099322325	-0.20222695	-0.1364534	0.65702993	0.06178691
rs60369023	-0.5300361	0.081365615	-0.53170695	-0.93974601	-5.0354183	-0.4120257
EIF4G3	-0.56189184	0.30191285	-0.46362369	0.094905428	2.1754532	0.55454248
EIF4G3	0.48002	0.32023453	0.50572411	0.48514861	0.016015164	-0.024562142
ID3	0.23229094	0.12865097	0.25001911	0.015614691	-1.6842178	-0.23839106
ID3	-0.060846749	0.20554973	-0.10472796	-0.10666981	-0.22292929	-0.0059284856
STMN1	0.31971242	0.3041241	0.37012755	-0.19585313	-1.6952473	-0.56996732
STMN1	0.34564481	0.34332796	0.44597844	-0.74039659	-3.1632769	-1.1903617
ARID1A	-1.3962652	0.29990594	-1.3865368	-0.82713665	1.8976902	0.55541351
ARID1A	-0.90980978	0.51528941	-1.0125923	-1.1337492	-0.43458966	-0.12514357
ARID1A	-0.36196917	0.14103824	-0.36727828	-0.63751382	-1.9536875	-0.27422218
ARID1A	0.2542594	0.31245927	0.20207072	-0.50286804	-2.4231236	-0.7089254
ARID1A	-0.39023176	0.095109203	-0.3717488	-0.45873652	-0.72027478	-0.090974361
ARID1A	0.15230307	0.10677109	0.13664926	-0.49724569	-6.083564	-0.63788159
ARID1A	-0.86395705	0.087967139	-0.85154611	-1.1093099	-2.7891419	-0.26175041
ARID1A	0.04057965	0.057853238	0.037046315	-0.74746936	-13.62152	-0.78850232
ARID1A	-0.50762447	0.19001255	-0.53243376	-0.81187016	-1.6011873	-0.28342304
ARID1A	0.0051485754	0.07668324	0.0031909501	-0.49971377	-6.5837378	-0.50689136
ARID1A	0.32332931	0.079027347	0.31430074	-0.15913952	-6.105087	-0.4774269
ARID1A	-0.11436939	0.071898315	-0.12063822	-0.20870266	-1.3120373	-0.092051084
ARID1A	-0.44714202	0.074336993	-0.4687047	-0.82849343	-5.1300354	-0.36377537
ARID1A	0.48729299	0.045730663	0.49229191	-0.3627708	-18.588486	-0.85904935
ARID1A	-0.35579191	0.081502173	-0.37817594	-0.47898446	-1.5115247	-0.10479516
ARID1A	0.24894271	0.055280815	0.23966083	0.33698667	1.5926676	0.093339203
ARID1A	0.67587022	0.065394829	0.69953814	0.18891623	-7.4463685	-0.51460855
ARID1A	0.23745056	0.067617774	0.25092732	-0.44773142	-10.133164	-0.70264538
ARID1A	-0.50510998	0.48167162	-0.59787109	-0.91942411	-0.8601589	-0.32553966
ARID1A	-0.42691041	0.061364016	-0.41859049	-0.72706564	-4.8913882	-0.31246179
ARID1A	0.22329224	0.058033246	0.23278917	0.19128036	-0.55161271	-0.045495447
ARID1A	-0.031706731	0.59278903	-0.12506241	-0.35929447	-0.55262112	-0.2382187
GMEB1	-0.58906001	0.29408071	-0.52287568	-0.11290959	1.6191148	0.40597945
GMEB1	0.41096263	0.33701619	0.44412604	0.69566997	0.8447883	0.24755728
CSF3R	0.10244854	0.45352714	0.02656315	-0.4009234	-1.1099048	-0.43147319
CSF3R	-0.66506002	0.11677972	-0.64635782	-0.026041481	5.4719992	0.6163297
CSF3R	-0.6973585	0.11674892	-0.67692257	-0.68983825	0.064413866	-0.016902321
CSF3R	0.30872658	0.042886321	0.31182124	-0.049821927	-8.3604398	-0.36562981
CSF3R	0.21489482	0.041909223	0.20729181	-1.2648898	-35.309283	-1.4761682
CSF3R	-0.5471401	0.097432071	-0.52136251	-0.78129228	-2.4032352	-0.26391641
CSF3R	-0.028076526	0.072440776	-0.038386846	0.072710969	1.3913089	0.10711117
CSF3R	-0.044006399	0.086460946	-0.046982034	-0.3702085	-3.7728259	-0.3272131
CSF3R	0.28643364	0.086122198	0.29066924	0.31821119	0.36898213	0.023555311
CSF3R	-0.082272238	0.053156938	-0.097161122	-0.24992839	-3.1539844	-0.15675391
CSF3R	-0.33043079	0.038596017	-0.33663248	-0.98882252	-17.058541	-0.65617668
CSF3R	-0.13830742	0.075016348	-0.15166034	-0.54759403	-5.4559655	-0.39992033
CSF3R	0.68489783	0.046960169	0.69304973	-0.39903653	-23.081994	-1.0960729
CSF3R	-0.13483811	0.19895341	-0.16607926	-0.017229221	0.59113784	0.1448634
CSF3R	-0.075132279	0.12913574	-0.073922477	-0.27204001	-1.524812	-0.20210417
CSF3R	-0.35424372	0.065312604	-0.33499882	-0.69953532	-5.286753	-0.36852314
MTF1	-0.70025244	0.35015645	-0.64170804	0.0014966902	2.0041017	0.63921809
MYCL	-0.067066281	0.42225416	-0.13623475	-0.21488968	-0.35008156	-0.082641567
MYCL	-0.35889063	0.31818422	-0.42507614	-0.58764561	-0.7189388	-0.16655611
MYCL	0.49354447	0.60422713	0.39070094	0.46319751	-0.050224428	0.068509928
MPL	-0.12765893	0.079237544	-0.10527593	-0.02808666	1.2566299	0.073202629
MPL	-0.28846093	0.04643714	-0.29304199	0.10681426	8.5120485	0.39586961
MPL	0.19383741	0.080821542	0.18032849	0.38695898	2.3894814	0.20264385
MPL	-0.47181084	0.20173983	-0.50675082	-0.51057596	-0.19215401	-0.0078117768
MPL	-0.044610841	0.21869242	0	0.075670993	0.55000459	0.071684352
MPL	-0.038262823	0.10220576	-0.029112802	-0.20577134	-1.6389342	-0.18064518
MPL	-0.17570055	0.039456496	-0.17207223	-0.49531548	-8.1004388	-0.32722989
MPL	-0.067834232	0.095186833	-0.084381518	-0.081511574	-0.14368943	-0.0011166964
MPL	-0.28051464	0.047559775	-0.28392825	-0.48753907	-4.3529311	-0.20759746
MPL	-0.26934777	0.045913886	-0.27613262	0.38845636	14.32691	0.66060234
MPL	0.011109429	0.072574038	0.012758101	0.54708428	7.3852147	0.53033954
MPL	-0.00037046356	0.20140125	0.022116172	0.62103913	3.0854307	0.59493632
MPL	0.0051329104	0.1660077	-0.024757499	-0.12018213	-0.75487486	-0.09941127
MUTYH	0.20023317	0.069976698	0.21245365	-0.30845039	-7.2693279	-0.52489068
MUTYH	-0.57769103	0.086837468	-0.57033179	-0.77235196	-2.2416698	-0.20600681
MUTYH	-0.031759584	0.057128094	-0.030848649	0.48161283	8.986339	0.50847484
MUTYH	0.016048704	0.065097731	0.028962569	0.58704249	8.7713316	0.55409328
MUTYH	0.18044786	0.062427323	0.17759808	0.55384593	5.9813244	0.37226121
MUTYH	-0.16117712	0.19694326	-0.19467321	0.54772096	3.5995041	0.73840753
MUTYH	0.1747743	0.078747938	0.1829117	0.15986014	-0.18939117	-0.027038205
MUTYH	-0.19943814	0.26816562	-0.25213531	-0.073034696	0.47136335	0.17511397
MUTYH	0.16396571	0.11331582	0.1831233	0.39267669	2.01835	0.20556675
MUTYH	0.76255311	0.10701047	0.78358169	0.96437153	1.8859689	0.1768032
MUTYH	0.15272996	0.11551966	0.14054373	0.43261247	2.4228128	0.2880821
MUTYH	-0.022854853	0.04340019	-0.016454871	0.52375626	12.594671	0.53622449
MUTYH	-0.13794771	0.10557476	-0.16661039	0.1468492	2.6975852	0.30947295
MUTYH	0.13250196	0.10884014	0.14649704	0.69712638	5.1876488	0.5466427
RAD54L	0.16233184	0.082469171	0.18131026	1.124296	11.66453	0.93899906
RAD54L	-0.044531065	0.10461665	-0.013346032	0.64067151	6.5496512	0.6500309
RAD54L	-0.85865396	0.07584364	-0.85378416	-0.37039216	6.4377422	0.47940536
RAD54L	0.43066646	0.10594586	0.44860207	0.27643287	-1.4557774	-0.17615584
RAD54L	-0.15768733	0.037058943	-0.14722018	0.0095044648	4.5115101	0.152738
RAD54L	0.41345288	0.13886608	0.4011826	0.61267381	1.4346263	0.20750457
RAD54L	-0.17266218	0.18755629	-0.20685201	0.055023748	1.2139605	0.25788912
RAD54L	0.11041062	0.075672504	0.13478189	0.11571334	0.070074552	-0.023055194
RAD54L	-0.23237611	0.053421526	-0.23097263	-0.33181926	-1.861481	-0.10483327
RAD54L	-0.47038344	0.091071933	-0.47581802	-0.15121143	3.5046144	0.32061995
RAD54L	0.37907576	0.10967009	0.39171392	1.3316314	8.6856468	0.93593086
RAD54L	0.81284213	0.30114501	0.85701565	1.4867305	2.2377538	0.62572822
RAD54L	0.36181819	0.25558436	0.39571652	1.1292376	3.002607	0.72953442
RAD54L	0.54844287	0.08729744	0.5720604	0.58519399	0.42098733	0.009146946
RAD54L	0.16828756	0.050788071	0.16640232	0.49566225	6.4458974	0.32527329
RAD54L	0.061087739	0.11144481	0.089412197	-0.14956725	-1.890218	-0.24296609
RAD54L	-0.14749899	0.07102564	-0.14322663	0.11192205	3.6524984	0.25116204
RAD54L	0.14401157	0.064928227	0.13736286	0.24235641	1.51467	0.10100691
RAD54L	0.091004661	0.091810227	0.070584091	0.22142191	1.420509	0.14685118
CDKN2C	-0.038830996	0.064619135	-0.030434303	0.22475876	4.0791286	0.25120643
CDKN2C	-0.09762416	0.24250738	-0.14425292	-0.21118552	-0.46828	-0.070919237
JUN	0.35662689	0.22091728	0.31500128	1.2426512	4.0106611	0.9236633
JUN	0.2240048	0.072206807	0.22333119	0.92266046	9.675759	0.69534263
JUN	0.15114382	0.26925879	0.085098836	1.0904512	3.4884928	1.0013657
JAK1	0.29370108	0.098038916	0.30836707	1.1737121	8.97614	0.86135841
JAK1	0.25561998	0.058389446	0.24894595	0.27109996	0.26511611	0.018167372
JAK1	-0.85287829	0.056528555	-0.85373366	-1.2560659	-7.1324586	-0.40631885
JAK1	0.25313226	0.069328138	0.26515129	0.37383231	1.7409965	0.10469437
JAK1	0.77522639	0.076683451	0.76857911	1.0856674	4.0483448	0.31310169
JAK1	0.24041742	0.080412605	0.22723646	0.19845613	-0.52182481	-0.032766973
JAK1	0.81749588	0.15539032	0.80786334	1.0424506	1.447675	0.23060058
JAK1	0.2134122	0.051740349	0.20974771	0.27335558	1.1585422	0.059621226
JAK1	0.20692306	0.055494574	0.19317383	-0.11322724	-5.7690378	-0.31038771
JAK1	0.2036544	0.064397161	0.20633312	-0.70979943	-14.184691	-0.92011919
JAK1	-0.20302158	0.085955502	-0.19511802	-0.18211451	0.24323127	0.0090168651
JAK1	0.6226634	0.10501498	0.63432926	0.24082774	-3.6360114	-0.39748816
JAK1	0.43014255	0.044605976	0.4325787	0.25886287	-3.839837	-0.17770247
JAK1	-0.011017955	0.06061823	-0.018105102	0.63104432	10.591901	0.64516278
JAK1	0.26241919	0.066317225	0.24636876	0.61206787	5.272366	0.36171247
JAK1	0.043779526	0.067757577	0.045357123	0.32018203	4.0792855	0.27083826
JAK1	-0.058827	0.042681363	-0.066534685	0.20966593	6.2906362	0.27221397
JAK1	0.92126467	0.05430107	0.91708783	1.6515164	13.448201	0.73044188
JAK1	0.075706612	0.23311912	0.038341673	0.32169761	1.0552159	0.27936929
JAK1	-0.33212804	0.061385164	-0.32434201	-0.070966521	4.2544729	0.24938885
JAK1	0.297728	0.079763455	0.28859383	0.5044482	2.5916655	0.21186773
JAK1	0.11497099	0.069172313	0.11266237	-0.13185235	-3.568239	-0.24850136
JAK1	-0.32233729	0.092376944	-0.336277	-0.049793964	2.9503393	0.2824964
JAK1	-0.29802952	0.12902927	-0.28466802	-0.85715708	-4.3333389	-0.5764757
LEPR	-0.48625337	0.27600171	-0.46111998	0.4134691	3.2598438	0.87060244
ZZZ3	-0.25332509	0.29322383	-0.20665653	1.1636485	4.8323959	1.3663184
ZZZ3	-0.15639042	0.2901674	-0.082120758	-0.058643222	0.33686485	0.019490896
FUBP1	-0.53241163	0.10653261	-0.51824791	-0.56682776	-0.32305726	-0.052566494
FUBP1	0.22753993	0.43551417	0.15686847	-0.12039475	-0.79890552	-0.28124986
FUBP1	0.89835385	0.066695473	0.9151633	0.054358408	-12.654464	-0.86479153
FUBP1	-0.17480378	0.056223548	-0.17571662	-0.17139348	0.060656123	0.00033650199
FUBP1	-0.1938951	0.18791972	-0.17059971	0.11096045	1.6222648	0.27757352
FUBP1	0.095080702	0.082239811	0.07799162	0.89781868	9.7609414	0.81584041
FUBP1	0.15964792	0.12396059	0.17562516	0.079998422	-0.64253887	-0.099613378
FUBP1	0.36914062	0.083681518	0.35789996	0.42356633	0.65039105	0.06167973
FUBP1	0.60771341	0.044047308	0.60817132	0.80000026	4.3654621	0.1878423
FUBP1	0.210277	0.058040326	0.20574914	0.15357088	-0.97701243	-0.0561649
FUBP1	0.58484281	0.10066253	0.59445529	0.60906903	0.24066773	0.010627102
FUBP1	0.35815392	0.093415895	0.36513459	0.29185899	-0.7096751	-0.077262245
FUBP1	0.50641468	0.11590389	0.51624466	0.83067234	2.7976426	0.31044104
FUBP1	0.71404186	0.10198016	0.72452279	1.2273608	5.0335178	0.49885138
FUBP1	0.59075473	0.027323675	0.59013618	0.84116808	9.1647026	0.24704526
FUBP1	0.29240776	0.10550016	0.30530697	0.041380881	-2.3793981	-0.26791273
FUBP1	-0.10468049	0.20030924	-0.05644971	0.27000251	1.8705228	0.32246558
FUBP1	0.41956796	0.12341211	0.44563445	0.69597244	2.2396868	0.24635135
FUBP1	-0.15119035	0.22664399	-0.084372287	0.48094354	2.789105	0.56132919
FUBP1	0.77438016	0.12266112	0.80304521	1.0849851	2.5322199	0.27795324
FUBP1	-0.43696476	0.11531844	-0.42471365	-0.97282884	-4.6468204	-0.55210183
FUBP1	0.04394147	0.13313229	0.064087943	0.21411074	1.2781968	0.14603616
FUBP1	0.6084905	0.10796227	0.58169378	1.2489963	5.9326814	0.66331583
rs67376798	-0.034410188	0.088263638	-0.024460992	-0.28717233	-2.8637177	-0.26669798
rs3918290	0.52308865	0.10541917	0.52671115	0.61283582	0.8513363	0.082138026
rs55886062	-0.35519353	0.096963891	-0.33405661	0.12567776	4.9592822	0.45574773
rs2297595	0.34402198	0.043536639	0.33495803	0.35068273	0.15299185	0.011738061
rs1801265	0.36117171	0.11497975	0.38705572	0.80199626	3.833932	0.4109539
DBT	-1.7696095	0.24600402	-1.7011841	-1.3412837	1.7411335	0.35591381
COSM5045664	-12.161083	9.8311516	-20.489652	-19.252655	-0.72133684	1.2330105
COSM5045664	-11.242267	9.706221	-19.883141	-18.91956	-0.79096619	0.95959469
GSTM1	-3.6293214	2.5591364	-5.4311063	-5.350049	-0.67238604	0.077070673
COSM3676668	-4.4890233	3.5859764	-6.9171585	-19.632274	-4.2229087	-12.719102
NRAS	0.5221308	0.044212595	0.51964787	0.36577469	-3.5364608	-0.15785982
NRAS	0.55122069	0.044001725	0.55134759	0.87576289	7.3756699	0.32042866
NRAS	-0.11754838	0.089854649	-0.11876862	-0.48334433	-4.0709741	-0.36856235
NRAS	0.42300156	0.096940531	0.44292898	0.76225782	3.4996328	0.3153422
FAM46C	-0.093152448	0.56761234	-0.1998172	-0.086317181	0.012042139	0.10951338
NOTCH2	0.1904515	0.58196319	0.073277799	0.1657303	-0.042478968	0.088465865
NOTCH2	0.35783339	0.099621392	0.37659135	0.10977515	-2.4900097	-0.27080284
NOTCH2	-0.13642672	0.072195794	-0.14797286	-0.64209292	-7.004095	-0.4981067
NOTCH2	-0.6710623	0.19947451	-0.69048071	-0.2482623	2.1195691	0.43823177
NOTCH2	-0.086253578	0.079643593	-0.093759799	0.23871607	4.0802987	0.32848923
NOTCH2	0.53997506	0.10953107	0.55520432	0.72574314	1.6960309	0.16655218
NOTCH2	-0.27339947	0.073572633	-0.28403827	0.057385841	4.4960374	0.33743747
NOTCH2	0.32532274	0.057253666	0.33040908	0.4516052	2.2056659	0.11720948
NOTCH2	0.045744528	0.2332733	-0.0018491679	-0.13403553	-0.77068425	-0.136173
NOTCH2	-0.063128745	0.34839787	-0.13591611	-0.051617286	0.033041129	0.080312184
NOTCH2	-0.67817777	0.10294914	-0.66759296	-1.2132962	-5.1978917	-0.54968993
NOTCH2	0.00018585495	0.097648589	-0.032462178	-0.67166215	-6.8802634	-0.64318662
NOTCH2	1.2356786	0.29857371	1.297765	1.4219973	0.62402907	0.12024563
NOTCH2	-0.23470566	0.26507282	-0.28095343	-0.38587083	-0.57027791	-0.10890404
NOTCH2	-0.48456648	0.089485798	-0.50074269	-0.50103297	-0.18401236	-0.0042769233
NOTCH2	-0.13462713	0.086933656	-0.13603644	-0.60298198	-5.3874975	-0.47093218
NOTCH2	-0.47331066	0.089935313	-0.47257582	-0.87011549	-4.4121138	-0.40152631
NOTCH2	-0.20306577	0.071809559	-0.1911752	-0.16621289	0.51320293	0.020975666
NOTCH2	0.033992835	0.24693475	0.065263866	-0.61022916	-2.6088754	-0.67947967
NOTCH2	-0.29046794	0.066490791	-0.29660316	-0.5595653	-4.0471373	-0.26694878
NOTCH2	0.19751331	0.060025284	0.19410727	0.16318238	-0.57194112	-0.034911529
NOTCH2	-0.30995197	0.072985777	-0.31437819	-0.30075571	0.12600065	0.009635835
NOTCH2	0.13891323	0.04944207	0.12642744	-0.3614372	-10.119933	-0.49185128
NOTCH2	0.0075633442	0.09091921	-0.0044548246	-0.8409162	-9.3322362	-0.84044801
NOTCH2	-0.26490101	0.052227402	-0.26635519	-1.0414171	-14.867983	-0.77904858
NOTCH2	-0.36169821	0.1312359	-0.38493584	-0.40720638	-0.34676613	-0.026257176
NOTCH2	-0.67277518	0.052156691	-0.67960365	-1.0140691	-6.5436273	-0.33845212
NOTCH2	0.14445944	0.051074181	0.14153378	-0.34404742	-9.5646537	-0.48956784
NOTCH2	-0.38951018	0.10385793	-0.39131392	-0.76748844	-3.6393779	-0.38016116
NOTCH2	-0.0059371079	0.063922905	0.0022047121	-0.195678	-2.968277	-0.20186935
NOTCH2	0.014179229	0.13286831	-0.017272543	0.31319448	2.2504633	0.32648038
NOTCH2	-0.040180611	0.075203971	-0.025749857	-0.20060946	-2.1332497	-0.17884624
NOTCH2	-0.25109187	0.38374977	-0.44809896	-0.49080961	-0.62467202	-0.046697294
NOTCH2	0.61476296	0.22885439	0.56638314	0.42498422	-0.8292554	-0.14538556
NOTCH2	0.99862677	0.15553852	1.0261615	0.62912303	-2.3756414	-0.40102511
NOTCH2	1.2175916	0.44578455	1.1645872	1.0143531	-0.45591203	-0.15422078
NOTCH2	0.60844393	0.22554021	0.63945768	0.81218545	0.90334899	0.16874113
NOTCH2	1.2423639	0.17385437	1.2170968	1.0067661	-1.3551444	-0.21431732
MCL1	0.13648878	0.083670678	0.14224669	-1.0881668	-14.636616	-1.2344001
MCL1	0.22595777	0.14272491	0.20173479	0.18792368	-0.26648527	-0.017797746
MCL1	0.25024684	0.43693938	0.16569285	0.89376323	1.4727819	0.72408374
ASH1L	-2.9403242	0.37605435	-2.8966683	-2.6491069	0.77440223	0.24357479
NTRK1	0.25959032	0.084530824	0.26937078	0.086389876	-2.048962	-0.18696754
NTRK1	0.11142462	0.053066853	0.11844126	0.13000746	0.35017791	0.0075795593
