Chr	start	end	gene	depth	sample20190415-I1-log2_ND
chr1	45797300	45797560	MUTYH	1310	0.38844147
chr1	45797655	45798020	MUTYH	1569	-0.14581118
chr1	45798030	45798185	MUTYH	721	0.25388663
chr1	45798210	45798683	MUTYH	2279	-0.19965136
chr1	45798730	45798871	MUTYH	717	0.13946427
chr1	45798905	45799041	MUTYH	1132	0.84420973
chr1	45799060	45799347	MUTYH	1758	0.29276919
chr1	45800030	45800224	MUTYH	966	-0.06283108
chr1	45805525	45805806	MUTYH	884	-0.0091322444
chr1	45805835	45805980	MUTYH	597	0.58630459
chr1	46713995	46714148	RAD54L	907	0.41082655
chr1	46714155	46714293	RAD54L	730	0.13493985
chr1	46715650	46715836	RAD54L	637	-0.75699294
chr1	46724305	46724440	RAD54L	1079	0.23976175
chr1	46725600	46725794	RAD54L	912	-0.20739971
chr1	46726175	46726319	RAD54L	924	0.14025041
chr1	46726370	46726721	RAD54L	1834	-0.3271078
chr1	46726910	46727087	RAD54L	1001	-0.057812453
chr1	46733105	46733321	RAD54L	1109	-0.26904906
chr1	46736305	46736490	RAD54L	691	-0.67149686
chr1	46738090	46738248	RAD54L	1013	0.019263374
chr1	46738310	46738381	RAD54L	610	1.0791159
chr1	46738405	46738480	RAD54L	500	0.46300811
chr1	46739010	46739160	RAD54L	1182	0.65545085
chr1	46739270	46739438	RAD54L	1014	0.13699959
chr1	46739775	46739909	RAD54L	711	-0.094117707
chr1	46740185	46740427	RAD54L	1186	-0.26559753
chr1	46743455	46743681	RAD54L	1590	0.25357032
chr1	46743710	46743975	RAD54L	1634	0.41471855
chr1	51436010	51436189	CDKN2C	1039	0.018120352
chr1	51439535	51439952	CDKN2C	2640	-0.12920228
chr1	59247721	59248108	JUN	3339	0.70048997
chr1	59248131	59248305	JUN	689	0.46246347
chr1	59248316	59248776	JUN	2486	0.2312638
chr1	65300217	65300349	JAK1	931	0.41377732
chr1	65301047	65301221	JAK1	1457	0.26612284
chr1	65301757	65301935	JAK1	610	-0.96745847
chr1	65303592	65303795	JAK1	1819	0.43883078
chr1	65304112	65304302	JAK1	1695	0.60348699
chr1	65305252	65305515	JAK1	1961	0.12065953
chr1	65306902	65307035	JAK1	1448	0.81539673
chr1	65307107	65307318	JAK1	1697	0.25242553
chr1	65309722	65309940	JAK1	1659	0.35176674
chr1	65310412	65310587	JAK1	726	-0.36234926
chr1	65311162	65311353	JAK1	958	-0.31908758
chr1	65312302	65312445	JAK1	1328	0.92487816
chr1	65313192	65313402	JAK1	1423	0.1495174
chr1	65316452	65316634	JAK1	952	0.24736345
chr1	65321167	65321414	JAK1	1624	0.30491086
chr1	65323317	65323491	JAK1	1025	0.027720145
chr1	65325757	65325973	JAK1	1225	0.0077076224
chr1	65330437	65330641	JAK1	2786	0.99323499
chr1	65332517	65332919	JAK1	3102	-0.10360202
chr1	65334962	65335180	JAK1	1031	-0.34796706
chr1	65339017	65339243	JAK1	1429	-0.1241647
chr1	65344682	65344849	JAK1	1098	0.21791819
chr1	65348937	65349191	JAK1	1408	-0.031989727
chr1	65351912	65352043	JAK1	579	-0.29675753
chr1	66037892	66037969	LEPR	186	-0.90252369
chr1	78034082	78034152	ZZZ3	131	-0.34030815
chr1	78034172	78034239	ZZZ3	172	0.075175796
chr1	78413147	78413290	FUBP1	673	-0.39593128
chr1	78413557	78414303	FUBP1	4755	0.25499755
chr1	78414327	78414496	FUBP1	1397	0.6812804
chr1	78414812	78415016	FUBP1	1224	-0.14533049
chr1	78420902	78421004	FUBP1	632	0.098209623
chr1	78422222	78422407	FUBP1	1447	0.30549147
chr1	78425832	78425973	FUBP1	1048	0.19540996
chr1	78426007	78426208	FUBP1	1503	0.55230325
chr1	78428432	78428641	FUBP1	2374	0.6719585
chr1	78429232	78429405	FUBP1	1711	0.54705008
chr1	78429722	78429858	FUBP1	1604	0.80116034
chr1	78429907	78430057	FUBP1	1133	0.44406482
chr1	78430307	78430442	FUBP1	1473	0.74522409
chr1	78430532	78430671	FUBP1	1626	0.83448041
chr1	78430727	78430927	FUBP1	2383	0.84251448
chr1	78432327	78432461	FUBP1	850	0.035687559
chr1	78432532	78432639	FUBP1	617	-0.18079432
chr1	78432687	78432824	FUBP1	840	0.61101051
chr1	78433257	78433358	FUBP1	751	0.33950452
chr1	78433797	78433930	FUBP1	993	0.88971475
chr1	78434662	78434796	FUBP1	699	-0.33133492
chr1	78435572	78435681	FUBP1	640	0.036413099
chr1	78444537	78444730	FUBP1	1466	0.8195763
chr1	97547862	97548016	rs67376798	1088	0.17412499
chr1	97915537	97915685	rs3918290	1433	0.72433286
chr1	97981272	97981420	rs55886062	780	-0.14166895
chr1	98164957	98165163	rs2297595	2020	0.47018061
chr1	98348802	98348948	rs1801265	1305	0.59258666
chr1	100661907	100661985	DBT	93	-2.2237018
chr1	110230421	110230499	COSM5045664	0.001	-18.107505
chr1	110230501	110230572	COSM5045664	0.001	-17.011988
chr1	110231796	110231956	GSTM1	6	-7.2281805
chr1	110233046	110233151	COSM3676668	2	-8.2299198
chr1	115251123	115251297	NRAS	1683	0.50278989
chr1	115252158	115252372	NRAS	2382	0.72652379
chr1	115256398	115256631	NRAS	1251	-0.30945779
chr1	115258638	115258818	NRAS	2176	1.0955714
chr1	118165467	118166690	FAM46C	8631	-0.040652994
chr1	120457895	120459347	NOTCH2	8947	0.081249683
chr1	120460260	120460407	NOTCH2	1068	0.38669303
chr1	120460995	120461219	NOTCH2	1378	-0.019360454
chr1	120461900	120462260	NOTCH2	1501	-0.61860567
chr1	120462830	120463049	NOTCH2	1235	0.11434
chr1	120464305	120464447	NOTCH2	1309	0.58101013
chr1	120464825	120465084	NOTCH2	1440	-0.18285098
chr1	120465235	120465440	NOTCH2	1236	0.15266991
chr1	120466225	120466616	NOTCH2	3025	0.17449252
chr1	120467895	120468459	NOTCH2	2975	-0.15345748
chr1	120469095	120469246	NOTCH2	602	-0.2913161
chr1	120471575	120471850	NOTCH2	1745	0.21419077
chr1	120477725	120477796	NOTCH2	607	1.6351015
chr1	120477805	120478262	NOTCH2	2954	-0.31703594
chr1	120479870	120480128	NOTCH2	1148	-0.3282601
chr1	120480445	120480672	NOTCH2	1584	0.15187376
chr1	120483155	120483412	NOTCH2	1464	-0.16405276
chr1	120484115	120484301	NOTCH2	987	-0.15116469
chr1	120484320	120484396	NOTCH2	481	0.37854269
chr1	120491010	120491227	NOTCH2	1146	-0.16679054
chr1	120491595	120491778	NOTCH2	1515	0.42124594
chr1	120493325	120493493	NOTCH2	874	-0.29458569
chr1	120496130	120496346	NOTCH2	1634	0.091713789
chr1	120497630	120497896	NOTCH2	1456	-0.17016801
chr1	120501990	120502160	NOTCH2	996	-0.20653046
chr1	120506170	120506460	NOTCH2	1825	-0.077860039
chr1	120508045	120508221	NOTCH2	722	-0.70502766
chr1	120508970	120509148	NOTCH2	1503	0.39491933
chr1	120510025	120510287	NOTCH2	1435	-0.2976228
chr1	120510675	120510890	NOTCH2	1325	0.022692231
chr1	120512105	120512396	NOTCH2	2054	0.17557574
chr1	120529560	120529729	NOTCH2	1062	0.0032614156
chr1	120539590	120539975	NOTCH2	4005	0.74300902
chr1	120547930	120548245	NOTCH2	5087	1.3076198
chr1	120572490	120572596	NOTCH2	1507	1.1700841
chr1	120594075	120594782	NOTCH2	13734	1.1454889
chr1	120611915	120612044	NOTCH2	732	1.1972061
chr1	120612050	120612329	NOTCH2	3044	1.8246481
chr1	150549810	150549982	MCL1	1254	0.084936006
chr1	150550695	150551005	MCL1	2624	0.20955618
chr1	150551285	150552026	MCL1	4684	0.75399557
chr1	155404310	155404377	ASH1L	44	-2.664104
chr1	156785554	156785697	NTRK1	1029	0.76592131
chr1	156811839	156812032	NTRK1	1020	0.026044766
chr1	156830599	156830960	NTRK1	509	-1.2500842
chr1	156834109	156834247	NTRK1	261	-1.0440249
chr1	156834434	156834620	NTRK1	774	0.27390474
chr1	156836664	156836808	NTRK1	532	-0.24094442
chr1	156837864	156838482	NTRK1	1701	-0.66942238
chr1	156841379	156842013	NTRK1	4041	-0.20727255
chr1	156842029	156842236	NTRK1	2105	0.52915159
chr1	156842244	156842391	NTRK1	1065	1.1171406
chr1	156842394	156842467	NTRK1	494	1.3123108
chr1	156842989	156844812	NTRK1	11249	0.33016286
chr1	156844829	156845480	NTRK1	3919	0.13666231
chr1	156845634	156845781	NTRK1_fus	427	-0.44790712
chr1	156845839	156846015	NTRK1	624	-0.12135849
chr1	156846124	156846452	NTRK1	1077	-0.30738037
chr1	156848814	156849231	NTRK1	1900	-0.16944139
chr1	156849764	156849973	NTRK1	675	-0.27768773
chr1	156851224	156851469	NTRK1	354	-1.0648687
chr1	161203548	161203621	rs28738963	58	-2.5416885
chr1	161204478	161204625	rs2501873	705	-0.28299095
chr1	161284128	161284273	SDHC	669	0.82983955
chr1	161293348	161293426	SDHC	375	-0.062700674
chr1	161298153	161298305	SDHC	633	-0.52163171
chr1	161309338	161309432	SDHC	395	0.018871843
chr1	161310333	161310497	SDHC	1224	0.22155509
chr1	161326443	161326655	SDHC	2149	0.59977983
chr1	161332168	161332247	SDHC	384	0.0081460056
chr1	162681004	162681147	DDR2	908	0.27428015
chr1	162688799	162689049	DDR2	2057	0.2230726
chr1	162711354	162711535	DDR2	702	-0.65570039
chr1	162722859	162723012	DDR2	572	-0.62447505
chr1	162724389	162724665	DDR2	1726	0.17164391
chr1	162724924	162725131	DDR2	2084	0.59230031
chr1	162725419	162725599	DDR2	1362	0.25087136
chr1	162729564	162729804	DDR2	1653	0.23469479
chr1	162730979	162731264	DDR2	2692	0.58884762
chr1	162735739	162735884	DDR2	922	0.076268546
chr1	162736994	162737184	DDR2	1383	0.21040008
chr1	162740069	162740312	DDR2	1730	0.24417925
chr1	162741779	162742071	DDR2	1502	-0.20102409
chr1	162743224	162743417	DDR2	964	-0.41607793
chr1	162745419	162745656	DDR2	1984	0.3092415
chr1	162745904	162746192	DDR2	2178	0.043113305
chr1	162748334	162748548	DDR2	1928	0.42487009
chr1	162749879	162750051	DDR2	1377	0.28752117
chr1	171252329	171252394	FMO1	92	-1.2867649
chr1	174926874	174926948	RABGAP1L	232	-0.49159796
chr1	193091303	193091486	CDC73	942	0.23719228
chr1	193094218	193094362	CDC73	1321	0.56598423
chr1	193099263	193099402	CDC73	904	0.3815131
chr1	193104478	193104746	CDC73	1781	0.07174209
chr1	193107183	193107319	CDC73	1246	0.41982414
chr1	193110958	193111230	CDC73	1779	-0.14421529
chr1	193116963	193117110	CDC73	886	0.030679367
chr1	193119398	193119533	CDC73	829	-0.071300617
chr1	193121468	193121602	CDC73	965	0.26525874
chr1	193172878	193173010	CDC73	1363	0.6853836
chr1	193181183	193181283	CDC73	518	0.036737405
chr1	193181488	193181620	CDC73	1101	0.56557962
chr1	193202093	193202301	CDC73	1255	-0.23804218
chr1	193205363	193205499	CDC73	871	-0.025091939
chr1	193218838	193219009	CDC73	1281	0.082347779
chr1	193219753	193219891	CDC73	1022	0.9215303
chr1	204494382	204494536	MDM4	858	-0.13813036
chr1	204494602	204494748	MDM4	812	-0.1370677
chr1	204495452	204495589	MDM4	628	-0.43074005
chr1	204499787	204499952	MDM4	875	-0.26216033
chr1	204501267	204501424	MDM4	854	-0.19867873
chr1	204506507	204506652	MDM4	790	-0.16115575
chr1	204507302	204507455	MDM4	589	-0.63862185
chr1	204511887	204512092	MDM4	1555	0.1078401
chr1	204513637	204513846	MDM4	1812	0.28939018
chr1	204515892	204516028	MDM4	516	-0.82205254
chr1	204518217	204518835	MDM4	4379	-0.2929521
chr1	206646531	206646677	IKBKE	296	-0.9039959
chr1	206647651	206647824	IKBKE	563	-0.5504641
chr1	206648186	206648362	IKBKE	1090	0.71032606
chr1	206649496	206649744	IKBKE	956	-0.16608592
chr1	206649996	206650203	IKBKE	1050	0.15959278
chr1	206651061	206651243	IKBKE	481	-0.20903804
chr1	206651541	206651720	IKBKE	831	0.059363958
chr1	206652251	206652506	IKBKE	888	-0.23918593
chr1	206653161	206653302	IKBKE	738	0.4809609
chr1	206653326	206653477	IKBKE	536	0.18207232
chr1	206653761	206653901	IKBKE	517	-0.085237093
chr1	206658291	206658448	IKBKE	540	-0.33189529
chr1	206658506	206658674	IKBKE	768	0.0066012762
chr1	206661206	206661352	IKBKE	345	-1.079629
chr1	206664086	206664233	IKBKE	600	-0.18961543
chr1	206664951	206665093	IKBKE	657	-0.24722134
chr1	206666326	206666475	IKBKE	537	-0.28441006
chr1	206666566	206666742	IKBKE	605	-0.47320359
chr1	206667216	206667360	IKBKE	432	-0.3941752
chr1	206669381	206669533	IKBKE	615	-0.32744564
chr1	209974444	209974522	IRF6	238	-0.8004089
chr1	209974544	209974609	IRF6	259	0.03383121
chr1	226252036	226252111	H3F3A	186	-0.56922935
chr1	226253321	226253387	H3F3A	368	0.33106226
chr1	226253471	226253550	H3F3A	281	-0.49788503
chr1	226259126	226259204	H3F3A	88	-2.2480917
chr1	226549116	226549277	PARP1	443	-1.1730148
chr1	226549646	226549820	PARP1	573	-0.97361573
chr1	226550751	226550900	PARP1	781	0.0015252762
chr1	226551616	226551789	PARP1	955	-0.12982209
chr1	226552681	226552884	PARP1	1101	0.06972781
chr1	226553631	226553772	PARP1	881	-0.027749961
chr1	226555146	226555331	PARP1	1042	0.04008234
chr1	226555876	226556054	PARP1	861	-0.039620125
chr1	226558101	226558249	PARP1	540	-0.19109498
chr1	226561896	226562080	PARP1	1289	0.17793215
chr1	226564786	226565024	PARP1	2264	0.53452223
chr1	226566821	226567001	PARP1	1313	0.48044231
chr1	226567236	226567366	PARP1	739	-0.067367567
chr1	226567596	226567874	PARP1	2262	0.59957022
chr1	226568741	226568923	PARP1	1298	0.36542886
chr1	226570701	226570911	PARP1	1449	0.14325032
chr1	226573181	226573428	PARP1	1251	-0.064587236
chr1	226573991	226574174	PARP1	1092	0.13755434
chr1	226576321	226576393	PARP1	660	0.98357261
chr1	226576396	226576471	PARP1	732	0.99959365
chr1	226578086	226578359	PARP1	1330	-0.038425379
chr1	226579866	226580055	PARP1	1190	0.021663045
chr1	226589891	226590094	PARP1	1199	0.14867448
chr1	226595486	226595662	PARP1	562	-0.135581
chr1	232564020	232564098	SIPA1L2	463	0.11858118
chr1	232564110	232564176	SIPA1L2	461	0.63631476
chr1	237048423	237048562	rs1805087	682	-0.20281741
chr1	237675063	237675131	RYR2	280	-0.0841177
chr1	237675148	237675219	RYR2	341	0.98200886
chr1	241661104	241661311	FH	1902	0.3466892
chr1	241663714	241663892	FH	1331	0.15061473
chr1	241665719	241665902	FH	1056	-0.11598345
chr1	241667319	241667560	FH	1199	-0.43954618
chr1	241669274	241669482	FH	1251	-0.22499989
chr1	241671879	241672121	FH	1244	-0.44305549
chr1	241675244	241675453	FH	1793	0.24611303
chr1	241676879	241677043	FH	1349	0.40802966
chr1	241680459	241680626	FH	1055	-0.021377696
chr1	241682869	241683050	FH	437	-0.17260736
chr1	243668520	243668662	AKT3	882	0.0080674699
chr1	243675600	243675739	AKT3	997	0.67965969
chr1	243708781	243708919	AKT3	830	0.0392422
chr1	243716006	243716279	AKT3	2669	0.46832635
chr1	243726986	243727172	AKT3	1381	0.15782614
chr1	243736221	243736357	AKT3	457	-0.94375643
chr1	243776936	243777033	AKT3	878	0.61187612
chr1	243778356	243778487	AKT3	1180	0.64928019
chr1	243800891	243801056	AKT3	1201	0.77592804
chr1	243809161	243809377	AKT3	2502	0.7693662
chr1	243828051	243828186	AKT3	1355	0.66477519
chr1	243846426	243846579	AKT3	838	-0.17215777
chr1	243858871	243859041	AKT3	1490	0.38010603
chr1	244006401	244006614	AKT3	2182	0.57592426
chr1	244006786	244006932	AKT3	641	-0.39014832
chr1	244013276	244013406	AKT3	31	-3.4571893
chr1	244595882	244595950	ADSS	111	-0.72222635
chr2	8822813	8822888	ID2	242	-0.57723607
chr2	8822908	8822971	ID2	318	0.62075157
chr2	16082155	16083000	MYCN	1815	-0.72022643
chr2	16085580	16086258	MYCN	3121	-0.51873803
chr2	25457113	25457325	DNMT3A	924	-0.18012077
chr2	25458553	25458728	DNMT3A	902	-0.34116386
chr2	25459768	25459917	DNMT3A	243	-1.4601155
chr2	25461968	25462119	DNMT3A	642	-0.11007386
chr2	25463148	25463354	DNMT3A	820	-0.32095508
chr2	25463483	25463624	DNMT3A	685	0.15369229
chr2	25464398	25464619	DNMT3A	845	-0.19033315
chr2	25466738	25466885	DNMT3A	627	0.045485279
chr2	25466993	25467245	DNMT3A	1085	0.051721005
chr2	25467373	25467552	DNMT3A	783	-0.066043947
chr2	25468083	25468236	DNMT3A	422	-0.6187646
chr2	25468833	25468982	DNMT3A	955	0.94209913
chr2	25469003	25469213	DNMT3A	1611	0.50200675
chr2	25469458	25469669	DNMT3A	698	-0.16643128
chr2	25469898	25470036	DNMT3A	808	0.39938976
chr2	25470433	25470651	DNMT3A	765	-0.30721179
chr2	25470873	25471124	DNMT3A	1256	0.25591969
chr2	25472488	25472634	DNMT3A	1100	0.53042971
chr2	25475038	25475198	DNMT3A	112	-1.9554153
chr2	25497788	25497990	DNMT3A	661	0.076065551
chr2	25498318	25498449	DNMT3A	457	-0.61198651
chr2	25504298	25505616	DNMT3A	6052	-0.62132286
chr2	25522978	25523123	DNMT3A	804	1.1022537
chr2	25536753	25537069	DNMT3A	1355	0.11842228
chr2	25537078	25537390	DNMT3A	1594	0.34208048
chr2	25537458	25537598	DNMT3A	461	-0.46288433
chr2	25564648	25564755	DNMT3A	22	-3.7311356
chr2	29416068	29416797	ALK	6337	0.46513372
chr2	29419608	29419751	ALK	711	-0.33981973
chr2	29420323	29420579	ALK	1359	-0.44330867
chr2	29430003	29430192	ALK	868	-0.36177058
chr2	29430833	29430978	ALK_fus	542	-0.72990908
chr2	29432553	29432804	ALK	1328	-0.19061896
chr2	29436763	29437077	ALK	1278	-0.40045895
chr2	29443473	29443784	ALK	2162	0.26787683
chr2	29443853	29444104	ALK_fus	1719	0.26874586
chr2	29444203	29444367	ALK_fus	623	-0.68327664
chr2	29445103	29445289	ALK	789	-0.32758537
chr2	29445298	29446798	ALK	7592	-0.38534513
chr2	29446813	29449057	ALK	12268	0.25042534
chr2	29449363	29452025	ALK	12895	0.45952978
chr2	29455143	29455385	ALK	1498	0.40422747
chr2	29456328	29456587	ALK	1606	-0.039221169
chr2	29462523	29462734	ALK	1075	0.17952429
chr2	29473943	29474171	ALK	1162	0.36057006
chr2	29497933	29498114	ALK	1917	0.81892755
chr2	29498243	29498385	ALK	567	-0.44148876
chr2	29519728	29519940	ALK	1300	0.24495408
chr2	29541148	29541288	ALK	470	-0.77780163
chr2	29541938	29542095	ALK_fus	560	-0.55624779
chr2	29543593	29543802	ALK	1244	-0.00077024579
chr2	29551188	29551379	ALK	772	-0.15316111
chr2	29606563	29606747	ALK	1007	0.037099954
chr2	29754748	29755008	ALK	1381	-0.069671659
chr2	29917693	29917960	ALK	1344	-0.031620168
chr2	29940408	29940600	ALK	961	-0.43109953
