Chr	start	end	gene	depth	R-181108-995555-BLD-101100_BC_E18111102-16-DNA_F1811112948-6_L181111-00002-A4_20181113-C11_panel12_P181114419-3_sample20181114-A3-A00168-log2_ND
chr1	11292465	11292600	MTOR	614	0.052107556
chr1	11293420	11293565	MTOR	504	-0.42544
chr1	11294165	11294360	MTOR	1027	-0.7081701
chr1	11297875	11298133	MTOR	2184	-0.15462663
chr1	11298430	11298713	MTOR	2399	-0.17814362
chr1	11300325	11300615	MTOR	2424	-0.28408393
chr1	11301575	11301777	MTOR	991	-0.79615209
chr1	11303140	11303395	MTOR	2171	-0.1089892
chr1	11307655	11307831	MTOR	1702	0.18631657
chr1	11307845	11308173	MTOR	3171	-0.11222005
chr1	11313870	11314046	MTOR	2346	0.55256445
chr1	11316025	11316416	MTOR	2567	-0.78585069
chr1	11316965	11317242	MTOR	2155	-0.24405636
chr1	11318520	11318695	MTOR	909	0.33618064
chr1	11319275	11319494	MTOR	3067	0.57196664
chr1	11854405	11854540	rs1801131	1436	0.27321988
chr1	11856295	11856442	rs1801133	1155	-0.11219481
chr1	13940287	13940366	PDPN	78	-2.0943722
chr1	16174529	16174663	SPEN	894	-0.33475812
chr1	16199279	16200902	SPEN	9165	0.28878773
chr1	16202674	16203200	SPEN	3867	-0.71444483
chr1	16235794	16236007	SPEN	1534	0.0050580209
chr1	16237569	16237827	SPEN	652	-0.32170366
chr1	16242599	16242803	SPEN	610	-0.25767044
chr1	16245399	16245574	SPEN	82	-1.177086
chr1	16245874	16246038	SPEN	1009	0.062521769
chr1	16247354	16247492	SPEN	935	0.65120804
chr1	16248734	16248872	SPEN	130	-1.0332523
chr1	16254564	16257510	SPEN	17514	0.41487745
chr1	16257524	16262465	SPEN	49267	1.3401463
chr1	16262474	16262799	SPEN	3245	0.0097922018
chr1	16263624	16264155	SPEN	7539	0.19713079
chr1	16264274	16264534	SPEN	2114	-0.18734159
chr1	16265189	16265405	SPEN	1901	-0.10009482
chr1	16265764	16265956	SPEN	2148	0.35815865
chr1	17345333	17345454	SDHB	156	-1.3330098
chr1	17349078	17349268	SDHB	1496	-0.15731848
chr1	17350433	17350584	SDHB	652	-0.93475487
chr1	17354218	17354360	SDHB	735	0.5092121
chr1	17355073	17355252	SDHB	1389	0.26923084
chr1	17359523	17359658	SDHB	623	0.51049885
chr1	17371233	17371400	SDHB	1124	-0.0666541
chr1	17380403	17380537	SDHB	680	-0.67680824
chr1	20915618	20915762	rs2072671	1077	-0.19093394
chr1	20931403	20931539	rs60369023	923	-0.3830511
chr1	21307663	21307735	EIF4G3	237	-1.5073774
chr1	21307753	21307820	EIF4G3	90	1.1836937
chr1	23885407	23885541	ID3	1476	0.35582833
chr1	23885582	23885943	ID3	3689	-0.026048996
chr1	26227526	26227597	STMN1	502	0.23367105
chr1	26227621	26227690	STMN1	469	-0.42785625
chr1	27022861	27022937	ARID1A	271	-1.0441554
chr1	27022946	27024052	ARID1A	4552	-1.3604806
chr1	27056106	27056397	ARID1A	2540	-0.22805648
chr1	27057621	27058114	ARID1A	6735	0.17876403
chr1	27059131	27059315	ARID1A	1143	-0.3390521
chr1	27087321	27087604	ARID1A	2797	0.030285959
chr1	27087841	27087988	ARID1A	738	-0.78535149
chr1	27088611	27088831	ARID1A	1653	-0.3172974
chr1	27089431	27089786	ARID1A	2533	-0.60268983
chr1	27092686	27092893	ARID1A	1824	0.074451651
chr1	27092926	27093095	ARID1A	1680	0.7949959
chr1	27094256	27094498	ARID1A	2263	0.17595097
chr1	27097581	27097828	ARID1A	1638	-0.39116909
chr1	27098956	27099140	ARID1A	2351	0.5592157
chr1	27099276	27099503	ARID1A	1788	0.017228156
chr1	27099801	27100019	ARID1A	2601	0.35241583
chr1	27100036	27100196	ARID1A	2426	0.82716045
chr1	27100256	27100416	ARID1A	1553	0.20764419
chr1	27100796	27101744	ARID1A	6751	-0.82413296
chr1	27102041	27102228	ARID1A	1330	-0.25224825
chr1	27105491	27105662	ARID1A	1637	0.2839072
chr1	27105721	27107260	ARID1A	16057	-0.17629279
chr1	29016631	29016704	GMEB1	442	-0.051136262
chr1	29016731	29016802	GMEB1	554	2.3701582
chr1	36931672	36932548	CSF3R	8632	-0.3762273
chr1	36932797	36932945	CSF3R	627	-1.0137671
chr1	36933132	36933279	CSF3R	832	-0.5841412
chr1	36933397	36933602	CSF3R	1691	-0.080699315
chr1	36933652	36933860	CSF3R	1339	-0.53408082
chr1	36934722	36934872	CSF3R	675	-0.76395885
chr1	36935227	36935479	CSF3R	1988	-0.23944258
chr1	36937012	36937290	CSF3R	2200	-0.22272763
chr1	36937622	36937775	CSF3R	1282	0.021853302
chr1	36937817	36938024	CSF3R	1322	-0.48499772
chr1	36938092	36938300	CSF3R	776	-1.2614195
chr1	36939012	36939262	CSF3R	2144	-0.10557412
chr1	36939342	36939515	CSF3R	1460	-0.11270187
chr1	36940942	36941304	CSF3R	3233	-0.27873593
chr1	36943182	36943330	CSF3R	1327	0.33613528
chr1	36944982	36945139	CSF3R	975	-0.45273983
chr1	38304385	38304456	MTF1	293	0
chr1	40363009	40363757	MYCL	8345	-0.21149275
chr1	40364284	40364804	MYCL	4854	-0.31919261
chr1	40365259	40367605	MYCL	21806	0.21368815
chr1	43803474	43803631	MPL	1219	-0.10781478
chr1	43803744	43803920	MPL	1515	-0.074222862
chr1	43804179	43804428	MPL	2610	0.1686455
chr1	43804909	43805275	MPL	2653	-0.5910963
chr1	43805599	43805680	MPL	798	0.071194628
chr1	43805689	43805836	MPL	1317	0.067966342
chr1	43806034	43806221	MPL	1675	0.025698091
chr1	43812084	43812336	MPL	2298	0.008348997
chr1	43812429	43812647	MPL	1754	-0.23341637
chr1	43814479	43814698	MPL	1729	-0.0030248607
chr1	43814899	43815054	MPL	1550	0.30417035
chr1	43817889	43817988	MPL	881	0.15812241
chr1	43818154	43818482	MPL	3250	-0.075200639
chr1	45794955	45795119	MUTYH	1785	0.3946994
chr1	45796125	45796278	MUTYH	740	-0.80670394
chr1	45796825	45797037	MUTYH	2386	0.24392929
chr1	45797060	45797245	MUTYH	1677	0.12759895
chr1	45797300	45797560	MUTYH	2222	-0.088219585
chr1	45797655	45798020	MUTYH	3639	-0.10212217
chr1	45798030	45798185	MUTYH	1701	0.39643563
chr1	45798210	45798683	MUTYH	4521	-0.28305828
chr1	45798730	45798871	MUTYH	1533	0.33723454
chr1	45798905	45799041	MUTYH	2457	1.0336189
chr1	45799060	45799347	MUTYH	3442	0.26074475
chr1	45800030	45800224	MUTYH	1750	0.069395761
chr1	45805525	45805806	MUTYH	2019	-0.1996437
chr1	45805835	45805980	MUTYH	1415	0.3833558
chr1	46713995	46714148	RAD54L	1585	0.30127492
chr1	46714155	46714293	RAD54L	1193	-0.021188016
chr1	46715650	46715836	RAD54L	861	-0.82773106
chr1	46724305	46724440	RAD54L	759	1.0522562
chr1	46725600	46725794	RAD54L	1400	-0.2659218
chr1	46726175	46726319	RAD54L	1756	0.63341889
chr1	46726370	46726721	RAD54L	3508	-0.088915961
chr1	46726910	46727087	RAD54L	1831	0.31526873
chr1	46733105	46733321	RAD54L	1734	-0.13546415
chr1	46736305	46736490	RAD54L	1127	-0.39342775
chr1	46738090	46738248	RAD54L	1538	0.96488768
chr1	46738310	46738381	RAD54L	1046	1.1744519
chr1	46738405	46738480	RAD54L	848	0.77431926
chr1	46739010	46739160	RAD54L	1859	0.5941127
chr1	46739270	46739438	RAD54L	1908	0.40569396
chr1	46739775	46739909	RAD54L	1295	0.29644431
chr1	46740185	46740427	RAD54L	1955	-0.1669028
chr1	46743455	46743681	RAD54L	2647	0.33811519
chr1	46743710	46743975	RAD54L	2703	0.12738191
chr1	51436010	51436189	CDKN2C	1052	-0.5293448
chr1	51439535	51439952	CDKN2C	3362	-0.4722041
chr1	59247721	59248108	JUN	5705	0.39201415
chr1	59248131	59248305	JUN	1720	0.35948827
chr1	59248316	59248776	JUN	5381	0.086621282
chr1	65300217	65300349	JAK1	149	0.07281199
chr1	65301047	65301221	JAK1	1170	0.55530632
chr1	65301757	65301935	JAK1	500	-0.39019295
chr1	65303592	65303795	JAK1	1646	0.22524515
chr1	65304112	65304302	JAK1	828	1.8094244
chr1	65305252	65305515	JAK1	2548	0.21408882
chr1	65306902	65307035	JAK1	2170	1.3694089
chr1	65307107	65307318	JAK1	2305	0.3616342
chr1	65309722	65309940	JAK1	2551	0.32360838
chr1	65310412	65310587	JAK1	1502	-0.08815711
chr1	65311162	65311353	JAK1	1561	0.010975218
chr1	65312302	65312445	JAK1	2265	0.88699852
chr1	65313192	65313402	JAK1	2299	0.2363407
chr1	65316452	65316634	JAK1	1723	0.095530585
chr1	65321167	65321414	JAK1	2626	0.22121861
chr1	65323317	65323491	JAK1	1574	0.0025330189
chr1	65325757	65325973	JAK1	1788	-0.15522744
chr1	65330437	65330641	JAK1	1483	1.6390425
chr1	65332517	65332919	JAK1	2777	0.54564311
chr1	65334962	65335180	JAK1	1412	-0.4958854
chr1	65339017	65339243	JAK1	2124	0.2893964
chr1	65344682	65344849	JAK1	1325	0.051321319
chr1	65348937	65349191	JAK1	1902	-0.34340631
chr1	65351912	65352043	JAK1	259	0.71855508
chr1	66037892	66037969	LEPR	137	0.61885063
chr1	78034082	78034152	ZZZ3	21	-0.82046306
chr1	78034172	78034239	ZZZ3	15	-1.3383225
chr1	78413147	78413290	FUBP1	333	-1.2064768
chr1	78413557	78414303	FUBP1	567	-0.24913491
chr1	78414327	78414496	FUBP1	224	0.53484324
chr1	78414812	78415016	FUBP1	1266	-0.26155015
chr1	78420902	78421004	FUBP1	162	-0.22323512
chr1	78422222	78422407	FUBP1	1279	0.34467626
chr1	78425832	78425973	FUBP1	1096	0.24570585
chr1	78426007	78426208	FUBP1	1707	0
chr1	78428432	78428641	FUBP1	572	0.37555311
chr1	78429232	78429405	FUBP1	986	0.16439769
chr1	78429722	78429858	FUBP1	631	0.44078165
chr1	78429907	78430057	FUBP1	432	0.91523918
chr1	78430307	78430442	FUBP1	370	-0.37888587
chr1	78430532	78430671	FUBP1	983	1.2214785
chr1	78430727	78430927	FUBP1	1507	0.72177084
chr1	78432327	78432461	FUBP1	363	0.63542757
chr1	78432532	78432639	FUBP1	162	-1.5022729
chr1	78432687	78432824	FUBP1	68	-0.28450283
chr1	78433257	78433358	FUBP1	250	-0.34994813
chr1	78433797	78433930	FUBP1	119	0.518813
chr1	78434662	78434796	FUBP1	347	-0.083127515
chr1	78435572	78435681	FUBP1	69	-1.1483838
chr1	78444537	78444730	FUBP1	2652	0.67225367
chr1	97547862	97548016	rs67376798	449	-0.2312863
chr1	97915537	97915685	rs3918290	551	0.69503786
chr1	97981272	97981420	rs55886062	449	-0.60290393
chr1	98164957	98165163	rs2297595	1023	0.040691359
chr1	98348802	98348948	rs1801265	452	0.0021151615
chr1	100661907	100661985	DBT	137	-1.4873306
chr1	110230421	110230499	COSM5045664	0.001	-19.442173
chr1	110230501	110230572	COSM5045664	0.001	-19.062821
chr1	110231796	110231956	GSTM1	7	-7.5412906
chr1	110233046	110233151	COSM3676668	4	-7.6045208
chr1	115251123	115251297	NRAS	992	0.72558629
chr1	115252158	115252372	NRAS	2471	0.87241219
chr1	115256398	115256631	NRAS	1179	-0.40950581
chr1	115258638	115258818	NRAS	2102	0.47332347
chr1	118165467	118166690	FAM46C	13173	-0.28268003
chr1	120457895	120459347	NOTCH2	13825	-0.35182626
chr1	120460260	120460407	NOTCH2	1388	0.36758343
chr1	120460995	120461219	NOTCH2	1702	-0.26158864
chr1	120461900	120462260	NOTCH2	2273	-0.79721224
chr1	120462830	120463049	NOTCH2	1853	-0.15338107
chr1	120464305	120464447	NOTCH2	1568	0.87577261
chr1	120464825	120465084	NOTCH2	2016	-0.23349558
chr1	120465235	120465440	NOTCH2	2216	0.26460141
chr1	120466225	120466616	NOTCH2	4278	-0.050947876
chr1	120467895	120468459	NOTCH2	4720	-0.59491607
chr1	120469095	120469246	NOTCH2	716	-0.80519916
chr1	120471575	120471850	NOTCH2	2603	0.040961982
chr1	120477725	120477796	NOTCH2	157	1.7278529
chr1	120477805	120478262	NOTCH2	1732	-0.25136677
chr1	120479870	120480128	NOTCH2	1749	-0.48228069
chr1	120480445	120480672	NOTCH2	1758	-0.16692651
chr1	120483155	120483412	NOTCH2	1600	-0.52520532
chr1	120484115	120484301	NOTCH2	1259	-0.2612077
chr1	120484320	120484396	NOTCH2	556	0.23908248
chr1	120491010	120491227	NOTCH2	1677	-0.26018911
chr1	120491595	120491778	NOTCH2	1269	0.12483897
chr1	120493325	120493493	NOTCH2	964	-0.18823939
chr1	120496130	120496346	NOTCH2	1347	0.43608847
chr1	120497630	120497896	NOTCH2	1726	-0.50715028
chr1	120501990	120502160	NOTCH2	849	0.11473105
chr1	120506170	120506460	NOTCH2	2214	-0.36085954
chr1	120508045	120508221	NOTCH2	995	-0.37288792
chr1	120508970	120509148	NOTCH2	1525	0.37653612
chr1	120510025	120510287	NOTCH2	1725	-0.41583541
chr1	120510675	120510890	NOTCH2	1592	-0.27972839
chr1	120512105	120512396	NOTCH2	2792	-0.083343265
chr1	120529560	120529729	NOTCH2	1204	-0.093413855
chr1	120539590	120539975	NOTCH2	2978	-0.52569911
chr1	120547930	120548245	NOTCH2	4413	0.43725629
chr1	120572490	120572596	NOTCH2	930	2.0155815
chr1	120594075	120594782	NOTCH2	6765	1.280628
chr1	120611915	120612044	NOTCH2	1579	0.84199237
chr1	120612050	120612329	NOTCH2	5349	1.2790815
chr1	150549810	150549982	MCL1	1376	0.43500243
chr1	150550695	150551005	MCL1	3587	0.59189833
chr1	150551285	150552026	MCL1	10687	0.37526909
chr1	155404310	155404377	ASH1L	88	-0.56681515
chr1	156785554	156785697	NTRK1	1790	0.52961947
chr1	156811839	156812032	NTRK1	1938	0.20494552
chr1	156830599	156830960	NTRK1	1612	-1.0411697
chr1	156834109	156834247	NTRK1	620	-0.93484793
chr1	156834434	156834620	NTRK1	1797	0.18929395
chr1	156836664	156836808	NTRK1	1302	0.051265268
chr1	156837864	156838482	NTRK1	3974	-0.86142604
chr1	156841379	156842013	NTRK1	6068	-0.36166376
chr1	156842029	156842236	NTRK1	1134	1.1513093
chr1	156842244	156842391	NTRK1	265	1.7813194
chr1	156842394	156842467	NTRK1	245	2.4195481
chr1	156842989	156844812	NTRK1	21577	0.21954584
chr1	156844829	156845480	NTRK1	8726	0.14307701
chr1	156845634	156845781	NTRK1_fus	1055	-0.28148074
chr1	156845839	156846015	NTRK1	1404	-0.15661972
chr1	156846124	156846452	NTRK1	2712	-0.2732918
chr1	156848814	156849231	NTRK1	4170	-0.16513282
chr1	156849764	156849973	NTRK1	1808	-0.070612394
chr1	156851224	156851469	NTRK1	909	-1.0666874
chr1	161203548	161203621	rs28738963	154	-1.1105944
chr1	161204478	161204625	rs2501873	1012	0.076220391
chr1	161284128	161284273	SDHC	1398	0.38652335
chr1	161293348	161293426	SDHC	332	1.6201519
chr1	161298153	161298305	SDHC	554	-0.36132361
chr1	161309338	161309432	SDHC	427	2.5144123
chr1	161310333	161310497	SDHC	1418	1.4478608
chr1	161326443	161326655	SDHC	2866	0.68080088
chr1	161332168	161332247	SDHC	569	-0.33563411
chr1	162681004	162681147	DDR2	233	0.58237774
chr1	162688799	162689049	DDR2	1452	-0.13849245
chr1	162711354	162711535	DDR2	804	-0.7316924
chr1	162722859	162723012	DDR2	659	-0.80756472
chr1	162724389	162724665	DDR2	2625	0.047631399
chr1	162724924	162725131	DDR2	2763	0.69942677
chr1	162725419	162725599	DDR2	1183	-0.047798144
chr1	162729564	162729804	DDR2	1985	-0.15706993
chr1	162730979	162731264	DDR2	3374	0.33515559
chr1	162735739	162735884	DDR2	816	-0.1744332
chr1	162736994	162737184	DDR2	1549	0.038840148
chr1	162740069	162740312	DDR2	2182	-0.013497807
chr1	162741779	162742071	DDR2	2031	-0.5598339
chr1	162743224	162743417	DDR2	940	-0.16606668
chr1	162745419	162745656	DDR2	1893	0.25460799
chr1	162745904	162746192	DDR2	2314	0.070660316
chr1	162748334	162748548	DDR2	2192	0.69956498
chr1	162749879	162750051	DDR2	1635	0.28308809
chr1	171252329	171252394	FMO1	47	-0.46777896
chr1	174926874	174926948	RABGAP1L	273	1.3057287
chr1	193091303	193091486	CDC73	1523	-0.085204006
chr1	193094218	193094362	CDC73	650	0.55891189
chr1	193099263	193099402	CDC73	55	-1.19034
chr1	193104478	193104746	CDC73	362	-0.056427491
chr1	193107183	193107319	CDC73	541	0.042644059
chr1	193110958	193111230	CDC73	662	0.090340295
chr1	193116963	193117110	CDC73	302	-0.53777329
chr1	193119398	193119533	CDC73	835	1.8040473
chr1	193121468	193121602	CDC73	128	-0.60774642
chr1	193172878	193173010	CDC73	440	0.075520989
chr1	193181183	193181283	CDC73	82	-0.50836681
chr1	193181488	193181620	CDC73	132	-0.27605654
chr1	193202093	193202301	CDC73	678	0.16254016
chr1	193205363	193205499	CDC73	1155	0.19353756
chr1	193218838	193219009	CDC73	285	-1.1556509
chr1	193219753	193219891	CDC73	67	-0.28364366
chr1	204494382	204494536	MDM4	630	0.36486691
chr1	204494602	204494748	MDM4	601	0.49965519
chr1	204495452	204495589	MDM4	1081	2.4380387
chr1	204499787	204499952	MDM4	816	0.14256505
chr1	204501267	204501424	MDM4	313	-0.12633961
chr1	204506507	204506652	MDM4	951	0.23687364
chr1	204507302	204507455	MDM4	417	-0.85441371
chr1	204511887	204512092	MDM4	732	0.34751291
chr1	204513637	204513846	MDM4	701	0.67039586
chr1	204515892	204516028	MDM4	349	-0.26436579
chr1	204518217	204518835	MDM4	4004	0.080291474
chr1	206646531	206646677	IKBKE	630	-0.99425602
chr1	206647651	206647824	IKBKE	1374	-0.18292614
chr1	206648186	206648362	IKBKE	2242	0.52042654
chr1	206649496	206649744	IKBKE	2018	-0.17930833
chr1	206649996	206650203	IKBKE	2258	0.24286059
chr1	206651061	206651243	IKBKE	1064	-0.42753901
chr1	206651541	206651720	IKBKE	1677	0.055046354
chr1	206652251	206652506	IKBKE	2437	0.04830955
chr1	206653161	206653302	IKBKE	1575	0.41348601
chr1	206653326	206653477	IKBKE	1398	0.19902847
chr1	206653761	206653901	IKBKE	917	-0.38518586
chr1	206658291	206658448	IKBKE	1222	-0.14628931
chr1	206658506	206658674	IKBKE	1781	0.2999578
chr1	206661206	206661352	IKBKE	752	-0.74584695
chr1	206664086	206664233	IKBKE	1283	0.027131096
chr1	206664951	206665093	IKBKE	1347	0.1695207
chr1	206666326	206666475	IKBKE	1381	0.15709911
chr1	206666566	206666742	IKBKE	1140	-0.48539161
chr1	206667216	206667360	IKBKE	917	-0.4171255
chr1	206669381	206669533	IKBKE	1212	-0.063723386
chr1	209974444	209974522	IRF6	517	-0.0089309229
chr1	209974544	209974609	IRF6	477	2.495465
chr1	226252036	226252111	H3F3A	192	-1.7624612
chr1	226253321	226253387	H3F3A	363	1.2773502
chr1	226253471	226253550	H3F3A	289	-1.3030154
chr1	226259126	226259204	H3F3A	106	-2.2972302
chr1	226549116	226549277	PARP1	659	-0.56678423
chr1	226549646	226549820	PARP1	972	-0.15722944
chr1	226550751	226550900	PARP1	1271	0.16029695
chr1	226551616	226551789	PARP1	1326	-0.10047901
chr1	226552681	226552884	PARP1	1943	0.1572084
chr1	226553631	226553772	PARP1	1349	0.84373071
chr1	226555146	226555331	PARP1	1604	0.028850458
chr1	226555876	226556054	PARP1	1239	-0.37552468
chr1	226558101	226558249	PARP1	1428	0.16683604
chr1	226561896	226562080	PARP1	1773	0.68017046
chr1	226564786	226565024	PARP1	2839	0.52851171
chr1	226566821	226567001	PARP1	2155	0.43393628
chr1	226567236	226567366	PARP1	1131	0.64746069
chr1	226567596	226567874	PARP1	3112	0.27314463
chr1	226568741	226568923	PARP1	1803	0.2248647
chr1	226570701	226570911	PARP1	1527	-0.27419817
chr1	226573181	226573428	PARP1	2202	-0.040420732
chr1	226573991	226574174	PARP1	1851	0.20972008
chr1	226576321	226576393	PARP1	777	1.1526785
chr1	226576396	226576471	PARP1	872	1.2613687
chr1	226578086	226578359	PARP1	2425	-0.063058506
chr1	226579866	226580055	PARP1	1601	0.065597865
chr1	226589891	226590094	PARP1	1877	0.082633918
chr1	226595486	226595662	PARP1	1346	-0.1885218
chr1	232564020	232564098	SIPA1L2	685	0.23388236
chr1	232564110	232564176	SIPA1L2	598	0.77528464
chr1	237048423	237048562	rs1805087	134	-0.22819712
chr1	237675063	237675131	RYR2	374	0.82725673
chr1	237675148	237675219	RYR2	198	2.3278274
chr1	241661104	241661311	FH	734	0.23541512
chr1	241663714	241663892	FH	620	-0.4076735
chr1	241665719	241665902	FH	866	-0.14844884
chr1	241667319	241667560	FH	1200	-0.36060856
chr1	241669274	241669482	FH	537	-0.3383281
chr1	241671879	241672121	FH	686	0.07649155
chr1	241675244	241675453	FH	624	-0.31046156
chr1	241676879	241677043	FH	548	0.18734991
chr1	241680459	241680626	FH	580	-0.39592238
chr1	241682869	241683050	FH	807	-0.75202283
chr1	243668520	243668662	AKT3	930	0.058681869
chr1	243675600	243675739	AKT3	60	-0.78238296
chr1	243708781	243708919	AKT3	69	-1.4189955
chr1	243716006	243716279	AKT3	976	0.48876338
chr1	243726986	243727172	AKT3	463	-0.72590236
chr1	243736221	243736357	AKT3	399	-1.2934457
chr1	243776936	243777033	AKT3	103	-1.6687952
chr1	243778356	243778487	AKT3	84	-1.1522187
chr1	243800891	243801056	AKT3	155	0.50972026
chr1	243809161	243809377	AKT3	713	0.31372217
chr1	243828051	243828186	AKT3	180	-0.36704732
chr1	243846426	243846579	AKT3	359	-0.13881021
chr1	243858871	243859041	AKT3	180	-0.90807693
chr1	244006401	244006614	AKT3	1735	0.1826952
chr1	244006786	244006932	AKT3	341	0.42507579
chr1	244013276	244013406	AKT3	48	-4.2497125
chr1	244595882	244595950	ADSS	48	0.040173653
chr2	8822813	8822888	ID2	330	0.88698737
chr2	8822908	8822971	ID2	384	2.7406134
chr2	16082155	16083000	MYCN	5305	-0.79117328
chr2	16085580	16086258	MYCN	5897	-0.49427486
chr2	25457113	25457325	DNMT3A	1650	-0.27349837
chr2	25458553	25458728	DNMT3A	1717	0.56766939
chr2	25459768	25459917	DNMT3A	496	-1.3101054
chr2	25461968	25462119	DNMT3A	1373	0.10256644
chr2	25463148	25463354	DNMT3A	1721	-0.10039318
chr2	25463483	25463624	DNMT3A	1376	0.17203568
chr2	25464398	25464619	DNMT3A	1887	-0.11634608
chr2	25466738	25466885	DNMT3A	1431	0.17867985
chr2	25466993	25467245	DNMT3A	2868	0.31160926
chr2	25467373	25467552	DNMT3A	2031	0.32716352
chr2	25468083	25468236	DNMT3A	759	-0.77584619
chr2	25468833	25468982	DNMT3A	1942	0.70050018
chr2	25469003	25469213	DNMT3A	3462	0.8344969
chr2	25469458	25469669	DNMT3A	1747	-0.12625369
chr2	25469898	25470036	DNMT3A	1710	0.49741786
chr2	25470433	25470651	DNMT3A	1940	-0.053606563
chr2	25470873	25471124	DNMT3A	2633	0.19634144
chr2	25472488	25472634	DNMT3A	1802	0.56564169
chr2	25475038	25475198	DNMT3A	495	-1.2042822
chr2	25497788	25497990	DNMT3A	1542	0.048026829
chr2	25498318	25498449	DNMT3A	1313	0.31531886
chr2	25504298	25505616	DNMT3A	10166	-0.71123476
chr2	25522978	25523123	DNMT3A	1637	0.59022505
chr2	25536753	25537069	DNMT3A	3292	0.087493168
chr2	25537078	25537390	DNMT3A	3968	0.39017558
chr2	25537458	25537598	DNMT3A	1307	0.09679661
chr2	25564648	25564755	DNMT3A	169	-2.2426075
chr2	29416068	29416797	ALK	9282	0.016306689
chr2	29419608	29419751	ALK	759	0.24575385
chr2	29420323	29420579	ALK	1617	-0.27528771
chr2	29430003	29430192	ALK	1322	-0.25022696
chr2	29430833	29430978	ALK_fus	433	-0.042322149
chr2	29432553	29432804	ALK	1739	-0.41795033
chr2	29436763	29437077	ALK	2008	-0.683065
chr2	29443473	29443784	ALK	3479	0.15762463
chr2	29443853	29444104	ALK_fus	2965	0.33658545
chr2	29444203	29444367	ALK_fus	835	-0.42971238
chr2	29445103	29445289	ALK	1660	0.030340029
chr2	29445298	29446798	ALK	12263	-0.55539624
chr2	29446813	29449057	ALK	21176	0.183379
chr2	29449363	29452025	ALK	25247	0.41717424
chr2	29455143	29455385	ALK	3187	0.51809543
chr2	29456328	29456587	ALK	2502	0.13856327
chr2	29462523	29462734	ALK	2021	0.019080588
chr2	29473943	29474171	ALK	2168	0.054404287
chr2	29497933	29498114	ALK	3050	1.1036974
chr2	29498243	29498385	ALK	1155	-0.072034258
chr2	29519728	29519940	ALK	2267	0.18000834
chr2	29541148	29541288	ALK	731	-0.6826352
