Chr	start	end	gene	depth	R-181105-501025-BLD-485154_BC_E18110806-2-DNA_F1811082897-14_L181108-00003-A3_20181110-C8_panel12_P181110411-2_sample20181110-nextseq-TPNB500304-log2_ND
chr1	11259290	11259503	MTOR	1631	-0.25115454
chr1	11259575	11259789	MTOR	2000	0.1243582
chr1	11264585	11264802	MTOR	1528	-0.30444164
chr1	11269345	11269553	MTOR	2407	0.44407891
chr1	11270845	11270977	MTOR	556	0.092409726
chr1	11272335	11272558	MTOR	1889	-0.1771429
chr1	11272820	11273006	MTOR	942	-0.73462115
chr1	11273420	11273653	MTOR	1194	-0.77121686
chr1	11276170	11276312	MTOR	912	0.065425202
chr1	11288695	11289019	MTOR	2932	-0.14983838
chr1	11290950	11291125	MTOR	1726	0.12323445
chr1	11291325	11291521	MTOR	1580	-0.085103368
chr1	11292465	11292600	MTOR	650	-0.030060849
chr1	11293420	11293565	MTOR	651	-0.20374034
chr1	11294165	11294360	MTOR	1105	-0.62307032
chr1	11297875	11298133	MTOR	2025	-0.21186989
chr1	11298430	11298713	MTOR	2236	-0.27981982
chr1	11300325	11300615	MTOR	2406	-0.22650207
chr1	11301575	11301777	MTOR	1018	-0.74237113
chr1	11303140	11303395	MTOR	2270	-0.093317639
chr1	11307655	11307831	MTOR	1805	0.23858408
chr1	11307845	11308173	MTOR	3194	-0.11262949
chr1	11313870	11314046	MTOR	2027	0.33185742
chr1	11316025	11316416	MTOR	2523	-0.78867765
chr1	11316965	11317242	MTOR	2077	-0.28247978
chr1	11318520	11318695	MTOR	947	0.25643926
chr1	11319275	11319494	MTOR	2659	0.45437258
chr1	11854405	11854540	rs1801131	1352	0.20680388
chr1	11856295	11856442	rs1801133	998	-0.26659713
chr1	13940287	13940366	PDPN	71	-2.2008816
chr1	16174529	16174663	SPEN	770	-0.35310316
chr1	16199279	16200902	SPEN	9913	0.1211617
chr1	16202674	16203200	SPEN	3961	-0.66192034
chr1	16235794	16236007	SPEN	1912	0.16544648
chr1	16237569	16237827	SPEN	830	-0.26383982
chr1	16242599	16242803	SPEN	716	-0.29400648
chr1	16245399	16245574	SPEN	94	-1.1549084
chr1	16245874	16246038	SPEN	1156	0.076721422
chr1	16247354	16247492	SPEN	917	0.4822399
chr1	16248734	16248872	SPEN	180	-0.75907682
chr1	16254564	16257510	SPEN	19933	0.47581529
chr1	16257524	16262465	SPEN	45144	1.3004847
chr1	16262474	16262799	SPEN	2317	-0.31297224
chr1	16263624	16264155	SPEN	7047	0.22065099
chr1	16264274	16264534	SPEN	1871	-0.29370203
chr1	16265189	16265405	SPEN	1644	-0.21655518
chr1	16265764	16265956	SPEN	2056	0.34754272
chr1	17345333	17345454	SDHB	233	-0.95404508
chr1	17349078	17349268	SDHB	1452	-0.14488662
chr1	17350433	17350584	SDHB	716	-0.78954258
chr1	17354218	17354360	SDHB	667	0.17344646
chr1	17355073	17355252	SDHB	1505	0.20403106
chr1	17359523	17359658	SDHB	712	0.49031147
chr1	17371233	17371400	SDHB	1229	-0.059167134
chr1	17380403	17380537	SDHB	602	-0.66012907
chr1	20915618	20915762	rs2072671	1026	-0.059359178
chr1	20931403	20931539	rs60369023	1015	-0.17938537
chr1	21307663	21307735	EIF4G3	237	-1.1983228
chr1	21307753	21307820	EIF4G3	121	1.9159575
chr1	23885407	23885541	ID3	1389	0.29203096
chr1	23885582	23885943	ID3	3057	-0.09897041
chr1	26227526	26227597	STMN1	377	-0.04648087
chr1	26227621	26227690	STMN1	338	-0.60552287
chr1	27022861	27022937	ARID1A	191	-1.1781907
chr1	27022946	27024052	ARID1A	4014	-1.2938214
chr1	27056106	27056397	ARID1A	2333	-0.31910873
chr1	27057621	27058114	ARID1A	4974	-0.13227462
chr1	27059131	27059315	ARID1A	1370	-0.18181061
chr1	27087321	27087604	ARID1A	2728	0.0085904493
chr1	27087841	27087988	ARID1A	708	-0.76425905
chr1	27088611	27088831	ARID1A	1291	-0.62733532
chr1	27089431	27089786	ARID1A	2525	-0.47458511
chr1	27092686	27092893	ARID1A	2312	0.3301176
chr1	27092926	27093095	ARID1A	1908	0.85138075
chr1	27094256	27094498	ARID1A	2447	0.21170015
chr1	27097581	27097828	ARID1A	1680	-0.43687438
chr1	27098956	27099140	ARID1A	2160	0.48718457
chr1	27099276	27099503	ARID1A	1946	0.012995725
chr1	27099801	27100019	ARID1A	2327	0.29717123
chr1	27100036	27100196	ARID1A	2075	0.70590139
chr1	27100256	27100416	ARID1A	1403	0.086338584
chr1	27100796	27101744	ARID1A	6565	-0.72559719
chr1	27102041	27102228	ARID1A	1426	-0.15731278
chr1	27105491	27105662	ARID1A	1829	0.33723087
chr1	27105721	27107260	ARID1A	15263	-0.21236183
chr1	29016631	29016704	GMEB1	199	-1.0583418
chr1	29016731	29016802	GMEB1	392	1.891351
chr1	36931672	36932548	CSF3R	8288	-0.30562806
chr1	36932797	36932945	CSF3R	561	-1.0179174
chr1	36933132	36933279	CSF3R	724	-0.63636211
chr1	36933397	36933602	CSF3R	1513	-0.091645145
chr1	36933652	36933860	CSF3R	1102	-0.72655652
chr1	36934722	36934872	CSF3R	775	-0.59026193
chr1	36935227	36935479	CSF3R	1896	-0.25564911
chr1	36937012	36937290	CSF3R	1977	-0.29431276
chr1	36937622	36937775	CSF3R	1195	0.097156414
chr1	36937817	36938024	CSF3R	1237	-0.44428654
chr1	36938092	36938300	CSF3R	645	-1.4115754
chr1	36939012	36939262	CSF3R	1866	-0.24838904
chr1	36939342	36939515	CSF3R	1458	0
chr1	36940942	36941304	CSF3R	2886	-0.30523436
chr1	36943182	36943330	CSF3R	1145	0.045295143
chr1	36944982	36945139	CSF3R	1077	-0.2306322
chr1	38304385	38304456	MTF1	227	-0.28589102
chr1	40363009	40363757	MYCL	8581	-0.1678426
chr1	40364284	40364804	MYCL	4884	-0.31145581
chr1	40365259	40367605	MYCL	20113	0.17899586
chr1	43803474	43803631	MPL	1182	-0.018476879
chr1	43803744	43803920	MPL	1444	-0.038242825
chr1	43804179	43804428	MPL	2539	0.17695178
chr1	43804909	43805275	MPL	2664	-0.4738937
chr1	43805599	43805680	MPL	768	0.21084493
chr1	43805689	43805836	MPL	1208	0.085964878
chr1	43806034	43806221	MPL	1617	-0.032040576
chr1	43812084	43812336	MPL	2369	-0.0040253939
chr1	43812429	43812647	MPL	1663	-0.24397744
chr1	43814479	43814698	MPL	1477	-0.051892621
chr1	43814899	43815054	MPL	1243	0.15236902
chr1	43817889	43817988	MPL	707	0.16738521
chr1	43818154	43818482	MPL	3045	-0.068617085
chr1	45794955	45795119	MUTYH	1541	0.25676679
chr1	45796125	45796278	MUTYH	883	-0.513028
chr1	45796825	45797037	MUTYH	2216	0.13937114
chr1	45797060	45797245	MUTYH	1616	0.21914185
chr1	45797300	45797560	MUTYH	2215	0.03816695
chr1	45797655	45798020	MUTYH	3114	-0.16066546
chr1	45798030	45798185	MUTYH	1415	0.26307768
chr1	45798210	45798683	MUTYH	4166	-0.27239403
chr1	45798730	45798871	MUTYH	1398	0.30706845
chr1	45798905	45799041	MUTYH	2246	1.0404072
chr1	45799060	45799347	MUTYH	3432	0.3511029
chr1	45800030	45800224	MUTYH	1833	0.15605098
chr1	45805525	45805806	MUTYH	1628	-0.32137324
chr1	45805835	45805980	MUTYH	1212	0.39812035
chr1	46713995	46714148	RAD54L	1545	0.38209014
chr1	46714155	46714293	RAD54L	1240	0.16030581
chr1	46715650	46715836	RAD54L	1006	-0.63363832
chr1	46724305	46724440	RAD54L	833	0.99659342
chr1	46725600	46725794	RAD54L	1478	-0.19369492
chr1	46726175	46726319	RAD54L	1663	0.54159153
chr1	46726370	46726721	RAD54L	3323	-0.12452044
chr1	46726910	46727087	RAD54L	1525	0.0021869296
chr1	46733105	46733321	RAD54L	1933	-0.0098416541
chr1	46736305	46736490	RAD54L	1292	-0.26131931
chr1	46738090	46738248	RAD54L	1530	0.81039583
chr1	46738310	46738381	RAD54L	1008	1.2085866
chr1	46738405	46738480	RAD54L	892	0.89443823
chr1	46739010	46739160	RAD54L	2086	0.77484428
chr1	46739270	46739438	RAD54L	1961	0.45012527
chr1	46739775	46739909	RAD54L	1133	0.090034112
chr1	46740185	46740427	RAD54L	1985	-0.17925334
chr1	46743455	46743681	RAD54L	2679	0.35860214
chr1	46743710	46743975	RAD54L	2789	0.25930401
chr1	51436010	51436189	CDKN2C	1309	-0.24904704
chr1	51439535	51439952	CDKN2C	3392	-0.49314775
chr1	59247721	59248108	JUN	5059	0.34188214
chr1	59248131	59248305	JUN	1553	0.42405871
chr1	59248316	59248776	JUN	4842	0.1073915
chr1	65300217	65300349	JAK1	194	0.34617971
chr1	65301047	65301221	JAK1	1422	0.66529458
chr1	65301757	65301935	JAK1	638	-0.26969549
chr1	65303592	65303795	JAK1	1921	0.27555539
chr1	65304112	65304302	JAK1	983	1.874221
chr1	65305252	65305515	JAK1	2659	0.1680377
chr1	65306902	65307035	JAK1	2142	1.2223924
chr1	65307107	65307318	JAK1	2438	0.34461786
chr1	65309722	65309940	JAK1	2610	0.33422696
chr1	65310412	65310587	JAK1	1247	-0.31330687
chr1	65311162	65311353	JAK1	1530	-0.076407416
chr1	65312302	65312445	JAK1	2157	0.90468239
chr1	65313192	65313402	JAK1	2176	0.12397386
chr1	65316452	65316634	JAK1	1597	0.076785312
chr1	65321167	65321414	JAK1	2581	0.20886685
chr1	65323317	65323491	JAK1	1569	-0.01115111
chr1	65325757	65325973	JAK1	1901	-0.059727485
chr1	65330437	65330641	JAK1	1759	1.6616758
chr1	65332517	65332919	JAK1	3068	0.477412
chr1	65334962	65335180	JAK1	1727	-0.208181
chr1	65339017	65339243	JAK1	2095	0.14160768
chr1	65344682	65344849	JAK1	1525	0.22275207
chr1	65348937	65349191	JAK1	1972	-0.29635039
chr1	65351912	65352043	JAK1	322	0.86823347
chr1	66037892	66037969	LEPR	86	-0.053928324
chr1	78034082	78034152	ZZZ3	8	-2
chr1	78034172	78034239	ZZZ3	16	-0.95043831
chr1	78413147	78413290	FUBP1	431	-0.97424464
chr1	78413557	78414303	FUBP1	731	0.12067738
chr1	78414327	78414496	FUBP1	208	0.22229141
chr1	78414812	78415016	FUBP1	1288	-0.36875046
chr1	78420902	78421004	FUBP1	185	-0.12840799
chr1	78422222	78422407	FUBP1	1327	0.22923514
chr1	78425832	78425973	FUBP1	1129	0.13511635
chr1	78426007	78426208	FUBP1	1725	0.041731555
chr1	78428432	78428641	FUBP1	678	0.35864861
chr1	78429232	78429405	FUBP1	1109	0.16544585
chr1	78429722	78429858	FUBP1	790	0.55061198
chr1	78429907	78430057	FUBP1	467	0.85274005
chr1	78430307	78430442	FUBP1	425	-0.38977073
chr1	78430532	78430671	FUBP1	1024	1.0557689
chr1	78430727	78430927	FUBP1	1650	0.62810774
chr1	78432327	78432461	FUBP1	388	0.5517018
chr1	78432532	78432639	FUBP1	162	-1.6081294
chr1	78432687	78432824	FUBP1	96	0.25997836
chr1	78433257	78433358	FUBP1	280	-0.286011
chr1	78433797	78433930	FUBP1	142	0.8421963
chr1	78434662	78434796	FUBP1	362	-0.20641237
chr1	78435572	78435681	FUBP1	79	-1.0823404
chr1	78444537	78444730	FUBP1	1938	0.30494464
chr1	97547862	97548016	rs67376798	549	-0.15594433
chr1	97915537	97915685	rs3918290	646	0.78053252
chr1	97981272	97981420	rs55886062	575	-0.40940849
chr1	98164957	98165163	rs2297595	1119	-0.063019236
chr1	98348802	98348948	rs1801265	484	-0.086799594
chr1	100661907	100661985	DBT	67	-2.5260096
chr1	110230421	110230499	COSM5045664	259	-1.1581632
chr1	110230501	110230572	COSM5045664	223	-0.8229189
chr1	110231796	110231956	GSTM1	421	-1.6252674
chr1	110233046	110233151	COSM3676668	648	-0.21761795
chr1	115251123	115251297	NRAS	1246	0.80388907
chr1	115252158	115252372	NRAS	2782	0.88422704
chr1	115256398	115256631	NRAS	1158	-0.6304241
chr1	115258638	115258818	NRAS	2504	0.70347032
chr1	118165467	118166690	FAM46C	13244	-0.3144161
chr1	120457895	120459347	NOTCH2	13678	-0.31592596
chr1	120460260	120460407	NOTCH2	1513	0.4245777
chr1	120460995	120461219	NOTCH2	1894	-0.1292315
chr1	120461900	120462260	NOTCH2	2359	-0.67772653
chr1	120462830	120463049	NOTCH2	2003	0.017251757
chr1	120464305	120464447	NOTCH2	1527	0.69602572
chr1	120464825	120465084	NOTCH2	2050	-0.24893649
chr1	120465235	120465440	NOTCH2	1777	-0.029168678
chr1	120466225	120466616	NOTCH2	4311	-0.033173002
chr1	120467895	120468459	NOTCH2	4551	-0.51802154
chr1	120469095	120469246	NOTCH2	845	-0.528658
chr1	120471575	120471850	NOTCH2	2629	0.089111902
chr1	120477725	120477796	NOTCH2	188	2.263326
chr1	120477805	120478262	NOTCH2	2110	-0.20528681
chr1	120479870	120480128	NOTCH2	1791	-0.44219995
chr1	120480445	120480672	NOTCH2	1752	-0.23659737
chr1	120483155	120483412	NOTCH2	1624	-0.57092992
chr1	120484115	120484301	NOTCH2	1320	-0.22421093
chr1	120484320	120484396	NOTCH2	606	0.36289111
chr1	120491010	120491227	NOTCH2	1624	-0.32577881
chr1	120491595	120491778	NOTCH2	1526	0.21391315
chr1	120493325	120493493	NOTCH2	1053	-0.22066251
chr1	120496130	120496346	NOTCH2	1607	0.51690145
chr1	120497630	120497896	NOTCH2	1912	-0.37709317
chr1	120501990	120502160	NOTCH2	1067	0.20221018
chr1	120506170	120506460	NOTCH2	2317	-0.31332539
chr1	120508045	120508221	NOTCH2	1027	-0.44933113
chr1	120508970	120509148	NOTCH2	1846	0.48659388
chr1	120510025	120510287	NOTCH2	1970	-0.29432786
chr1	120510675	120510890	NOTCH2	1824	-0.091969413
chr1	120512105	120512396	NOTCH2	2704	-0.13408767
chr1	120529560	120529729	NOTCH2	1403	0.029960727
chr1	120539590	120539975	NOTCH2	3027	-0.44485476
chr1	120547930	120548245	NOTCH2	4097	0.33513231
chr1	120572490	120572596	NOTCH2	876	1.829082
chr1	120594075	120594782	NOTCH2	7499	1.2719487
chr1	120611915	120612044	NOTCH2	926	0.33833175
chr1	120612050	120612329	NOTCH2	3656	0.9030375
chr1	150549810	150549982	MCL1	1563	0.48422586
chr1	150550695	150551005	MCL1	3820	0.50139778
chr1	150551285	150552026	MCL1	8541	0.26296854
chr1	155404310	155404377	ASH1L	34	-1.8188944
chr1	156785554	156785697	NTRK1	1742	0.63162104
chr1	156811839	156812032	NTRK1	1869	0.17184996
chr1	156830599	156830960	NTRK1	1486	-0.93368804
chr1	156834109	156834247	NTRK1	540	-0.95069177
chr1	156834434	156834620	NTRK1	1649	0.22580051
chr1	156836664	156836808	NTRK1	1156	0.028931615
chr1	156837864	156838482	NTRK1	3397	-0.89960576
chr1	156841379	156842013	NTRK1	6082	-0.33924111
chr1	156842029	156842236	NTRK1	1207	1.015853
chr1	156842244	156842391	NTRK1	231	1.5831934
chr1	156842394	156842467	NTRK1	198	2.3736037
chr1	156842989	156844812	NTRK1	21092	0.25525037
chr1	156844829	156845480	NTRK1	7145	-0.013940404
chr1	156845634	156845781	NTRK1_fus	1014	-0.18218542
chr1	156845839	156846015	NTRK1	1388	-0.006459167
chr1	156846124	156846452	NTRK1	2394	-0.31259233
chr1	156848814	156849231	NTRK1	4053	-0.11432354
chr1	156849764	156849973	NTRK1	1713	0.012318545
chr1	156851224	156851469	NTRK1	875	-0.95536764
chr1	161203548	161203621	rs28738963	54	-2.5228694
chr1	161204478	161204625	rs2501873	1102	0.077375528
chr1	161284128	161284273	SDHC	1218	0.44612715
chr1	161293348	161293426	SDHC	243	1.1560162
chr1	161298153	161298305	SDHC	594	-0.39581237
chr1	161309338	161309432	SDHC	269	1.9433433
chr1	161310333	161310497	SDHC	1403	1.1857163
chr1	161326443	161326655	SDHC	2913	0.61201784
chr1	161332168	161332247	SDHC	610	-0.034922467
chr1	162681004	162681147	DDR2	306	0.8147555
chr1	162688799	162689049	DDR2	1664	-0.13808441
chr1	162711354	162711535	DDR2	849	-0.76138836
chr1	162722859	162723012	DDR2	736	-0.71815183
chr1	162724389	162724665	DDR2	2631	0.073096811
chr1	162724924	162725131	DDR2	2825	0.6142396
chr1	162725419	162725599	DDR2	1378	0.021173705
chr1	162729564	162729804	DDR2	2194	-0.017783379
chr1	162730979	162731264	DDR2	3310	0.26165092
chr1	162735739	162735884	DDR2	1023	0.043268219
chr1	162736994	162737184	DDR2	1719	0.11907164
chr1	162740069	162740312	DDR2	2506	0.13883245
chr1	162741779	162742071	DDR2	2102	-0.48660442
chr1	162743224	162743417	DDR2	1114	-0.10994944
chr1	162745419	162745656	DDR2	2220	0.31021031
chr1	162745904	162746192	DDR2	2518	0.022456326
chr1	162748334	162748548	DDR2	2408	0.67624629
chr1	162749879	162750051	DDR2	1574	0.12958822
chr1	171252329	171252394	FMO1	29	-1.0099952
chr1	174926874	174926948	RABGAP1L	226	1.0448852
chr1	193091303	193091486	CDC73	1378	-0.14821298
chr1	193094218	193094362	CDC73	672	0.42472562
chr1	193099263	193099402	CDC73	92	-0.60901258
chr1	193104478	193104746	CDC73	444	0.0081047709
chr1	193107183	193107319	CDC73	609	0.057683069
chr1	193110958	193111230	CDC73	789	0.09345679
chr1	193116963	193117110	CDC73	304	-0.71067981
chr1	193119398	193119533	CDC73	1028	1.9608889
chr1	193121468	193121602	CDC73	193	-0.18145863
chr1	193172878	193173010	CDC73	501	0.055899287
chr1	193181183	193181283	CDC73	114	-0.035121268
chr1	193181488	193181620	CDC73	116	-0.57923074
chr1	193202093	193202301	CDC73	677	-0.064772001
chr1	193205363	193205499	CDC73	705	-0.59812876
chr1	193218838	193219009	CDC73	382	-0.98065308
chr1	193219753	193219891	CDC73	50	-0.67053232
chr1	204494382	204494536	MDM4	696	0.28055217
chr1	204494602	204494748	MDM4	555	0.20069836
chr1	204495452	204495589	MDM4	836	1.8987772
chr1	204499787	204499952	MDM4	1000	0.2301863
chr1	204501267	204501424	MDM4	338	-0.21257716
chr1	204506507	204506652	MDM4	1162	0.43802581
chr1	204507302	204507455	MDM4	486	-0.82240738
chr1	204511887	204512092	MDM4	952	0.497682
chr1	204513637	204513846	MDM4	828	0.64699411
chr1	204515892	204516028	MDM4	368	-0.38561003
chr1	204518217	204518835	MDM4	4579	0.11625565
chr1	206646531	206646677	IKBKE	662	-0.76358265
chr1	206647651	206647824	IKBKE	1253	-0.21244309
chr1	206648186	206648362	IKBKE	1978	0.52171158
chr1	206649496	206649744	IKBKE	1880	-0.19189755
chr1	206649996	206650203	IKBKE	2036	0.16733011
chr1	206651061	206651243	IKBKE	932	-0.45370223
chr1	206651541	206651720	IKBKE	1685	0.1669377
chr1	206652251	206652506	IKBKE	1742	-0.32146983
chr1	206653161	206653302	IKBKE	1531	0.53207154
chr1	206653326	206653477	IKBKE	1146	0.11208625
chr1	206653761	206653901	IKBKE	977	-0.14510851
chr1	206658291	206658448	IKBKE	1056	-0.23446556
chr1	206658506	206658674	IKBKE	1473	0.11748345
chr1	206661206	206661352	IKBKE	694	-0.80860298
chr1	206664086	206664233	IKBKE	1202	0.0092496556
chr1	206664951	206665093	IKBKE	1259	0.091456294
chr1	206666326	206666475	IKBKE	1120	-0.057359696
chr1	206666566	206666742	IKBKE	1152	-0.36211626
chr1	206667216	206667360	IKBKE	873	-0.33783106
chr1	206669381	206669533	IKBKE	1304	0.090355226
chr1	209974444	209974522	IRF6	341	-0.56926472
chr1	209974544	209974609	IRF6	314	1.9830346
chr1	226252036	226252111	H3F3A	305	-0.83297201
chr1	226253321	226253387	H3F3A	403	1.5491921
chr1	226253471	226253550	H3F3A	358	-0.82734243
chr1	226259126	226259204	H3F3A	105	-2.2696309
chr1	226549116	226549277	PARP1	757	-0.53127793
chr1	226549646	226549820	PARP1	991	-0.28062569
chr1	226550751	226550900	PARP1	1350	0.23481331
chr1	226551616	226551789	PARP1	1580	0.12027781
chr1	226552681	226552884	PARP1	1930	0.16200449
chr1	226553631	226553772	PARP1	1373	0.70356905
chr1	226555146	226555331	PARP1	1677	0.089077414
chr1	226555876	226556054	PARP1	1415	-0.12555836
chr1	226558101	226558249	PARP1	971	-0.25050175
chr1	226561896	226562080	PARP1	2041	0.72006873
chr1	226564786	226565024	PARP1	3397	0.68825717
chr1	226566821	226567001	PARP1	2041	0.38136014
chr1	226567236	226567366	PARP1	1041	0.43793623
chr1	226567596	226567874	PARP1	3171	0.32797921
chr1	226568741	226568923	PARP1	1842	0.23884549
chr1	226570701	226570911	PARP1	1622	-0.22506497
chr1	226573181	226573428	PARP1	2325	0.056957425
chr1	226573991	226574174	PARP1	1922	0.24186508
chr1	226576321	226576393	PARP1	956	1.5596474
chr1	226576396	226576471	PARP1	1070	1.5868523
chr1	226578086	226578359	PARP1	2338	-0.043975852
chr1	226579866	226580055	PARP1	1829	0.21310256
chr1	226589891	226590094	PARP1	1888	0.11359415
chr1	226595486	226595662	PARP1	1192	-0.19383366
chr1	232564020	232564098	SIPA1L2	547	-0.020064286
chr1	232564110	232564176	SIPA1L2	505	0.66176077
chr1	237048423	237048562	rs1805087	168	-0.057422941
chr1	237675063	237675131	RYR2	238	0.27907642
chr1	237675148	237675219	RYR2	86	1.3475528
chr1	241661104	241661311	FH	816	0.14056943
chr1	241663714	241663892	FH	698	-0.43434713
chr1	241665719	241665902	FH	1050	-0.083182564
chr1	241667319	241667560	FH	1370	-0.38940651
chr1	241669274	241669482	FH	683	-0.24440771
chr1	241671879	241672121	FH	883	0.19567365
chr1	241675244	241675453	FH	876	-0.067445096
chr1	241676879	241677043	FH	680	0.27142864
chr1	241680459	241680626	FH	609	-0.52252986
chr1	241682869	241683050	FH	690	-0.77946922
chr1	243668520	243668662	AKT3	963	-0.049552085
chr1	243675600	243675739	AKT3	78	-0.4141634
chr1	243708781	243708919	AKT3	76	-1.4395044
chr1	243716006	243716279	AKT3	1146	0.48627612
chr1	243726986	243727172	AKT3	647	-0.41677168
chr1	243736221	243736357	AKT3	409	-1.3606405
chr1	243776936	243777033	AKT3	102	-1.7566283
chr1	243778356	243778487	AKT3	86	-1.2652372
chr1	243800891	243801056	AKT3	150	0.34796768
chr1	243809161	243809377	AKT3	870	0.3983828
chr1	243828051	243828186	AKT3	163	-0.64555706
chr1	243846426	243846579	AKT3	372	-0.29095601
chr1	243858871	243859041	AKT3	199	-1.0362033
chr1	244006401	244006614	AKT3	2083	0.2899719
chr1	244006786	244006932	AKT3	277	-0.018731667
chr1	244013276	244013406	AKT3	33	-4.5316483
chr1	244595882	244595950	ADSS	25	-0.55755782
chr2	8822813	8822888	ID2	218	0.28783997
chr2	8822908	8822971	ID2	282	2.5602963
chr2	16082155	16083000	MYCN	4610	-0.77956263
chr2	16085580	16086258	MYCN	5496	-0.52471956
chr2	25457113	25457325	DNMT3A	1661	-0.17082574
chr2	25458553	25458728	DNMT3A	1708	0.39841607
chr2	25459768	25459917	DNMT3A	477	-1.2812182
chr2	25461968	25462119	DNMT3A	1273	0.082973635
chr2	25463148	25463354	DNMT3A	1524	-0.20648631
chr2	25463483	25463624	DNMT3A	1200	0.091915634
chr2	25464398	25464619	DNMT3A	1819	-0.06732078
chr2	25466738	25466885	DNMT3A	1112	-0.046579661
chr2	25466993	25467245	DNMT3A	2184	0.022317932
chr2	25467373	25467552	DNMT3A	1879	0.31286736
chr2	25468083	25468236	DNMT3A	802	-0.56718024
chr2	25468833	25468982	DNMT3A	1864	0.82328809
chr2	25469003	25469213	DNMT3A	3362	0.82475222
chr2	25469458	25469669	DNMT3A	1567	-0.12290637
chr2	25469898	25470036	DNMT3A	1649	0.60016254
chr2	25470433	25470651	DNMT3A	1461	-0.35029129
chr2	25470873	25471124	DNMT3A	2461	0.19550958
chr2	25472488	25472634	DNMT3A	1808	0.60481774
chr2	25475038	25475198	DNMT3A	322	-1.6265466
chr2	25497788	25497990	DNMT3A	1488	0.1486145
chr2	25498318	25498449	DNMT3A	1049	0.043384911
chr2	25504298	25505616	DNMT3A	9753	-0.7636067
chr2	25522978	25523123	DNMT3A	1598	0.82378012
chr2	25536753	25537069	DNMT3A	2854	0.062530787
chr2	25537078	25537390	DNMT3A	3567	0.38349145
chr2	25537458	25537598	DNMT3A	919	-0.31567251
chr2	25564648	25564755	DNMT3A	129	-2.3520741
chr2	29416068	29416797	ALK	9208	0.064854188
chr2	29419608	29419751	ALK	906	0.34274487
chr2	29420323	29420579	ALK	1840	-0.26812927
chr2	29430003	29430192	ALK	1414	-0.16569097
chr2	29430833	29430978	ALK_fus	488	-0.037482361
chr2	29432553	29432804	ALK	1989	-0.25741713
chr2	29436763	29437077	ALK	1958	-0.61615353
chr2	29443473	29443784	ALK	3358	0.14923269
chr2	29443853	29444104	ALK_fus	2801	0.23967743
chr2	29444203	29444367	ALK_fus	861	-0.49202307
chr2	29445103	29445289	ALK	1453	-0.13499189
chr2	29445298	29446798	ALK	12324	-0.56016567
chr2	29446813	29449057	ALK	21477	0.20074882
chr2	29449363	29452025	ALK	23521	0.36183496
chr2	29455143	29455385	ALK	3008	0.51379075
chr2	29456328	29456587	ALK	2501	0.055212372
chr2	29462523	29462734	ALK	1994	0.10602937
chr2	29473943	29474171	ALK	2169	0.21833445
chr2	29497933	29498114	ALK	2919	0.95625209
chr2	29498243	29498385	ALK	992	-0.268287
chr2	29519728	29519940	ALK	2287	0.26873437
